Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\006065,Temporary Event Notice,Garden Gate,"14 SOUTH END ROAD, LONDON, NW3 2QE",LA2003,Application Rejected,No,,,,,09/02/2011,07/02/2011,08/02/2011,,E05000134,Gospel Oak,527274.81,185572.58,-0.165596,51.554701,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.554701, -0.165596)",15355,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010806,Temporary Event Notice,Torriano,"71  73 TORRIANO AVENUE, LONDON, NW5 2SG",LA2003,Application Approved,No,16/10/2014,,,,17/10/2014,14/10/2014,,,E05000139,Kentish Town,529548.11,185131.6,-0.132987,51.550221,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.550221, -0.132987)",11010,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006414,Temporary Event Notice,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved,No,11/05/2011,,,,,03/05/2011,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.543994, -0.151855)",15035,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006961,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,TEN Withdrawn,No,,,,,05/10/2011,03/10/2011,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.543877, -0.132175)",14545,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\009566,Temporary Event Notice,Centrale Delicatessen,"43 CHALK FARM ROAD, LONDON, NW1 8AJ",LA2003,Application Approved,No,12/09/2013,,,,09/09/2013,04/09/2013,,Camden Town,E05000136,Haverstock,528500.65,184316.98,-0.148383,51.54314,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.54314, -0.148383)",12127,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010451,Temporary Event Notice,Chalk Farm Grill,"18 HAVERSTOCK HILL, LONDON, NW3 2BL",LA2003,Application Rejected - Incomplete Documentation,No,,,,,12/06/2014,08/06/2014,09/06/2014,Camden Town,E05000136,Haverstock,528190.18,184432.25,-0.152816,51.544246,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.544246, -0.152816)",11321,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\002705,Temporary Event Notice,Belsize Wood Nature Reserve,"BELSIZE WOOD WOODLAND WALK,",LA2003,Application Rejected,No,,,,,24/09/2008,22/09/2008,03/10/2008,,E05000134,Gospel Oak,527515.37,185323.07,-0.162219,51.552404,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.552404, -0.162219)",18620,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001627,Temporary Event Notice,London Irish Centre,"50  52 LONDON IRISH CENTRE CAMDEN SQUARE, LONDON, NW1 9XB",LA2003,Application Approved,No,19/10/2007,,,,17/10/2007,15/10/2007,,,E05000131,Cantelowes,529622.44,184427.6,-0.132175,51.543877,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.543877, -0.132175)",19592,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\001315,Premises - Variation of DPS,New Market Inn,"17 YORK WAY, LONDON, N7 9QG",LA2003,Application Approved,No,12/03/2008,,,,11/03/2009,25/02/2009,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.543074, -0.126691)",25089,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002064,Premises - Variation of DPS,New Market Inn,"17 YORK WAY, LONDON, N7 9QG",LA2003,Application Approved In Full,No,15/04/2011,,,,08/04/2011,25/03/2011,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.543074, -0.126691)",24380,http://opendatacommunities.org/id/london-borough-council/camden
