Company Name,Company Number,Care Of,PO Box,Address Line 1,Address Line 2,Town,County,Country,Postcode,Company Category,Company Status,Country Of Origin,Incorporation Date,Dissolution Date,Account Reference Day,Account Reference Month,Accounts Next Due Date,Accounts Last Made Up To Date,Account Category,Returns Next Due Date,Returns Last Made Up To Date,Number Of Mortgage Charges,Number Of Outstanding Mortgage Charges,Number Of Part Satisfied Mortgage Charges,Number Of Satisfied Mortgage Charges,Standard Industrial Classification Code 1,Standard Industrial Classification Code 2,Standard Industrial Classification Code 3,Standard Industrial Classification Code 4,Number Of General Partners,Number Of Limited Partners,Unique Resource Identifier,Previous Names,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI
SHIRE AND SONS CONSTRUCTION COMPANY LTD,08672495,,,65 BROADFIELD LANE,,LONDON,,,NW1 9YJ,Private Limited Company,Active,United Kingdom,02/09/2013,,30,9,30/06/2018,30/09/2016,,30/09/2016,02/09/2015,0,0,0,0,71129 - Other engineering activities,,,,0,0,http://business.data.gov.uk/id/company/08672495,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,530011,184240,-0.126632,51.542092,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.542092, -0.126632)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
TUNGATE HOUSE RTM COMPANY LIMITED,10410117,,,RINGLEY HOUSE,349 ROYAL COLLEGE STREET,LONDON,,,NW1 9QS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,04/10/2016,,31,10,04/07/2018,,NO ACCOUNTS FILED,01/11/2017,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/10410117,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,528990,184487,-0.141256,51.544545,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.544545, -0.141256)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
EXPERIMENTAL EXPERIENCE LTD.,08990528,,,50 PATSHULL ROAD,,LONDON,,,NW5 2LD,Private Limited Company,Active,United Kingdom,10/04/2014,,30,4,31/01/2018,30/04/2016,,08/05/2017,10/04/2016,0,0,0,0,90010 - Performing arts,,,,0,0,http://business.data.gov.uk/id/company/08990528,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,529292,184750,-0.136807,51.54684,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.54684, -0.136807)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
RINGLEY SITE STAFF LTD,08633523,,,349 ROYAL COLLEGE STREET,,LONDON,,,NW1 9QS,Private Limited Company,Active,United Kingdom,01/08/2013,,31,3,31/12/2017,31/03/2016,TOTAL EXEMPTION SMALL,29/08/2016,01/08/2015,1,1,0,0,78109 - Other activities of employment placement agencies,,,,0,0,http://business.data.gov.uk/id/company/08633523,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,528990,184487,-0.141256,51.544545,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.544545, -0.141256)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
10 ST AUGUSTINE'S ROAD MANAGEMENT COMPANY LIMITED,06696824,,,FLAT 10B,ST. AUGUSTINES ROAD,LONDON,,,NW1 9RN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,15/09/2008,,30,9,30/06/2017,30/09/2015,TOTAL EXEMPTION SMALL,13/10/2016,15/09/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/06696824,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,529767,184436,-0.130077,51.543909,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.543909, -0.130077)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
THE TALACRE ACTION GROUP LIMITED,02275374,,,ADVENTURE BUILDING WILKIN STREET,KENTISH TOWN,LONDON,,,NW5 2AG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,08/07/1988,,31,3,31/12/2017,31/03/2016,TOTAL EXEMPTION FULL,01/11/2016,04/10/2015,0,0,0,0,88910 - Child day-care activities,,,,0,0,http://business.data.gov.uk/id/company/02275374,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,528973,184757,-0.141403,51.546976,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.546976, -0.141403)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
RINGLEY SHADOW DIRECTORS LIMITED,04620352,,,349 ROYAL COLLEGE STREET,LONDON,,,,NW1 9QS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,18/12/2002,,31,3,31/12/2017,31/03/2016,DORMANT,13/01/2017,16/12/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/04620352,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,528990,184487,-0.141256,51.544545,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.544545, -0.141256)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
DISCOVER STUDIOS LTD,10409517,,,80D ST. AUGUSTINES ROAD,,LONDON,,UNITED KINGDOM,NW1 9RP,Private Limited Company,Active,United Kingdom,04/10/2016,,31,10,04/07/2018,,NO ACCOUNTS FILED,01/11/2017,,0,0,0,0,62011 - Ready-made interactive leisure and entertainment software development,,,,0,0,http://business.data.gov.uk/id/company/10409517,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,529889,184582,-0.128265,51.545193,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.545193, -0.128265)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
URBAN OUTDOORS LONDON LIMITED,09106431,,,18 PANDIAN WAY,,LONDON,,,NW1 9AE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,27/06/2014,,30,6,31/03/2018,30/06/2016,TOTAL EXEMPTION SMALL,25/07/2017,27/06/2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09106431,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,529593,184799,-0.132451,51.547211,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.547211, -0.132451)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
AGAR GROVE PROPERTY MANAGEMENT LIMITED,10409900,,,90D AGAR GROVE,,LONDON,,UNITED KINGDOM,NW1 9TL,Private Limited Company,Active,United Kingdom,04/10/2016,,31,10,04/07/2018,,NO ACCOUNTS FILED,01/11/2017,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/10409900,(); (); (); (); (); (); (); (); (); ();,E09000007,Camden,E05000131,Cantelowes,529772,184337,-0.130041,51.543018,Postcode Level. Companies registered in these London Boroughs are not necessarily located in these Boroughs.,"(51.543018, -0.130041)",08/05/2017 10:30:30 AM,http://opendatacommunities.org/id/london-borough-council/camden
