Id,Attributes,
X, red,  Ward
First Class Lounge, blue,  Premise
Le Pain Quotidien Ltd, blue,  Premise
APP\TEN\011414, black,  Application
APP\PERSONAL-NEW\002835, black,  Application
APP\PERSONAL-ADD\000522, black,  Application
APP\PERSONAL-CONV\000489, black,  Application
St Johns-At-Hampstead, blue,  Premise
Hyelm, blue,  Premise
APP\TEN\013629, black,  Application
2016/6513/TC, black,  Application
APP\TEN\007754, black,  Application
APP\TEN\011960, black,  Application
APP\TEN\004679, black,  Application
43237, black,  Application
APP\TEN\011685, black,  Application
APP\PREMISES-NEW\000039, black,  Application
APP\TEN\004956, black,  Application
Ted's Grooming, blue,  Premise
APP\PREMISES-VARYDPS\003322, black,  Application
APP\TEN\002329, black,  Application
APP\TEN\010540, black,  Application
The Tanning Shop, blue,  Premise
APP\TEN\005904, black,  Application
APP\TEN\008444, black,  Application
APP\TEN\007298, black,  Application
Cote, blue,  Premise
APP\TEN\009852, black,  Application
APP\TEN\010479, black,  Application
2011/1933/TC, black,  Application
APP\PREMISES-VARY\001010, black,  Application
APP\TEN\013607, black,  Application
APP\PREMISES-TRANS\001503, black,  Application
APP\PREMISES-CONV\001093, black,  Application
APP\PREMISES-VARYDPS\003651, black,  Application
APP\PREMISES-VARYDPS\003531, black,  Application
APP\PREMISES-VARYDPS\000222, black,  Application
APP\TEN\012890, black,  Application
2016/2905/TC, black,  Application
APP\TEN\011885, black,  Application
APP\PERSONAL-NEW\001681, black,  Application
APP\PREMISES-VARY\000329, black,  Application
APP\PREMISES-VARY\000879, black,  Application
APP\LATE-TEN\000709, black,  Application
"NHDF, Box 123", blue,  Premise
APP\PREMISES-CONV\000295, black,  Application
APP\PREMISES-VARYDPS\001404, black,  Application
APP\TEN\006023, black,  Application
APP\TEN\003794, black,  Application
2016/1867/TC, black,  Application
APP\PERSONAL-NEW\000960, black,  Application
APP\PERSONAL-NEW\000910, black,  Application
APP\PREMISES-NEW\000118, black,  Application
APP\PREMISES-VARYDPS\002460, black,  Application
APP\FILM-CLASS\00140, black,  Application
APP\LATE-TEN\000966, black,  Application
APP\TEN\011594, black,  Application
APP\PERSONAL-NEW\001514, black,  Application
APP\PREMISES-VARYDPS\002005, black,  Application
Co-operative Food, blue,  Premise
