,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Hexagon Of Highgate Ltd,2010_Hexagon Of Highgate Ltd_The London Drycleaning Company,51.549941,-0.146301,2010-10-19
1,Origin,The London Drycleaning Company,2010_Hexagon Of Highgate Ltd_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
2,Destination,D&D Dry Cleaners,2010_D&D Dry Cleaners_The London Drycleaning Company,51.554619,-0.196508,2010-06-10
3,Origin,The London Drycleaning Company,2010_D&D Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
4,Destination,Belsize Park Service Station,2010_Belsize Park Service Station_The London Drycleaning Company,51.551534000000004,-0.167068,2010-10-19
5,Origin,The London Drycleaning Company,2010_Belsize Park Service Station_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
6,Destination,Dry cleaners of hampstead,2010_Dry cleaners of hampstead_The London Drycleaning Company,51.546155999999996,-0.15730999999999998,2010-08-09
7,Origin,The London Drycleaning Company,2010_Dry cleaners of hampstead_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
8,Destination,The London Drycleaning Company,2010_The London Drycleaning Company_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
9,Origin,The London Drycleaning Company,2010_The London Drycleaning Company_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
10,Destination,Parkway Cleaners Ltd (paradise cleaners),2010_Parkway Cleaners Ltd (paradise cleaners)_The London Drycleaning Company,51.538119,-0.145295,2010-08-09
11,Origin,The London Drycleaning Company,2010_Parkway Cleaners Ltd (paradise cleaners)_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
12,Destination,Matthew Daniel Dry Cleaners,2010_Matthew Daniel Dry Cleaners_The London Drycleaning Company,51.520167,-0.11696199999999998,2010-08-09
13,Origin,The London Drycleaning Company,2010_Matthew Daniel Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
14,Destination,Ariana Dry Cleaners,2010_Ariana Dry Cleaners_The London Drycleaning Company,51.530577,-0.119622,2010-08-31
15,Origin,The London Drycleaning Company,2010_Ariana Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
16,Destination,Sun Dry Cleaners Ltd,2010_Sun Dry Cleaners Ltd_The London Drycleaning Company,51.556776,-0.13938499999999998,2010-08-09
17,Origin,The London Drycleaning Company,2010_Sun Dry Cleaners Ltd_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
18,Destination,Fitzroy Cleaners,2010_Fitzroy Cleaners_The London Drycleaning Company,51.52301,-0.141308,2010-02-09
19,Origin,The London Drycleaning Company,2010_Fitzroy Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
20,Destination,Primrose Valet,2010_Primrose Valet_The London Drycleaning Company,51.542027000000004,-0.157269,2010-08-09
21,Origin,The London Drycleaning Company,2010_Primrose Valet_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
22,Destination,Valentino Dry Cleaners,2010_Valentino Dry Cleaners_The London Drycleaning Company,51.513999,-0.128985,2010-08-09
23,Origin,The London Drycleaning Company,2010_Valentino Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
24,Destination,Crowndale Dry Cleaners,2010_Crowndale Dry Cleaners_The London Drycleaning Company,51.535618,-0.134023,2010-02-09
25,Origin,The London Drycleaning Company,2010_Crowndale Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
26,Destination,Swiss Dry Cleaners,2010_Swiss Dry Cleaners_The London Drycleaning Company,51.541746999999994,-0.18101199999999998,2010-08-09
27,Origin,The London Drycleaning Company,2010_Swiss Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
28,Destination,Cottontail Cleaners Ltd,2010_Cottontail Cleaners Ltd_The London Drycleaning Company,51.554431,-0.19203499999999998,2010-08-31
29,Origin,The London Drycleaning Company,2010_Cottontail Cleaners Ltd_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
30,Destination,Morrisons Petrol Station,2010_Morrisons Petrol Station_The London Drycleaning Company,51.541346000000004,-0.149794,2010-10-19
31,Origin,The London Drycleaning Company,2010_Morrisons Petrol Station_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
32,Destination,Empire professional Dry Cleaners,2010_Empire professional Dry Cleaners_The London Drycleaning Company,51.548209,-0.128897,2010-02-09
33,Origin,The London Drycleaning Company,2010_Empire professional Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
34,Destination,Mansfield Dry Cleaners,2010_Mansfield Dry Cleaners_The London Drycleaning Company,51.5541,-0.15506199999999998,2010-06-10
35,Origin,The London Drycleaning Company,2010_Mansfield Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
36,Destination,The Cotton Club,2010_The Cotton Club_The London Drycleaning Company,51.552143,-0.196666,2010-08-31
37,Origin,The London Drycleaning Company,2010_The Cotton Club_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
38,Destination,Parkers Dry Cleaning Ltd,2010_Parkers Dry Cleaning Ltd_The London Drycleaning Company,51.519855,-0.135379,2010-08-09
39,Origin,The London Drycleaning Company,2010_Parkers Dry Cleaning Ltd_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
40,Destination,Alex Dry Cleaners,2010_Alex Dry Cleaners_The London Drycleaning Company,51.529326,-0.12093800000000002,2010-08-24
41,Origin,The London Drycleaning Company,2010_Alex Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
42,Destination,Smarts Dry Cleaners,2010_Smarts Dry Cleaners_The London Drycleaning Company,51.537762,-0.14571199999999998,2010-08-09
43,Origin,The London Drycleaning Company,2010_Smarts Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
44,Destination,City Centre Dry Cleaners,2010_City Centre Dry Cleaners_The London Drycleaning Company,51.531037,-0.13442300000000001,2010-08-31
45,Origin,The London Drycleaning Company,2010_City Centre Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
46,Destination,Visage Dry Cleaners,2010_Visage Dry Cleaners_The London Drycleaning Company,51.550585999999996,-0.155807,2010-08-09
47,Origin,The London Drycleaning Company,2010_Visage Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
48,Destination,Madame George,2010_Madame George_The London Drycleaning Company,51.548794,-0.19137300000000002,2010-02-09
49,Origin,The London Drycleaning Company,2010_Madame George_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
50,Destination,Dolphin Cleaners A.k.a Sue Smart,2010_Dolphin Cleaners A.k.a Sue Smart_The London Drycleaning Company,51.521654,-0.10969200000000001,2010-08-09
51,Origin,The London Drycleaning Company,2010_Dolphin Cleaners A.k.a Sue Smart_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
52,Destination,Swans Dry Cleaners,2010_Swans Dry Cleaners_The London Drycleaning Company,51.549746,-0.16428399999999999,2010-08-09
53,Origin,The London Drycleaning Company,2010_Swans Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
54,Destination,Chequers Dry Cleaners,2010_Chequers Dry Cleaners_The London Drycleaning Company,51.545876,-0.162983,2010-08-31
55,Origin,The London Drycleaning Company,2010_Chequers Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
56,Destination,Tesco Express,2010_Tesco Express_The London Drycleaning Company,51.545437,-0.133363,2010-10-19
57,Origin,The London Drycleaning Company,2010_Tesco Express_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
58,Destination,Firstchoice,2010_Firstchoice_The London Drycleaning Company,51.570283,-0.146248,2010-02-09
59,Origin,The London Drycleaning Company,2010_Firstchoice_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
60,Destination,M & A Coachworks,2010_M & A Coachworks_The London Drycleaning Company,51.552448,-0.14057999999999998,2010-10-19
61,Origin,The London Drycleaning Company,2010_M & A Coachworks_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
62,Destination,Sparkle Dry Cleaners,2010_Sparkle Dry Cleaners_The London Drycleaning Company,51.551840000000006,-0.192992,2010-08-09
63,Origin,The London Drycleaning Company,2010_Sparkle Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
64,Destination,Zappeo Dry Cleaners,2010_Zappeo Dry Cleaners_The London Drycleaning Company,51.551322,-0.141042,2010-08-09
65,Origin,The London Drycleaning Company,2010_Zappeo Dry Cleaners_The London Drycleaning Company,51.554596999999994,-0.192368,2010-02-09
