,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Old Oak,2008_Old Oak_Hope & Anchor,51.554717,-0.151107,2008-01-28
1,Origin,Hope & Anchor,2008_Old Oak_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
2,Destination,Be At One,2008_Be At One_Hope & Anchor,51.535494,-0.140296,2008-05-03
3,Origin,Hope & Anchor,2008_Be At One_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
4,Destination,Angel Inn,2008_Angel Inn_Hope & Anchor,51.57043,-0.147778,2008-03-09
5,Origin,Hope & Anchor,2008_Angel Inn_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
6,Destination,Nisa,2008_Nisa_Hope & Anchor,51.543475,-0.13201,2008-11-13
7,Origin,Hope & Anchor,2008_Nisa_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
8,Destination,Carpenters Arms,2008_Carpenters Arms_Hope & Anchor,51.521703,-0.136071,2008-03-09
9,Origin,Hope & Anchor,2008_Carpenters Arms_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
10,Destination,Priory Tavern,2008_Priory Tavern_Hope & Anchor,51.538581,-0.191,2008-04-21
11,Origin,Hope & Anchor,2008_Priory Tavern_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
12,Destination,KOKO,2008_KOKO_Hope & Anchor,51.534911,-0.139649,2008-04-25
13,Origin,Hope & Anchor,2008_KOKO_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
14,Destination,College Arms,2008_College Arms_Hope & Anchor,51.520386,-0.132202,2008-05-13
15,Origin,Hope & Anchor,2008_College Arms_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
16,Destination,Flask Tavern,2008_Flask Tavern_Hope & Anchor,51.569833,-0.151029,2008-02-06
17,Origin,Hope & Anchor,2008_Flask Tavern_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
18,Destination,Mabels Tavern,2008_Mabels Tavern_Hope & Anchor,51.52793,-0.12685,2008-03-05
19,Origin,Hope & Anchor,2008_Mabels Tavern_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
20,Destination,The Hope Pub,2008_The Hope Pub_Hope & Anchor,51.5202,-0.13578099999999999,2008-04-15
21,Origin,Hope & Anchor,2008_The Hope Pub_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
22,Destination,Philomena's,2008_Philomena's_Hope & Anchor,51.514813000000004,-0.12298900000000001,2008-01-14
23,Origin,Hope & Anchor,2008_Philomena's_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
24,Destination,Swan,2008_Swan_Hope & Anchor,51.521776,-0.12359300000000001,2008-01-21
25,Origin,Hope & Anchor,2008_Swan_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
26,Destination,Plough,2008_Plough_Hope & Anchor,51.517865,-0.12620499999999998,2008-04-16
27,Origin,Hope & Anchor,2008_Plough_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
28,Destination,Mamelon Tower,2008_Mamelon Tower_Hope & Anchor,51.550867,-0.14999200000000001,2008-02-09
29,Origin,Hope & Anchor,2008_Mamelon Tower_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
30,Destination,Lock Tavern,2008_Lock Tavern_Hope & Anchor,51.542619,-0.148387,2008-01-16
31,Origin,Hope & Anchor,2008_Lock Tavern_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
32,Destination,GEORGE P.H.,2008_GEORGE P.H._Hope & Anchor,51.515707,-0.12126300000000001,2008-02-05
33,Origin,Hope & Anchor,2008_GEORGE P.H._Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
34,Destination,The Roebuck,2008_The Roebuck_Hope & Anchor,51.553819,-0.167738,2008-03-10
35,Origin,Hope & Anchor,2008_The Roebuck_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
36,Destination,The Court,2008_The Court_Hope & Anchor,51.523142,-0.137511,2008-07-05
37,Origin,Hope & Anchor,2008_The Court_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
38,Destination,Odeon Cinema,2008_Odeon Cinema_Hope & Anchor,51.51428,-0.12823299999999999,2008-01-14
39,Origin,Hope & Anchor,2008_Odeon Cinema_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
40,Destination,Pembroke,2008_Pembroke_Hope & Anchor,51.542336999999996,-0.154256,2008-04-08
41,Origin,Hope & Anchor,2008_Pembroke_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
42,Destination,Hope & Anchor,2008_Hope & Anchor_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
43,Origin,Hope & Anchor,2008_Hope & Anchor_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
44,Destination,Draft House,2008_Draft House_Hope & Anchor,51.519021,-0.135793,2008-03-31
45,Origin,Hope & Anchor,2008_Draft House_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
46,Destination,Sheephaven Bay,2008_Sheephaven Bay_Hope & Anchor,51.53522,-0.14168699999999998,2008-08-03
47,Origin,Hope & Anchor,2008_Sheephaven Bay_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
48,Destination,Escape,2008_Escape_Hope & Anchor,51.532687,-0.137501,2008-10-01
49,Origin,Hope & Anchor,2008_Escape_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
50,Destination,Blackheart (Prev  Camden Tup),2008_Blackheart (Prev  Camden Tup)_Hope & Anchor,51.538624,-0.141854,2008-03-13
51,Origin,Hope & Anchor,2008_Blackheart (Prev  Camden Tup)_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
52,Destination,The Clerk and Well,2008_The Clerk and Well_Hope & Anchor,51.522494,-0.110714,2008-03-13
53,Origin,Hope & Anchor,2008_The Clerk and Well_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
54,Destination,The Earl of Camden,2008_The Earl of Camden_Hope & Anchor,51.537586,-0.14385,2008-05-03
55,Origin,Hope & Anchor,2008_The Earl of Camden_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
56,Destination,Fitzrovia Belle (previously Mortimer Arms),2008_Fitzrovia Belle (previously Mortimer Arms)_Hope & Anchor,51.522976,-0.135628,2008-07-04
57,Origin,Hope & Anchor,2008_Fitzrovia Belle (previously Mortimer Arms)_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
58,Destination,SALT,2008_SALT_Hope & Anchor,51.550391999999995,-0.19197899999999998,2008-10-17
59,Origin,Hope & Anchor,2008_SALT_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
60,Destination,Garden Gate,2008_Garden Gate_Hope & Anchor,51.554701,-0.165596,2008-07-05
61,Origin,Hope & Anchor,2008_Garden Gate_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
62,Destination,Bucks Head,2008_Bucks Head_Hope & Anchor,51.540186,-0.143102,2008-10-10
63,Origin,Hope & Anchor,2008_Bucks Head_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
64,Destination,Oxford Arms,2008_Oxford Arms_Hope & Anchor,51.540541999999995,-0.14366199999999998,2008-01-07
65,Origin,Hope & Anchor,2008_Oxford Arms_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
66,Destination,The Lukin,2008_The Lukin_Hope & Anchor,51.522335999999996,-0.13943,2008-01-14
67,Origin,Hope & Anchor,2008_The Lukin_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
68,Destination,Cittie Of Yorke,2008_Cittie Of Yorke_Hope & Anchor,51.518542,-0.11215699999999999,2008-07-14
69,Origin,Hope & Anchor,2008_Cittie Of Yorke_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
70,Destination,The Jack Horner,2008_The Jack Horner_Hope & Anchor,51.51831,-0.131671,2008-04-28
71,Origin,Hope & Anchor,2008_The Jack Horner_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
72,Destination,Mercure London Bloomsbury (formerly Waverley House Hotel),2008_Mercure London Bloomsbury (formerly Waverley House Hotel)_Hope & Anchor,51.521776,-0.12359300000000001,2008-04-01
73,Origin,Hope & Anchor,2008_Mercure London Bloomsbury (formerly Waverley House Hotel)_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
74,Destination,Wheatsheaf,2008_Wheatsheaf_Hope & Anchor,51.51757,-0.132725,2008-07-31
75,Origin,Hope & Anchor,2008_Wheatsheaf_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
76,Destination,Fitzroy Tavern,2008_Fitzroy Tavern_Hope & Anchor,51.518959,-0.134555,2008-10-13
77,Origin,Hope & Anchor,2008_Fitzroy Tavern_Hope & Anchor,51.534285,-0.13764300000000002,2008-01-07
78,Destination,Ship Tavern,2009_Ship Tavern_Flask,51.517002000000005,-0.11943599999999999,2009-05-08
79,Origin,Flask,2009_Ship Tavern_Flask,51.556693,-0.176761,2009-01-06
80,Destination,One Tun,2009_One Tun_Flask,51.51935,-0.13703900000000002,2009-05-27
81,Origin,Flask,2009_One Tun_Flask,51.556693,-0.176761,2009-01-06
82,Destination,Spread Eagle,2009_Spread Eagle_Flask,51.537762,-0.14571199999999998,2009-05-06
83,Origin,Flask,2009_Spread Eagle_Flask,51.556693,-0.176761,2009-01-06
84,Destination,Admiral Mann,2009_Admiral Mann_Flask,51.549326,-0.130676,2009-12-22
85,Origin,Flask,2009_Admiral Mann_Flask,51.556693,-0.176761,2009-01-06
86,Destination,Monkey Chews,2009_Monkey Chews_Flask,51.547447999999996,-0.15405,2009-10-26
87,Origin,Flask,2009_Monkey Chews_Flask,51.556693,-0.176761,2009-01-06
88,Destination,Alliance,2009_Alliance_Flask,51.551010999999995,-0.201229,2009-04-23
89,Origin,Flask,2009_Alliance_Flask,51.556693,-0.176761,2009-01-06
90,Destination,The Bree Louise,2009_The Bree Louise_Flask,51.527366,-0.13533900000000001,2009-02-17
91,Origin,Flask,2009_The Bree Louise_Flask,51.556693,-0.176761,2009-01-06
92,Destination,The Blues Kitchen,2009_The Blues Kitchen_Flask,51.536691,-0.141465,2009-01-30
93,Origin,Flask,2009_The Blues Kitchen_Flask,51.556693,-0.176761,2009-01-06
94,Destination,Blue Lion,2009_Blue Lion_Flask,51.523551,-0.11578,2009-05-18
95,Origin,Flask,2009_Blue Lion_Flask,51.556693,-0.176761,2009-01-06
96,Destination,Griffin,2009_Griffin_Flask,51.521334,-0.112046,2009-01-30
97,Origin,Flask,2009_Griffin_Flask,51.556693,-0.176761,2009-01-06
98,Destination,White Hart,2009_White Hart_Flask,51.516312,-0.123688,2009-08-14
99,Origin,Flask,2009_White Hart_Flask,51.556693,-0.176761,2009-01-06
100,Destination,Camden Eye,2009_Camden Eye_Flask,51.539219,-0.141978,2009-01-29
101,Origin,Flask,2009_Camden Eye_Flask,51.556693,-0.176761,2009-01-06
102,Destination,Rising Sun,2009_Rising Sun_Flask,51.519513,-0.133795,2009-10-26
103,Origin,Flask,2009_Rising Sun_Flask,51.556693,-0.176761,2009-01-06
104,Destination,Calthorpe Arms,2009_Calthorpe Arms_Flask,51.524852,-0.11571600000000001,2009-08-10
105,Origin,Flask,2009_Calthorpe Arms_Flask,51.556693,-0.176761,2009-01-06
106,Destination,King William The Fourth,2009_King William The Fourth_Flask,51.555440999999995,-0.176922,2009-03-03
107,Origin,Flask,2009_King William The Fourth_Flask,51.556693,-0.176761,2009-01-06
108,Destination,Queens Head,2009_Queens Head_Flask,51.528611,-0.118474,2009-10-26
109,Origin,Flask,2009_Queens Head_Flask,51.556693,-0.176761,2009-01-06
110,Destination,Lilly Langtree,2009_Lilly Langtree_Flask,51.539832000000004,-0.188324,2009-05-18
111,Origin,Flask,2009_Lilly Langtree_Flask,51.556693,-0.176761,2009-01-06
112,Destination,Brookes Brothers Wine Bar & Brasserie,2009_Brookes Brothers Wine Bar & Brasserie_Flask,51.518921,-0.11112999999999999,2009-11-05
113,Origin,Flask,2009_Brookes Brothers Wine Bar & Brasserie_Flask,51.556693,-0.176761,2009-01-06
114,Destination,The Black Lion,2009_The Black Lion_Flask,51.551211,-0.19204000000000002,2009-07-22
115,Origin,Flask,2009_The Black Lion_Flask,51.556693,-0.176761,2009-01-06
116,Destination,The Earl of Camden,2009_The Earl of Camden_Flask,51.537586,-0.14385,2009-01-14
117,Origin,Flask,2009_The Earl of Camden_Flask,51.556693,-0.176761,2009-01-06
118,Destination,Lucas Arms,2009_Lucas Arms_Flask,51.528472,-0.11981900000000001,2009-10-21
119,Origin,Flask,2009_Lucas Arms_Flask,51.556693,-0.176761,2009-01-06
120,Destination,Colonel Fawcett,2009_Colonel Fawcett_Flask,51.541639,-0.136007,2009-07-22
121,Origin,Flask,2009_Colonel Fawcett_Flask,51.556693,-0.176761,2009-01-06
122,Destination,Lady Ottoline,2009_Lady Ottoline_Flask,51.521719,-0.114622,2009-11-18
123,Origin,Flask,2009_Lady Ottoline_Flask,51.556693,-0.176761,2009-01-06
124,Destination,The T.E. Dingwall Building (Formerly Lock 17/Highlight),2009_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_Flask,51.541428,-0.145851,2009-10-21
125,Origin,Flask,2009_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_Flask,51.556693,-0.176761,2009-01-06
126,Destination,Blackheart (Prev  Camden Tup),2009_Blackheart (Prev  Camden Tup)_Flask,51.538624,-0.141854,2009-09-04
127,Origin,Flask,2009_Blackheart (Prev  Camden Tup)_Flask,51.556693,-0.176761,2009-01-06
128,Destination,The Clerk and Well,2009_The Clerk and Well_Flask,51.522494,-0.110714,2009-09-04
129,Origin,Flask,2009_The Clerk and Well_Flask,51.556693,-0.176761,2009-01-06
130,Destination,Be At One,2009_Be At One_Flask,51.535494,-0.140296,2009-09-24
131,Origin,Flask,2009_Be At One_Flask,51.556693,-0.176761,2009-01-06
132,Destination,Coopers Arms,2009_Coopers Arms_Flask,51.540648,-0.196044,2009-01-20
133,Origin,Flask,2009_Coopers Arms_Flask,51.556693,-0.176761,2009-01-06
134,Destination,Flask,2009_Flask_Flask,51.556693,-0.176761,2009-01-06
135,Origin,Flask,2009_Flask_Flask,51.556693,-0.176761,2009-01-06
136,Destination,Babushka,2009_Babushka_Flask,51.518941,-0.106305,2009-10-16
137,Origin,Flask,2009_Babushka_Flask,51.556693,-0.176761,2009-01-06
138,Destination,Shaker & Company,2009_Shaker & Company_Flask,51.52796,-0.139145,2009-10-26
139,Origin,Flask,2009_Shaker & Company_Flask,51.556693,-0.176761,2009-01-06
140,Destination,Fitzrovia Belle (previously Mortimer Arms),2016_Fitzrovia Belle (previously Mortimer Arms)_Alliance,51.522976,-0.135628,2016-12-21
