,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Woody Grill,2012_Woody Grill_New Market Inn,51.539219,-0.141978,2012-03-12
1,Origin,New Market Inn,2012_Woody Grill_New Market Inn,51.543074,-0.126691,2012-01-07
2,Destination,Kingsgate Workshops Trust Ltd,2012_Kingsgate Workshops Trust Ltd_New Market Inn,51.544226,-0.19665,2012-06-16
3,Origin,New Market Inn,2012_Kingsgate Workshops Trust Ltd_New Market Inn,51.543074,-0.126691,2012-01-07
4,Destination,Istanbul Meze Grill,2012_Istanbul Meze Grill_New Market Inn,51.534911,-0.139649,2012-04-30
5,Origin,New Market Inn,2012_Istanbul Meze Grill_New Market Inn,51.543074,-0.126691,2012-01-07
6,Destination,Adelaide Road Nature Reserve,2012_Adelaide Road Nature Reserve_New Market Inn,51.543531,-0.161178,2012-11-06
7,Origin,New Market Inn,2012_Adelaide Road Nature Reserve_New Market Inn,51.543074,-0.126691,2012-01-07
8,Destination,Cockpit Arts Holborn,2012_Cockpit Arts Holborn_New Market Inn,51.521433,-0.11598299999999999,2012-11-21
9,Origin,New Market Inn,2012_Cockpit Arts Holborn_New Market Inn,51.543074,-0.126691,2012-01-07
10,Destination,Birkbeck College (Malet St),2012_Birkbeck College (Malet St)_New Market Inn,51.522251000000004,-0.130659,2012-05-12
11,Origin,New Market Inn,2012_Birkbeck College (Malet St)_New Market Inn,51.543074,-0.126691,2012-01-07
12,Destination,Aki Restaurant,2012_Aki Restaurant_New Market Inn,51.523041,-0.11357300000000001,2012-03-12
13,Origin,New Market Inn,2012_Aki Restaurant_New Market Inn,51.543074,-0.126691,2012-01-07
14,Destination,Hospital Group,2012_Hospital Group_New Market Inn,51.515089,-0.12413900000000001,2012-10-17
15,Origin,New Market Inn,2012_Hospital Group_New Market Inn,51.543074,-0.126691,2012-01-07
16,Destination,St Peters Italian Church,2012_St Peters Italian Church_New Market Inn,51.522458,-0.109051,2012-06-07
17,Origin,New Market Inn,2012_St Peters Italian Church_New Market Inn,51.543074,-0.126691,2012-01-07
18,Destination,Liberty Kebabish Restaurant,2012_Liberty Kebabish Restaurant_New Market Inn,51.557639,-0.14397100000000002,2012-07-09
19,Origin,New Market Inn,2012_Liberty Kebabish Restaurant_New Market Inn,51.543074,-0.126691,2012-01-07
20,Destination,New Market Inn,2012_New Market Inn_New Market Inn,51.543074,-0.126691,2012-01-07
21,Origin,New Market Inn,2012_New Market Inn_New Market Inn,51.543074,-0.126691,2012-01-07
22,Destination,The Constitution,2012_The Constitution_New Market Inn,51.540313,-0.135401,2012-12-18
23,Origin,New Market Inn,2012_The Constitution_New Market Inn,51.543074,-0.126691,2012-01-07
24,Destination,The Crowndale,2012_The Crowndale_New Market Inn,51.534285,-0.13764300000000002,2012-05-07
25,Origin,New Market Inn,2012_The Crowndale_New Market Inn,51.543074,-0.126691,2012-01-07
26,Destination,Carpenters Arms,2012_Carpenters Arms_New Market Inn,51.521703,-0.136071,2012-11-23
27,Origin,New Market Inn,2012_Carpenters Arms_New Market Inn,51.543074,-0.126691,2012-01-07
28,Destination,Garufin,2012_Garufin_New Market Inn,51.519793,-0.117736,2012-11-22
29,Origin,New Market Inn,2012_Garufin_New Market Inn,51.543074,-0.126691,2012-01-07
30,Destination,The Sparkle Bar & Lounge,2012_The Sparkle Bar & Lounge_New Market Inn,51.547698,-0.181321,2012-01-10
31,Origin,New Market Inn,2012_The Sparkle Bar & Lounge_New Market Inn,51.543074,-0.126691,2012-01-07
32,Destination,Assembly House,2012_Assembly House_New Market Inn,51.551065,-0.140306,2012-06-12
33,Origin,New Market Inn,2012_Assembly House_New Market Inn,51.543074,-0.126691,2012-01-07
34,Destination,Jeremy Bentham Room,2012_Jeremy Bentham Room_New Market Inn,51.525257,-0.13204000000000002,2012-11-13
35,Origin,New Market Inn,2012_Jeremy Bentham Room_New Market Inn,51.543074,-0.126691,2012-01-07
36,Destination,Northumberland Arms,2012_Northumberland Arms_New Market Inn,51.523142,-0.137511,2012-11-20
37,Origin,New Market Inn,2012_Northumberland Arms_New Market Inn,51.543074,-0.126691,2012-01-07
38,Destination,Waterlow Park,2012_Waterlow Park_New Market Inn,51.567877,-0.146145,2012-06-19
39,Origin,New Market Inn,2012_Waterlow Park_New Market Inn,51.543074,-0.126691,2012-01-07
40,Destination,The orange dot gallery,2012_The orange dot gallery_New Market Inn,51.525437,-0.125078,2012-11-28
41,Origin,New Market Inn,2012_The orange dot gallery_New Market Inn,51.543074,-0.126691,2012-01-07
42,Destination,Zala Grill (formerly Hola Paella),2012_Zala Grill (formerly Hola Paella)_New Market Inn,51.54123,-0.146584,2012-02-08
43,Origin,New Market Inn,2012_Zala Grill (formerly Hola Paella)_New Market Inn,51.543074,-0.126691,2012-01-07
44,Destination,Cafe VN,2012_Cafe VN_New Market Inn,51.522381,-0.109945,2012-08-22
45,Origin,New Market Inn,2012_Cafe VN_New Market Inn,51.543074,-0.126691,2012-01-07
46,Destination,KFC,2012_KFC_New Market Inn,51.544343,-0.176536,2012-12-10
47,Origin,New Market Inn,2012_KFC_New Market Inn,51.543074,-0.126691,2012-01-07
48,Destination,Lord Stanley,2012_Lord Stanley_New Market Inn,51.547542,-0.12961,2012-03-12
49,Origin,New Market Inn,2012_Lord Stanley_New Market Inn,51.543074,-0.126691,2012-01-07
50,Destination,Parkers,2012_Parkers_New Market Inn,51.516965,-0.120941,2012-10-29
51,Origin,New Market Inn,2012_Parkers_New Market Inn,51.543074,-0.126691,2012-01-07
52,Destination,Brookfield School,2012_Brookfield School_New Market Inn,51.563533,-0.144611,2012-09-19
53,Origin,New Market Inn,2012_Brookfield School_New Market Inn,51.543074,-0.126691,2012-01-07
54,Destination,Trattoria Verdi,2012_Trattoria Verdi_New Market Inn,51.520227,-0.12197000000000001,2012-08-28
55,Origin,New Market Inn,2012_Trattoria Verdi_New Market Inn,51.543074,-0.126691,2012-01-07
56,Destination,North Bridge House Prep School,2012_North Bridge House Prep School_New Market Inn,51.536712,-0.14709,2012-11-21
57,Origin,New Market Inn,2012_North Bridge House Prep School_New Market Inn,51.543074,-0.126691,2012-01-07
58,Destination,The Great Hall Of Lincoln's Inn,2012_The Great Hall Of Lincoln's Inn_New Market Inn,51.516504,-0.114603,2012-04-09
59,Origin,New Market Inn,2012_The Great Hall Of Lincoln's Inn_New Market Inn,51.543074,-0.126691,2012-01-07
60,Destination,William Ellis School,2012_William Ellis School_New Market Inn,51.551885,-0.141932,2012-12-14
61,Origin,New Market Inn,2012_William Ellis School_New Market Inn,51.543074,-0.126691,2012-01-07
62,Destination,Cafe & Grill,2012_Cafe & Grill_New Market Inn,51.540172999999996,-0.14257999999999998,2012-05-11
63,Origin,New Market Inn,2012_Cafe & Grill_New Market Inn,51.543074,-0.126691,2012-01-07
64,Destination,Highgate Newtown Community,2012_Highgate Newtown Community_New Market Inn,51.562605,-0.142841,2012-06-26
65,Origin,New Market Inn,2012_Highgate Newtown Community_New Market Inn,51.543074,-0.126691,2012-01-07
66,Destination,Camley Street Natural Park,2012_Camley Street Natural Park_New Market Inn,51.535569,-0.12773299999999999,2012-05-09
67,Origin,New Market Inn,2012_Camley Street Natural Park_New Market Inn,51.543074,-0.126691,2012-01-07
68,Destination,Flesh and Buns (previously Kitchen Italia),2012_Flesh and Buns (previously Kitchen Italia)_New Market Inn,51.514056,-0.12601400000000001,2012-11-19
69,Origin,New Market Inn,2012_Flesh and Buns (previously Kitchen Italia)_New Market Inn,51.543074,-0.126691,2012-01-07
70,Destination,Marquis Of Granby,2012_Marquis Of Granby_New Market Inn,51.513245,-0.12820299999999998,2012-07-16
71,Origin,New Market Inn,2012_Marquis Of Granby_New Market Inn,51.543074,-0.126691,2012-01-07
72,Destination,Adventure Bar (previously Detroit),2012_Adventure Bar (previously Detroit)_New Market Inn,51.514056,-0.12601400000000001,2012-06-12
73,Origin,New Market Inn,2012_Adventure Bar (previously Detroit)_New Market Inn,51.543074,-0.126691,2012-01-07
74,Destination,Nelson Bar Restaurant Italiano,2012_Nelson Bar Restaurant Italiano_New Market Inn,51.526825,-0.14119400000000001,2012-05-25
75,Origin,New Market Inn,2012_Nelson Bar Restaurant Italiano_New Market Inn,51.543074,-0.126691,2012-01-07
76,Destination,Grange Holborn Hotel,2012_Grange Holborn Hotel_New Market Inn,51.519631,-0.120531,2012-09-26
77,Origin,New Market Inn,2012_Grange Holborn Hotel_New Market Inn,51.543074,-0.126691,2012-01-07
78,Destination,Kilburn Iron Works  (previously Powers Acoustic Bar),2012_Kilburn Iron Works  (previously Powers Acoustic Bar)_New Market Inn,51.545465,-0.20251,2012-08-17
79,Origin,New Market Inn,2012_Kilburn Iron Works  (previously Powers Acoustic Bar)_New Market Inn,51.543074,-0.126691,2012-01-07
80,Destination,The Marathon,2012_The Marathon_New Market Inn,51.543994,-0.151855,2012-01-08
81,Origin,New Market Inn,2012_The Marathon_New Market Inn,51.543074,-0.126691,2012-01-07
82,Destination,WW Gallery,2012_WW Gallery_New Market Inn,51.520084999999995,-0.107875,2012-01-11
83,Origin,New Market Inn,2012_WW Gallery_New Market Inn,51.543074,-0.126691,2012-01-07
84,Destination,Tapping the Admiral,2012_Tapping the Admiral_New Market Inn,51.545061,-0.146527,2012-10-18
85,Origin,New Market Inn,2012_Tapping the Admiral_New Market Inn,51.543074,-0.126691,2012-01-07
86,Destination,Hungerdog (previously Chicken Cottage),2012_Hungerdog (previously Chicken Cottage)_New Market Inn,51.534911,-0.139649,2012-04-11
87,Origin,New Market Inn,2012_Hungerdog (previously Chicken Cottage)_New Market Inn,51.543074,-0.126691,2012-01-07
88,Destination,St Christophers School,2012_St Christophers School_New Market Inn,51.551071,-0.17003800000000002,2012-03-10
89,Origin,New Market Inn,2012_St Christophers School_New Market Inn,51.543074,-0.126691,2012-01-07
90,Destination,Grafton Arms,2012_Grafton Arms_New Market Inn,51.547061,-0.14493599999999998,2012-09-18
91,Origin,New Market Inn,2012_Grafton Arms_New Market Inn,51.543074,-0.126691,2012-01-07
92,Destination,Potion,2012_Potion_New Market Inn,51.522335999999996,-0.13943,2012-04-12
93,Origin,New Market Inn,2012_Potion_New Market Inn,51.543074,-0.126691,2012-01-07
94,Destination,Marlborough Arms,2012_Marlborough Arms_New Market Inn,51.521608,-0.132898,2012-02-08
95,Origin,New Market Inn,2012_Marlborough Arms_New Market Inn,51.543074,-0.126691,2012-01-07
96,Destination,Conway Hall,2012_Conway Hall_New Market Inn,51.519397,-0.11733099999999999,2012-05-31
97,Origin,New Market Inn,2012_Conway Hall_New Market Inn,51.543074,-0.126691,2012-01-07
98,Destination,CAMDEN SCHOOL FOR GIRLS,2012_CAMDEN SCHOOL FOR GIRLS_New Market Inn,51.546039,-0.134684,2012-03-07
99,Origin,New Market Inn,2012_CAMDEN SCHOOL FOR GIRLS_New Market Inn,51.543074,-0.126691,2012-01-07
100,Destination,London Irish Centre,2012_London Irish Centre_New Market Inn,51.543877,-0.132175,2012-09-11
101,Origin,New Market Inn,2012_London Irish Centre_New Market Inn,51.543074,-0.126691,2012-01-07
102,Destination,Sorting Office,2012_Sorting Office_New Market Inn,51.516892999999996,-0.124123,2012-10-15
103,Origin,New Market Inn,2012_Sorting Office_New Market Inn,51.543074,-0.126691,2012-01-07
104,Destination,Camden Lock Market,2012_Camden Lock Market_New Market Inn,51.541428,-0.145851,2012-11-30
105,Origin,New Market Inn,2012_Camden Lock Market_New Market Inn,51.543074,-0.126691,2012-01-07
106,Destination,1a Camden Road,2012_1a Camden Road_New Market Inn,51.539219,-0.141978,2012-10-12
107,Origin,New Market Inn,2012_1a Camden Road_New Market Inn,51.543074,-0.126691,2012-01-07
108,Destination,Wok Inn,2012_Wok Inn_New Market Inn,51.534911,-0.139649,2012-07-23
109,Origin,New Market Inn,2012_Wok Inn_New Market Inn,51.543074,-0.126691,2012-01-07
110,Destination,Walkabout,2012_Walkabout_New Market Inn,51.547698,-0.181321,2012-05-07
111,Origin,New Market Inn,2012_Walkabout_New Market Inn,51.543074,-0.126691,2012-01-07
112,Destination,Priory Tavern,2012_Priory Tavern_New Market Inn,51.538581,-0.191,2012-05-22
113,Origin,New Market Inn,2012_Priory Tavern_New Market Inn,51.543074,-0.126691,2012-01-07
114,Destination,Papa Johns,2012_Papa Johns_New Market Inn,51.535494,-0.140296,2012-09-11
115,Origin,New Market Inn,2012_Papa Johns_New Market Inn,51.543074,-0.126691,2012-01-07
116,Destination,Granary Square,2012_Granary Square_New Market Inn,51.536384000000005,-0.124454,2012-06-29
117,Origin,New Market Inn,2012_Granary Square_New Market Inn,51.543074,-0.126691,2012-01-07
118,Destination,Lucas Arms,2012_Lucas Arms_New Market Inn,51.528472,-0.11981900000000001,2012-07-11
119,Origin,New Market Inn,2012_Lucas Arms_New Market Inn,51.543074,-0.126691,2012-01-07
120,Destination,Royal National Hotel,2012_Royal National Hotel_New Market Inn,51.523588000000004,-0.12746500000000002,2012-12-10
121,Origin,New Market Inn,2012_Royal National Hotel_New Market Inn,51.543074,-0.126691,2012-01-07
122,Destination,The 10 Cases (formerly Aziza Cafe),2012_The 10 Cases (formerly Aziza Cafe)_New Market Inn,51.514406,-0.12488599999999998,2012-07-08
123,Origin,New Market Inn,2012_The 10 Cases (formerly Aziza Cafe)_New Market Inn,51.543074,-0.126691,2012-01-07
124,Destination,Colonel Fawcett,2012_Colonel Fawcett_New Market Inn,51.541639,-0.136007,2012-04-27
125,Origin,New Market Inn,2012_Colonel Fawcett_New Market Inn,51.543074,-0.126691,2012-01-07
126,Destination,Joe's Southern Table & Bar,2012_Joe's Southern Table & Bar_New Market Inn,51.551065,-0.140306,2012-12-19
127,Origin,New Market Inn,2012_Joe's Southern Table & Bar_New Market Inn,51.543074,-0.126691,2012-01-07
128,Destination,Bar Gansa,2012_Bar Gansa_New Market Inn,51.540039,-0.14449700000000001,2012-06-12
129,Origin,New Market Inn,2012_Bar Gansa_New Market Inn,51.543074,-0.126691,2012-01-07
130,Destination,St Pancras Parish Church,2012_St Pancras Parish Church_New Market Inn,51.52721,-0.13001500000000002,2012-11-23
131,Origin,New Market Inn,2012_St Pancras Parish Church_New Market Inn,51.543074,-0.126691,2012-01-07
132,Destination,Fleet River Bakery,2012_Fleet River Bakery_New Market Inn,51.51668,-0.119209,2012-11-28
133,Origin,New Market Inn,2012_Fleet River Bakery_New Market Inn,51.543074,-0.126691,2012-01-07
134,Destination,Elementree,2012_Elementree_New Market Inn,51.555443,-0.212655,2012-10-25
135,Origin,New Market Inn,2012_Elementree_New Market Inn,51.543074,-0.126691,2012-01-07
136,Destination,Camden Assembly,2012_Camden Assembly_New Market Inn,51.542882,-0.14976099999999998,2012-05-12
137,Origin,New Market Inn,2012_Camden Assembly_New Market Inn,51.543074,-0.126691,2012-01-07
138,Destination,Lincoln Inn Fields - Barristers Chambers,2012_Lincoln Inn Fields - Barristers Chambers_New Market Inn,51.515819,-0.118702,2012-03-12
139,Origin,New Market Inn,2012_Lincoln Inn Fields - Barristers Chambers_New Market Inn,51.543074,-0.126691,2012-01-07
140,Destination,White Hart,2012_White Hart_New Market Inn,51.516312,-0.123688,2012-12-12
141,Origin,New Market Inn,2012_White Hart_New Market Inn,51.543074,-0.126691,2012-01-07
142,Destination,Freemasons Arms,2012_Freemasons Arms_New Market Inn,51.557165999999995,-0.169192,2012-08-14
143,Origin,New Market Inn,2012_Freemasons Arms_New Market Inn,51.543074,-0.126691,2012-01-07
144,Destination,Kajima Centre,2012_Kajima Centre_New Market Inn,51.545084,-0.15376900000000002,2012-05-12
145,Origin,New Market Inn,2012_Kajima Centre_New Market Inn,51.543074,-0.126691,2012-01-07
146,Destination,Piazza,2012_Piazza_New Market Inn,51.516045,-0.127443,2012-07-19
147,Origin,New Market Inn,2012_Piazza_New Market Inn,51.543074,-0.126691,2012-01-07
148,Destination,Edinboro Castle,2012_Edinboro Castle_New Market Inn,51.536087,-0.14494,2012-12-13
149,Origin,New Market Inn,2012_Edinboro Castle_New Market Inn,51.543074,-0.126691,2012-01-07
150,Destination,Co-Operative Group Food Limited,2012_Co-Operative Group Food Limited_New Market Inn,51.549255,-0.140701,2012-07-16
151,Origin,New Market Inn,2012_Co-Operative Group Food Limited_New Market Inn,51.543074,-0.126691,2012-01-07
152,Destination,Olivers Village Cafe,2012_Olivers Village Cafe_New Market Inn,51.548344,-0.1727,2012-09-07
153,Origin,New Market Inn,2012_Olivers Village Cafe_New Market Inn,51.543074,-0.126691,2012-01-07
154,Destination,Sway (Club Area),2012_Sway (Club Area)_New Market Inn,51.515423,-0.12044400000000001,2012-05-21
155,Origin,New Market Inn,2012_Sway (Club Area)_New Market Inn,51.543074,-0.126691,2012-01-07
156,Destination,Antalya Turkish Cuisine,2012_Antalya Turkish Cuisine_New Market Inn,51.520227,-0.12197000000000001,2012-08-29
157,Origin,New Market Inn,2012_Antalya Turkish Cuisine_New Market Inn,51.543074,-0.126691,2012-01-07
158,Destination,Hawley Arms,2012_Hawley Arms_New Market Inn,51.541961,-0.145297,2012-01-08
159,Origin,New Market Inn,2012_Hawley Arms_New Market Inn,51.543074,-0.126691,2012-01-07
160,Destination,Fiddlers Elbow,2012_Fiddlers Elbow_New Market Inn,51.546079999999996,-0.151116,2012-05-11
161,Origin,New Market Inn,2012_Fiddlers Elbow_New Market Inn,51.543074,-0.126691,2012-01-07
162,Destination,Andrews Restaurant,2012_Andrews Restaurant_New Market Inn,51.522283,-0.113346,2012-04-10
163,Origin,New Market Inn,2012_Andrews Restaurant_New Market Inn,51.543074,-0.126691,2012-01-07
164,Destination,The Adelaide,2012_The Adelaide_New Market Inn,51.543134,-0.164908,2012-08-21
165,Origin,New Market Inn,2012_The Adelaide_New Market Inn,51.543074,-0.126691,2012-01-07
166,Destination,The Oxford Pub,2012_The Oxford Pub_New Market Inn,51.550104,-0.140492,2012-01-08
167,Origin,New Market Inn,2012_The Oxford Pub_New Market Inn,51.543074,-0.126691,2012-01-07
168,Destination,Dannyboyz Catering Company,2012_Dannyboyz Catering Company_New Market Inn,51.521384999999995,-0.11891600000000001,2012-11-21
169,Origin,New Market Inn,2012_Dannyboyz Catering Company_New Market Inn,51.543074,-0.126691,2012-01-07
170,Destination,85 Swains Lane,2012_85 Swains Lane_New Market Inn,51.568507000000004,-0.14737999999999998,2012-11-26
171,Origin,New Market Inn,2012_85 Swains Lane_New Market Inn,51.543074,-0.126691,2012-01-07
172,Destination,Jenny Wood Nature Reserve,2012_Jenny Wood Nature Reserve_New Market Inn,51.55144,-0.20276,2012-07-31
173,Origin,New Market Inn,2012_Jenny Wood Nature Reserve_New Market Inn,51.543074,-0.126691,2012-01-07
174,Destination,Made in Brasil Boteco (formerly Coco Bamboo),2012_Made in Brasil Boteco (formerly Coco Bamboo)_New Market Inn,51.54314,-0.148383,2012-12-19
175,Origin,New Market Inn,2012_Made in Brasil Boteco (formerly Coco Bamboo)_New Market Inn,51.543074,-0.126691,2012-01-07
176,Destination,Flask,2012_Flask_New Market Inn,51.556693,-0.176761,2012-11-06
177,Origin,New Market Inn,2012_Flask_New Market Inn,51.543074,-0.126691,2012-01-07
178,Destination,St Eugene de Mazenod Primary School,2012_St Eugene de Mazenod Primary School_New Market Inn,51.540984,-0.19375599999999998,2012-08-10
179,Origin,New Market Inn,2012_St Eugene de Mazenod Primary School_New Market Inn,51.543074,-0.126691,2012-01-07
180,Destination,40 Store Street,2012_40 Store Street_New Market Inn,51.520101000000004,-0.129801,2012-11-29
181,Origin,New Market Inn,2012_40 Store Street_New Market Inn,51.543074,-0.126691,2012-01-07
182,Destination,Students Union Venue at the University of the Arts,2012_Students Union Venue at the University of the Arts_New Market Inn,51.517590999999996,-0.115452,2012-09-13
183,Origin,New Market Inn,2012_Students Union Venue at the University of the Arts_New Market Inn,51.543074,-0.126691,2012-01-07
184,Destination,Holborn House,2012_Holborn House_New Market Inn,51.517503000000005,-0.117704,2012-07-06
185,Origin,New Market Inn,2012_Holborn House_New Market Inn,51.543074,-0.126691,2012-01-07
