,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,London Nails,2017_London Nails_Beauty Boutique,51.54587,-0.14094600000000002,2017-02-14
1,Origin,Beauty Boutique,2017_London Nails_Beauty Boutique,51.556783,-0.177972,2017-02-02
2,Destination,Flamin'Eight,2017_Flamin'Eight_Beauty Boutique,51.545062,-0.142178,2017-10-01
3,Origin,Beauty Boutique,2017_Flamin'Eight_Beauty Boutique,51.556783,-0.177972,2017-02-02
4,Destination,Beauty Boutique,2017_Beauty Boutique_Beauty Boutique,51.556783,-0.177972,2017-02-02
5,Origin,Beauty Boutique,2017_Beauty Boutique_Beauty Boutique,51.556783,-0.177972,2017-02-02
6,Destination,Rosebery Rooms,2017_Rosebery Rooms_Beauty Boutique,51.522115,-0.112598,2017-06-04
7,Origin,Beauty Boutique,2017_Rosebery Rooms_Beauty Boutique,51.556783,-0.177972,2017-02-02
8,Destination,Soho Gyms - Camden Town,2017_Soho Gyms - Camden Town_Beauty Boutique,51.539139,-0.14369500000000002,2017-03-05
9,Origin,Beauty Boutique,2017_Soho Gyms - Camden Town_Beauty Boutique,51.556783,-0.177972,2017-02-02
10,Destination,ANANTA SKIN & BODY,2013_ANANTA SKIN & BODY_ANANTA SKIN & BODY,51.518976,-0.117914,2013-05-21
11,Origin,ANANTA SKIN & BODY,2013_ANANTA SKIN & BODY_ANANTA SKIN & BODY,51.518976,-0.117914,2013-05-21
12,Destination,London Nails,2013_London Nails_ANANTA SKIN & BODY,51.54587,-0.14094600000000002,2013-05-28
13,Origin,ANANTA SKIN & BODY,2013_London Nails_ANANTA SKIN & BODY,51.518976,-0.117914,2013-05-21
14,Destination,Bannatyne Fitness (7) Limited,2013_Bannatyne Fitness (7) Limited_ANANTA SKIN & BODY,51.524485,-0.12700899999999998,2013-06-12
15,Origin,ANANTA SKIN & BODY,2013_Bannatyne Fitness (7) Limited_ANANTA SKIN & BODY,51.518976,-0.117914,2013-05-21
16,Destination,YMCA,2010_YMCA_Lost in Beauty,51.517452,-0.130432,2010-09-06
17,Origin,Lost in Beauty,2010_YMCA_Lost in Beauty,51.54213,-0.155697,2010-06-15
18,Destination,Lost in Beauty,2010_Lost in Beauty_Lost in Beauty,51.54213,-0.155697,2010-06-15
