,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Donmar Warehouse Theatre,2012_Donmar Warehouse Theatre_Chester Arms,51.514056,-0.12601400000000001,2012-07-06
1,Origin,Chester Arms,2012_Donmar Warehouse Theatre_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
2,Destination,Spearmint Rhino,2012_Spearmint Rhino_Chester Arms,51.523398,-0.136463,2012-11-14
3,Origin,Chester Arms,2012_Spearmint Rhino_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
4,Destination,Chester Arms,2012_Chester Arms_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
5,Origin,Chester Arms,2012_Chester Arms_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
6,Destination,Marquis Of Granby,2012_Marquis Of Granby_Chester Arms,51.513245,-0.12820299999999998,2012-07-06
7,Origin,Chester Arms,2012_Marquis Of Granby_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
8,Destination,Shaka Zulu,2012_Shaka Zulu_Chester Arms,51.542256,-0.14816,2012-09-14
9,Origin,Chester Arms,2012_Shaka Zulu_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
10,Destination,Bali Bali Restaurant,2012_Bali Bali Restaurant_Chester Arms,51.51386,-0.127887,2012-07-06
11,Origin,Chester Arms,2012_Bali Bali Restaurant_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
12,Destination,Homeslice Ltd,2012_Homeslice Ltd_Chester Arms,51.514446,-0.126545,2012-07-06
13,Origin,Chester Arms,2012_Homeslice Ltd_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
14,Destination,Barrica,2012_Barrica_Chester Arms,51.51935,-0.13703900000000002,2012-07-06
15,Origin,Chester Arms,2012_Barrica_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
16,Destination,Ship Tavern,2012_Ship Tavern_Chester Arms,51.517002000000005,-0.11943599999999999,2012-07-02
17,Origin,Chester Arms,2012_Ship Tavern_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
18,Destination,White Horse,2012_White Horse_Chester Arms,51.554378,-0.16508299999999998,2012-07-02
19,Origin,Chester Arms,2012_White Horse_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
20,Destination,32A Limited (previously Bullet Bar),2012_32A Limited (previously Bullet Bar)_Chester Arms,51.544982,-0.141947,2012-06-12
21,Origin,Chester Arms,2012_32A Limited (previously Bullet Bar)_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
22,Destination,Elephants Head,2012_Elephants Head_Chester Arms,51.540541999999995,-0.14366199999999998,2012-07-02
23,Origin,Chester Arms,2012_Elephants Head_Chester Arms,51.527791,-0.14463099999999998,2012-01-24
24,Destination,Draft House,2012_Draft House_Chester Arms,51.519021,-0.135793,2012-07-06
