,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Sainsbury's,2016_Sainsbury's_Ice Wharf - Lloyds No 1,51.519286,-0.191104,2016-02-22
1,Origin,Ice Wharf - Lloyds No 1,2016_Sainsbury's_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
2,Destination,Ice Wharf - Lloyds No 1,2016_Ice Wharf - Lloyds No 1_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
3,Origin,Ice Wharf - Lloyds No 1,2016_Ice Wharf - Lloyds No 1_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
4,Destination,The Abbey Tavern,2016_The Abbey Tavern_Ice Wharf - Lloyds No 1,51.54587,-0.14094600000000002,2016-12-21
5,Origin,Ice Wharf - Lloyds No 1,2016_The Abbey Tavern_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
6,Destination,Sainsburys Supermarket,2016_Sainsburys Supermarket_Ice Wharf - Lloyds No 1,51.522381,-0.109945,2016-04-04
7,Origin,Ice Wharf - Lloyds No 1,2016_Sainsburys Supermarket_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
8,Destination,College Arms,2016_College Arms_Ice Wharf - Lloyds No 1,51.520386,-0.132202,2016-05-05
9,Origin,Ice Wharf - Lloyds No 1,2016_College Arms_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
10,Destination,Ye Olde Mitre,2016_Ye Olde Mitre_Ice Wharf - Lloyds No 1,51.518824,-0.107485,2016-05-07
11,Origin,Ice Wharf - Lloyds No 1,2016_Ye Olde Mitre_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
12,Destination,Sainsbury's Supermarkets Ltd,2016_Sainsbury's Supermarkets Ltd_Ice Wharf - Lloyds No 1,51.535228000000004,-0.14816,2016-03-18
13,Origin,Ice Wharf - Lloyds No 1,2016_Sainsbury's Supermarkets Ltd_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
14,Destination,Penderel's Oak,2016_Penderel's Oak_Ice Wharf - Lloyds No 1,51.517858000000004,-0.11538599999999999,2016-08-02
15,Origin,Ice Wharf - Lloyds No 1,2016_Penderel's Oak_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
16,Destination,Old Bull And Bush,2016_Old Bull And Bush_Ice Wharf - Lloyds No 1,51.567537,-0.18248499999999998,2016-07-14
17,Origin,Ice Wharf - Lloyds No 1,2016_Old Bull And Bush_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
18,Destination,Vue Cinema,2016_Vue Cinema_Ice Wharf - Lloyds No 1,51.547698,-0.181321,2016-10-05
19,Origin,Ice Wharf - Lloyds No 1,2016_Vue Cinema_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
20,Destination,Thistle Bloomsbury Park Hotel,2016_Thistle Bloomsbury Park Hotel_Ice Wharf - Lloyds No 1,51.520378,-0.123529,2016-10-28
21,Origin,Ice Wharf - Lloyds No 1,2016_Thistle Bloomsbury Park Hotel_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
22,Destination,S & S Wines,2016_S & S Wines_Ice Wharf - Lloyds No 1,51.547625,-0.151126,2016-02-19
23,Origin,Ice Wharf - Lloyds No 1,2016_S & S Wines_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
24,Destination,Jazz Cafe,2016_Jazz Cafe_Ice Wharf - Lloyds No 1,51.538422,-0.143124,2016-06-19
25,Origin,Ice Wharf - Lloyds No 1,2016_Jazz Cafe_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
26,Destination,"Thistle Holborn,The Kingsley Hotel","2016_Thistle Holborn,The Kingsley Hotel_Ice Wharf - Lloyds No 1",51.517939,-0.12436099999999999,2016-10-28
27,Origin,Ice Wharf - Lloyds No 1,"2016_Thistle Holborn,The Kingsley Hotel_Ice Wharf - Lloyds No 1",51.540754,-0.145258,2016-01-18
28,Destination,Co-op,2016_Co-op_Ice Wharf - Lloyds No 1,51.538119,-0.145295,2016-12-10
29,Origin,Ice Wharf - Lloyds No 1,2016_Co-op_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
30,Destination,The Little Thai (formerly La Cocotte),2016_The Little Thai (formerly La Cocotte)_Ice Wharf - Lloyds No 1,51.554378,-0.16508299999999998,2016-04-03
31,Origin,Ice Wharf - Lloyds No 1,2016_The Little Thai (formerly La Cocotte)_Ice Wharf - Lloyds No 1,51.540754,-0.145258,2016-01-18
32,Destination,"Mindshare Media Uk Limited, 7th and 8th Floors","2013_Mindshare Media Uk Limited, 7th and 8th Floors_Marks & Spencer Simply Food",51.516045,-0.127443,2013-10-04
33,Origin,Marks & Spencer Simply Food,"2013_Mindshare Media Uk Limited, 7th and 8th Floors_Marks & Spencer Simply Food",51.529302,-0.13258499999999998,2013-01-11
34,Destination,The Camden Food Company,2013_The Camden Food Company_Marks & Spencer Simply Food,51.531775,-0.126577,2013-05-27
35,Origin,Marks & Spencer Simply Food,2013_The Camden Food Company_Marks & Spencer Simply Food,51.529302,-0.13258499999999998,2013-01-11
