,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Gourmet Burger Kitchen,2016_Gourmet Burger Kitchen_Way 2 Save,51.524397,-0.12385,2016-08-07
1,Origin,Way 2 Save,2016_Gourmet Burger Kitchen_Way 2 Save,51.546555,-0.203003,2016-01-02
2,Destination,Dominos Pizza,2016_Dominos Pizza_Way 2 Save,51.551787,-0.19178699999999999,2016-02-16
3,Origin,Way 2 Save,2016_Dominos Pizza_Way 2 Save,51.546555,-0.203003,2016-01-02
4,Destination,Garden Cafe & Restaurant,2016_Garden Cafe & Restaurant_Way 2 Save,51.545735,-0.179501,2016-01-18
5,Origin,Way 2 Save,2016_Garden Cafe & Restaurant_Way 2 Save,51.546555,-0.203003,2016-01-02
6,Destination,Tesco Express,2016_Tesco Express_Way 2 Save,51.536709,-0.19143,2016-07-01
7,Origin,Way 2 Save,2016_Tesco Express_Way 2 Save,51.546555,-0.203003,2016-01-02
8,Destination,Tesco Heath Street Hampstead Express,2016_Tesco Heath Street Hampstead Express_Way 2 Save,51.556143,-0.179161,2016-07-01
9,Origin,Way 2 Save,2016_Tesco Heath Street Hampstead Express_Way 2 Save,51.546555,-0.203003,2016-01-02
10,Destination,Firezza (formerly PizzaExpresss Delivered),2016_Firezza (formerly PizzaExpresss Delivered)_Way 2 Save,51.550391999999995,-0.19197899999999998,2016-11-23
11,Origin,Way 2 Save,2016_Firezza (formerly PizzaExpresss Delivered)_Way 2 Save,51.546555,-0.203003,2016-01-02
12,Destination,Secrets (Gray's Inn Road),2016_Secrets (Gray's Inn Road)_Way 2 Save,51.518921,-0.11112999999999999,2016-08-03
13,Origin,Way 2 Save,2016_Secrets (Gray's Inn Road)_Way 2 Save,51.546555,-0.203003,2016-01-02
14,Destination,Itsu,2016_Itsu_Way 2 Save,51.514534999999995,-0.133795,2016-05-29
15,Origin,Way 2 Save,2016_Itsu_Way 2 Save,51.546555,-0.203003,2016-01-02
16,Destination,TORTILLA,2016_TORTILLA_Way 2 Save,51.538624,-0.141854,2016-01-19
17,Origin,Way 2 Save,2016_TORTILLA_Way 2 Save,51.546555,-0.203003,2016-01-02
18,Destination,Shake Shack,2016_Shake Shack_Way 2 Save,51.51685,-0.128578,2016-10-05
19,Origin,Way 2 Save,2016_Shake Shack_Way 2 Save,51.546555,-0.203003,2016-01-02
20,Destination,Cafe Benjamin,2016_Cafe Benjamin_Way 2 Save,51.541275,-0.143823,2016-10-31
21,Origin,Way 2 Save,2016_Cafe Benjamin_Way 2 Save,51.546555,-0.203003,2016-01-02
22,Destination,Friend at Hand,2016_Friend at Hand_Way 2 Save,51.52268,-0.12503599999999998,2016-03-16
23,Origin,Way 2 Save,2016_Friend at Hand_Way 2 Save,51.546555,-0.203003,2016-01-02
24,Destination,St Pancras International,2016_St Pancras International_Way 2 Save,51.531775,-0.126577,2016-06-27
25,Origin,Way 2 Save,2016_St Pancras International_Way 2 Save,51.546555,-0.203003,2016-01-02
26,Destination,Pizza Hut,2016_Pizza Hut_Way 2 Save,51.53555,-0.139119,2016-02-24
27,Origin,Way 2 Save,2016_Pizza Hut_Way 2 Save,51.546555,-0.203003,2016-01-02
28,Destination,Jeremy Bentham,2016_Jeremy Bentham_Way 2 Save,51.524078,-0.135147,2016-08-23
29,Origin,Way 2 Save,2016_Jeremy Bentham_Way 2 Save,51.546555,-0.203003,2016-01-02
30,Destination,The Life Goddess,2016_The Life Goddess_Way 2 Save,51.519467,-0.13128199999999998,2016-11-03
31,Origin,Way 2 Save,2016_The Life Goddess_Way 2 Save,51.546555,-0.203003,2016-01-02
32,Destination,Daphne Restaurant,2016_Daphne Restaurant_Way 2 Save,51.537827,-0.141005,2016-02-21
33,Origin,Way 2 Save,2016_Daphne Restaurant_Way 2 Save,51.546555,-0.203003,2016-01-02
