,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,The Crowndale,2016_The Crowndale_L'Etoile,51.534285,-0.13764300000000002,2016-02-23
1,Origin,L'Etoile,2016_The Crowndale_L'Etoile,51.518959,-0.134555,2016-02-05
2,Destination,Joe's Southern Table & Bar,2016_Joe's Southern Table & Bar_L'Etoile,51.551065,-0.140306,2016-09-21
3,Origin,L'Etoile,2016_Joe's Southern Table & Bar_L'Etoile,51.518959,-0.134555,2016-02-05
4,Destination,The Load of Hay Tavern (Previously Hill),2016_The Load of Hay Tavern (Previously Hill)_L'Etoile,51.546873,-0.157876,2016-11-01
5,Origin,L'Etoile,2016_The Load of Hay Tavern (Previously Hill)_L'Etoile,51.518959,-0.134555,2016-02-05
6,Destination,Speenghar Express,2016_Speenghar Express_L'Etoile,51.549434999999995,-0.183002,2016-07-13
7,Origin,L'Etoile,2016_Speenghar Express_L'Etoile,51.518959,-0.134555,2016-02-05
8,Destination,Catalyst Cafe & Coffee Roasters (Formerly Underdog),2016_Catalyst Cafe & Coffee Roasters (Formerly Underdog)_L'Etoile,51.519905,-0.11175399999999999,2016-11-29
9,Origin,L'Etoile,2016_Catalyst Cafe & Coffee Roasters (Formerly Underdog)_L'Etoile,51.518959,-0.134555,2016-02-05
10,Destination,Mezza Eatery,2016_Mezza Eatery_L'Etoile,51.534911,-0.139649,2016-10-19
11,Origin,L'Etoile,2016_Mezza Eatery_L'Etoile,51.518959,-0.134555,2016-02-05
12,Destination,Burger & Lobster,2016_Burger & Lobster_L'Etoile,51.516745,-0.122603,2016-12-04
13,Origin,L'Etoile,2016_Burger & Lobster_L'Etoile,51.518959,-0.134555,2016-02-05
14,Destination,Cha Chaan Teng (Formerly) Rocket (Basement),2016_Cha Chaan Teng (Formerly) Rocket (Basement)_L'Etoile,51.515819,-0.118702,2016-07-07
15,Origin,L'Etoile,2016_Cha Chaan Teng (Formerly) Rocket (Basement)_L'Etoile,51.518959,-0.134555,2016-02-05
16,Destination,L'Etoile,2016_L'Etoile_L'Etoile,51.518959,-0.134555,2016-02-05
17,Origin,L'Etoile,2016_L'Etoile_L'Etoile,51.518959,-0.134555,2016-02-05
18,Destination,Tortilla,2016_Tortilla_L'Etoile,51.52268,-0.12503599999999998,2016-11-08
19,Origin,L'Etoile,2016_Tortilla_L'Etoile,51.518959,-0.134555,2016-02-05
20,Destination,WOK and GO,2016_WOK and GO_L'Etoile,51.549141999999996,-0.18245899999999998,2016-09-21
21,Origin,L'Etoile,2016_WOK and GO_L'Etoile,51.518959,-0.134555,2016-02-05
22,Destination,The T.E. Dingwall Building (Formerly Lock 17/Highlight),2016_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_L'Etoile,51.541428,-0.145851,2016-06-22
23,Origin,L'Etoile,2016_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_L'Etoile,51.518959,-0.134555,2016-02-05
24,Destination,Tropicana Beach Club,2016_Tropicana Beach Club_L'Etoile,51.51578,-0.12225699999999999,2016-09-21
25,Origin,L'Etoile,2016_Tropicana Beach Club_L'Etoile,51.518959,-0.134555,2016-02-05
