,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Supersave Food & Wine,2005_Supersave Food & Wine_Aki Restaurant,51.526934000000004,-0.180533,2005-01-06
1,Origin,Aki Restaurant,2005_Supersave Food & Wine_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
2,Destination,Shamrat Of India,2005_Shamrat Of India_Aki Restaurant,51.544703000000005,-0.200935,2005-11-07
3,Origin,Aki Restaurant,2005_Shamrat Of India_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
4,Destination,Emperor,2005_Emperor_Aki Restaurant,51.545968,-0.162543,2005-07-25
5,Origin,Aki Restaurant,2005_Emperor_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
6,Destination,Hush Brasseries Holborn (formerly Villandry Kitchen),2005_Hush Brasseries Holborn (formerly Villandry Kitchen)_Aki Restaurant,51.518268,-0.11845499999999999,2005-07-26
7,Origin,Aki Restaurant,2005_Hush Brasseries Holborn (formerly Villandry Kitchen)_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
8,Destination,Eat Tokyo (formerly Edokko Restaurant),2005_Eat Tokyo (formerly Edokko Restaurant)_Aki Restaurant,51.519793,-0.117736,2005-05-05
9,Origin,Aki Restaurant,2005_Eat Tokyo (formerly Edokko Restaurant)_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
10,Destination,Rock And Sole Place,2005_Rock And Sole Place_Aki Restaurant,51.514406,-0.12488599999999998,2005-05-08
11,Origin,Aki Restaurant,2005_Rock And Sole Place_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
12,Destination,Garfunkel's,2005_Garfunkel's_Aki Restaurant,51.516945,-0.12989,2005-07-29
13,Origin,Aki Restaurant,2005_Garfunkel's_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
14,Destination,Peckwater Estate Tenant & R.A,2005_Peckwater Estate Tenant & R.A_Aki Restaurant,51.550459000000004,-0.138127,2005-04-08
15,Origin,Aki Restaurant,2005_Peckwater Estate Tenant & R.A_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
16,Destination,Mondello Restaurant,2005_Mondello Restaurant_Aki Restaurant,51.519855,-0.135379,2005-09-06
17,Origin,Aki Restaurant,2005_Mondello Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
18,Destination,Miranas Food & Wine,2005_Miranas Food & Wine_Aki Restaurant,51.514406,-0.12488599999999998,2005-07-29
19,Origin,Aki Restaurant,2005_Miranas Food & Wine_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
20,Destination,Londis,2005_Londis_Aki Restaurant,51.518268,-0.201049,2005-05-25
21,Origin,Aki Restaurant,2005_Londis_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
22,Destination,Royal National Hotel,2005_Royal National Hotel_Aki Restaurant,51.523588000000004,-0.12746500000000002,2005-06-29
23,Origin,Aki Restaurant,2005_Royal National Hotel_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
24,Destination,Brookes Brothers Wine Bar & Brasserie,2005_Brookes Brothers Wine Bar & Brasserie_Aki Restaurant,51.518921,-0.11112999999999999,2005-01-08
25,Origin,Aki Restaurant,2005_Brookes Brothers Wine Bar & Brasserie_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
26,Destination,Zara Cafe Restaurant,2005_Zara Cafe Restaurant_Aki Restaurant,51.554295,-0.16628800000000002,2005-06-27
27,Origin,Aki Restaurant,2005_Zara Cafe Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
28,Destination,Versilia Restaurant,2005_Versilia Restaurant_Aki Restaurant,51.552893,-0.187857,2005-09-06
29,Origin,Aki Restaurant,2005_Versilia Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
30,Destination,Marks and Spencer,2005_Marks and Spencer_Aki Restaurant,51.519513,-0.133795,2005-06-20
31,Origin,Aki Restaurant,2005_Marks and Spencer_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
32,Destination,Balans Restaurant,2005_Balans Restaurant_Aki Restaurant,51.513596,-0.127317,2005-07-22
33,Origin,Aki Restaurant,2005_Balans Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
34,Destination,Staunton Hotel,2005_Staunton Hotel_Aki Restaurant,51.520101000000004,-0.129801,2005-11-05
35,Origin,Aki Restaurant,2005_Staunton Hotel_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
36,Destination,Golden Valley,2005_Golden Valley_Aki Restaurant,51.548396000000004,-0.12929200000000002,2005-06-30
37,Origin,Aki Restaurant,2005_Golden Valley_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
38,Destination,Birkbeck College (Gordon Sq),2005_Birkbeck College (Gordon Sq)_Aki Restaurant,51.524621999999994,-0.129966,2005-07-29
39,Origin,Aki Restaurant,2005_Birkbeck College (Gordon Sq)_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
40,Destination,Nando's,2005_Nando's_Aki Restaurant,51.544703000000005,-0.200935,2005-04-08
41,Origin,Aki Restaurant,2005_Nando's_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
42,Destination,Poolcrest Snooker Club,2005_Poolcrest Snooker Club_Aki Restaurant,51.545148,-0.201396,2005-04-04
43,Origin,Aki Restaurant,2005_Poolcrest Snooker Club_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
44,Destination,Offices Of Partners Bddh,2005_Offices Of Partners Bddh_Aki Restaurant,51.519946999999995,-0.133178,2005-03-08
45,Origin,Aki Restaurant,2005_Offices Of Partners Bddh_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
46,Destination,Atlanta Supermarket,2005_Atlanta Supermarket_Aki Restaurant,51.551787,-0.19203499999999998,2005-01-08
47,Origin,Aki Restaurant,2005_Atlanta Supermarket_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
48,Destination,Aki Restaurant,2005_Aki Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
49,Origin,Aki Restaurant,2005_Aki Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
50,Destination,Clore Education Centre British Museum,2005_Clore Education Centre British Museum_Aki Restaurant,51.519317,-0.127341,2005-06-08
51,Origin,Aki Restaurant,2005_Clore Education Centre British Museum_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
52,Destination,Shaftesbury Theatre,2005_Shaftesbury Theatre_Aki Restaurant,51.516234000000004,-0.12594,2005-05-19
53,Origin,Aki Restaurant,2005_Shaftesbury Theatre_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
54,Destination,Hot Rock Cafe,2005_Hot Rock Cafe_Aki Restaurant,51.539219,-0.141978,2005-05-08
55,Origin,Aki Restaurant,2005_Hot Rock Cafe_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
56,Destination,Springhealth Leisure Club,2005_Springhealth Leisure Club_Aki Restaurant,51.546167,-0.164761,2005-04-08
57,Origin,Aki Restaurant,2005_Springhealth Leisure Club_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
58,Destination,Wine Bargains Of Holborn,2005_Wine Bargains Of Holborn_Aki Restaurant,51.521044,-0.10923499999999998,2005-07-27
59,Origin,Aki Restaurant,2005_Wine Bargains Of Holborn_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
60,Destination,Woburn Tandoori Restaurant,2005_Woburn Tandoori Restaurant_Aki Restaurant,51.526845,-0.129579,2005-12-07
61,Origin,Aki Restaurant,2005_Woburn Tandoori Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
62,Destination,Chutneys,2005_Chutneys_Aki Restaurant,51.527013000000004,-0.137888,2005-02-08
63,Origin,Aki Restaurant,2005_Chutneys_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
64,Destination,Londsbury Express (Formerly Fleet Food Stop Off Licence),2005_Londsbury Express (Formerly Fleet Food Stop Off Licence)_Aki Restaurant,51.553721,-0.16133699999999998,2005-06-27
65,Origin,Aki Restaurant,2005_Londsbury Express (Formerly Fleet Food Stop Off Licence)_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
66,Destination,Fitzroy Tavern,2005_Fitzroy Tavern_Aki Restaurant,51.518959,-0.134555,2005-06-29
67,Origin,Aki Restaurant,2005_Fitzroy Tavern_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
68,Destination,Cafe Rouge,2005_Cafe Rouge_Aki Restaurant,51.556119,-0.176816,2005-07-20
69,Origin,Aki Restaurant,2005_Cafe Rouge_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
70,Destination,Kings Cross Tandoori,2005_Kings Cross Tandoori_Aki Restaurant,51.530239,-0.12168499999999999,2005-05-08
71,Origin,Aki Restaurant,2005_Kings Cross Tandoori_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
72,Destination,Yo! Sushi @ My Hotel,2005_Yo! Sushi @ My Hotel_Aki Restaurant,51.51831,-0.131671,2005-01-08
73,Origin,Aki Restaurant,2005_Yo! Sushi @ My Hotel_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
74,Destination,Bali Bali Restaurant,2005_Bali Bali Restaurant_Aki Restaurant,51.51386,-0.127887,2005-05-16
75,Origin,Aki Restaurant,2005_Bali Bali Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
76,Destination,Chu Chi,2005_Chu Chi_Aki Restaurant,51.518432000000004,-0.135121,2005-07-21
77,Origin,Aki Restaurant,2005_Chu Chi_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
78,Destination,Passage To India,2005_Passage To India_Aki Restaurant,51.549141999999996,-0.18245899999999998,2005-07-20
79,Origin,Aki Restaurant,2005_Passage To India_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
80,Destination,Costcutters,2005_Costcutters_Aki Restaurant,51.529095,-0.141795,2005-04-28
81,Origin,Aki Restaurant,2005_Costcutters_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
82,Destination,Institute of Historical Research Club,2005_Institute of Historical Research Club_Aki Restaurant,51.521009,-0.128445,2005-05-08
83,Origin,Aki Restaurant,2005_Institute of Historical Research Club_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
84,Destination,Fishworks,2005_Fishworks_Aki Restaurant,51.540818,-0.158121,2005-05-31
85,Origin,Aki Restaurant,2005_Fishworks_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
86,Destination,Tomai Pan Asian Street Food,2005_Tomai Pan Asian Street Food_Aki Restaurant,51.548794,-0.19137300000000002,2005-03-08
87,Origin,Aki Restaurant,2005_Tomai Pan Asian Street Food_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
88,Destination,32A Limited (previously Bullet Bar),2005_32A Limited (previously Bullet Bar)_Aki Restaurant,51.544982,-0.141947,2005-06-14
89,Origin,Aki Restaurant,2005_32A Limited (previously Bullet Bar)_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
90,Destination,Hemstall Self Service,2005_Hemstall Self Service_Aki Restaurant,51.544226,-0.19665,2005-07-19
91,Origin,Aki Restaurant,2005_Hemstall Self Service_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
92,Destination,Bangalore Brasserie,2005_Bangalore Brasserie_Aki Restaurant,51.548982,-0.130221,2005-06-30
93,Origin,Aki Restaurant,2005_Bangalore Brasserie_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
94,Destination,Trattoria Monte Bianco,2005_Trattoria Monte Bianco_Aki Restaurant,51.52301,-0.141308,2005-10-05
95,Origin,Aki Restaurant,2005_Trattoria Monte Bianco_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
96,Destination,Cafe Renoir,2005_Cafe Renoir_Aki Restaurant,51.549255,-0.140701,2005-07-13
97,Origin,Aki Restaurant,2005_Cafe Renoir_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
98,Destination,Singapore Gardens Restaurant,2005_Singapore Gardens Restaurant_Aki Restaurant,51.542473,-0.180059,2005-09-06
99,Origin,Aki Restaurant,2005_Singapore Gardens Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
100,Destination,Steven Lee Food & News,2005_Steven Lee Food & News_Aki Restaurant,51.52753,-0.11838900000000001,2005-05-13
101,Origin,Aki Restaurant,2005_Steven Lee Food & News_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
102,Destination,Aidel's,2005_Aidel's_Aki Restaurant,51.55223,-0.166857,2005-05-07
103,Origin,Aki Restaurant,2005_Aidel's_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
104,Destination,Cecil Sharp House,2005_Cecil Sharp House_Aki Restaurant,51.538157,-0.149351,2005-01-08
105,Origin,Aki Restaurant,2005_Cecil Sharp House_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
106,Destination,Costcutter,2005_Costcutter_Aki Restaurant,51.540393,-0.183002,2005-02-08
107,Origin,Aki Restaurant,2005_Costcutter_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
108,Destination,St Chad's,2005_St Chad's_Aki Restaurant,51.530577,-0.119622,2005-05-17
109,Origin,Aki Restaurant,2005_St Chad's_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
110,Destination,Villa Restaurant,2005_Villa Restaurant_Aki Restaurant,51.547618,-0.140702,2005-05-08
111,Origin,Aki Restaurant,2005_Villa Restaurant_Aki Restaurant,51.523041,-0.11357300000000001,2005-01-06
