,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Senor Ceviche (formerly known as The Barnyard),2013_Senor Ceviche (formerly known as The Barnyard)_Be At One,51.518959,-0.134555,2013-06-08
1,Origin,Be At One,2013_Senor Ceviche (formerly known as The Barnyard)_Be At One,51.535494,-0.140296,2013-03-07
2,Destination,Sam's Supermarket,2013_Sam's Supermarket_Be At One,51.541989,-0.129177,2013-08-08
3,Origin,Be At One,2013_Sam's Supermarket_Be At One,51.535494,-0.140296,2013-03-07
4,Destination,Cashino,2013_Cashino_Be At One,51.540251,-0.19475699999999999,2013-05-09
5,Origin,Be At One,2013_Cashino_Be At One,51.535494,-0.140296,2013-03-07
6,Destination,Holborn Whippet (FormerlyFathers Study),2013_Holborn Whippet (FormerlyFathers Study)_Be At One,51.518636,-0.12129000000000001,2013-05-15
7,Origin,Be At One,2013_Holborn Whippet (FormerlyFathers Study)_Be At One,51.535494,-0.140296,2013-03-07
8,Destination,28 Church Row,2013_28 Church Row_Be At One,51.555338,-0.179229,2013-08-11
9,Origin,Be At One,2013_28 Church Row_Be At One,51.535494,-0.140296,2013-03-07
10,Destination,Be At One,2013_Be At One_Be At One,51.535494,-0.140296,2013-03-07
11,Origin,Be At One,2013_Be At One_Be At One,51.535494,-0.140296,2013-03-07
12,Destination,Kiera (formerly Nunu Cafe and Brasserie),2013_Kiera (formerly Nunu Cafe and Brasserie)_Be At One,51.515526,-0.12947,2013-11-29
13,Origin,Be At One,2013_Kiera (formerly Nunu Cafe and Brasserie)_Be At One,51.535494,-0.140296,2013-03-07
14,Destination,The Green Room (formerly Sushi Kou),2013_The Green Room (formerly Sushi Kou)_Be At One,51.554619,-0.196508,2013-06-13
15,Origin,Be At One,2013_The Green Room (formerly Sushi Kou)_Be At One,51.535494,-0.140296,2013-03-07
16,Destination,JW3,2013_JW3_Be At One,51.551003,-0.184789,2013-04-09
17,Origin,Be At One,2013_JW3_Be At One,51.535494,-0.140296,2013-03-07
18,Destination,Camden Assembly,2013_Camden Assembly_Be At One,51.542882,-0.14976099999999998,2013-06-02
19,Origin,Be At One,2013_Camden Assembly_Be At One,51.535494,-0.140296,2013-03-07
20,Destination,Compagnie des Vins Surnaturel,2013_Compagnie des Vins Surnaturel_Be At One,51.514446,-0.126545,2013-04-19
21,Origin,Be At One,2013_Compagnie des Vins Surnaturel_Be At One,51.535494,-0.140296,2013-03-07
22,Destination,The Crowndale,2013_The Crowndale_Be At One,51.534285,-0.13764300000000002,2013-09-12
23,Origin,Be At One,2013_The Crowndale_Be At One,51.535494,-0.140296,2013-03-07
24,Destination,Marks & Spencer Simply Food (1) Unit 23,2013_Marks & Spencer Simply Food (1) Unit 23_Be At One,51.531775,-0.126577,2013-10-14
25,Origin,Be At One,2013_Marks & Spencer Simply Food (1) Unit 23_Be At One,51.535494,-0.140296,2013-03-07
26,Destination,Sir Richard Steele,2013_Sir Richard Steele_Be At One,51.546679,-0.15871300000000002,2013-04-12
27,Origin,Be At One,2013_Sir Richard Steele_Be At One,51.535494,-0.140296,2013-03-07
28,Destination,East Lodge,2013_East Lodge_Be At One,51.527128999999995,-0.132192,2013-05-15
29,Origin,Be At One,2013_East Lodge_Be At One,51.535494,-0.140296,2013-03-07
30,Destination,Bubbledogs &,2013_Bubbledogs &_Be At One,51.520672999999995,-0.136245,2013-05-04
31,Origin,Be At One,2013_Bubbledogs &_Be At One,51.535494,-0.140296,2013-03-07
32,Destination,White Horse,2013_White Horse_Be At One,51.554378,-0.16508299999999998,2013-09-09
33,Origin,Be At One,2013_White Horse_Be At One,51.535494,-0.140296,2013-03-07
34,Destination,Super Choice,2013_Super Choice_Be At One,51.549989000000004,-0.15253699999999998,2013-06-11
35,Origin,Be At One,2013_Super Choice_Be At One,51.535494,-0.140296,2013-03-07
36,Destination,West Lodge,2013_West Lodge_Be At One,51.526984000000006,-0.132609,2013-05-15
37,Origin,Be At One,2013_West Lodge_Be At One,51.535494,-0.140296,2013-03-07
38,Destination,Cote,2013_Cote_Be At One,51.538119,-0.145295,2013-10-21
39,Origin,Be At One,2013_Cote_Be At One,51.535494,-0.140296,2013-03-07
40,Destination,The Blues Kitchen,2013_The Blues Kitchen_Be At One,51.536691,-0.141465,2013-05-14
41,Origin,Be At One,2013_The Blues Kitchen_Be At One,51.535494,-0.140296,2013-03-07
42,Destination,The Jewish Museum,2013_The Jewish Museum_Be At One,51.536998,-0.145009,2013-06-21
43,Origin,Be At One,2013_The Jewish Museum_Be At One,51.535494,-0.140296,2013-03-07
44,Destination,Flight Club,2013_Flight Club_Be At One,51.516711,-0.127133,2013-11-20
45,Origin,Be At One,2013_Flight Club_Be At One,51.535494,-0.140296,2013-03-07
46,Destination,Fleet River Bakery,2013_Fleet River Bakery_Be At One,51.51668,-0.119209,2013-05-15
47,Origin,Be At One,2013_Fleet River Bakery_Be At One,51.535494,-0.140296,2013-03-07
48,Destination,Costcutters,2013_Costcutters_Be At One,51.530239,-0.12168499999999999,2013-10-24
49,Origin,Be At One,2013_Costcutters_Be At One,51.535494,-0.140296,2013-03-07
50,Destination,Retsina,2013_Retsina_Be At One,51.549607,-0.171967,2013-07-10
51,Origin,Be At One,2013_Retsina_Be At One,51.535494,-0.140296,2013-03-07
52,Destination,Bull & Gate,2013_Bull & Gate_Be At One,51.551885,-0.141932,2013-06-02
53,Origin,Be At One,2013_Bull & Gate_Be At One,51.535494,-0.140296,2013-03-07
