,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Royal George,2016_Royal George_Burger & Lobster,51.528401,-0.131543,2016-07-25
1,Origin,Burger & Lobster,2016_Royal George_Burger & Lobster,51.516745,-0.122603,2016-01-04
2,Destination,Le Pain Quotidien Unit 4,2016_Le Pain Quotidien Unit 4_Burger & Lobster,51.531775,-0.126577,2016-12-10
3,Origin,Burger & Lobster,2016_Le Pain Quotidien Unit 4_Burger & Lobster,51.516745,-0.122603,2016-01-04
4,Destination,Mabels Tavern,2016_Mabels Tavern_Burger & Lobster,51.52793,-0.12685,2016-02-24
5,Origin,Burger & Lobster,2016_Mabels Tavern_Burger & Lobster,51.516745,-0.122603,2016-01-04
6,Destination,Bull & Gate,2016_Bull & Gate_Burger & Lobster,51.551885,-0.141932,2016-08-11
7,Origin,Burger & Lobster,2016_Bull & Gate_Burger & Lobster,51.516745,-0.122603,2016-01-04
8,Destination,Firezza (formerly PizzaExpresss Delivered),2016_Firezza (formerly PizzaExpresss Delivered)_Burger & Lobster,51.550391999999995,-0.19197899999999998,2016-04-03
9,Origin,Burger & Lobster,2016_Firezza (formerly PizzaExpresss Delivered)_Burger & Lobster,51.516745,-0.122603,2016-01-04
10,Destination,Bengal Spice Restaurant,2016_Bengal Spice Restaurant_Burger & Lobster,51.549717,-0.191104,2016-04-03
11,Origin,Burger & Lobster,2016_Bengal Spice Restaurant_Burger & Lobster,51.516745,-0.122603,2016-01-04
12,Destination,The Railway,2016_The Railway_Burger & Lobster,51.546124,-0.19050799999999998,2016-01-14
13,Origin,Burger & Lobster,2016_The Railway_Burger & Lobster,51.516745,-0.122603,2016-01-04
14,Destination,Engineer,2016_Engineer_Burger & Lobster,51.540040000000005,-0.15085,2016-01-15
15,Origin,Burger & Lobster,2016_Engineer_Burger & Lobster,51.516745,-0.122603,2016-01-04
16,Destination,Royal National Hotel,2016_Royal National Hotel_Burger & Lobster,51.523588000000004,-0.12746500000000002,2016-03-06
17,Origin,Burger & Lobster,2016_Royal National Hotel_Burger & Lobster,51.516745,-0.122603,2016-01-04
