,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Centro & the Den,2011_Centro & the Den_Salvador and Amanda Bloomsbury (Formely Traffic),51.516890999999994,-0.12531,2011-05-27
1,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Centro & the Den_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
2,Destination,Smoking Goat,2011_Smoking Goat_Salvador and Amanda Bloomsbury (Formely Traffic),51.515018,-0.129353,2011-10-19
3,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Smoking Goat_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
4,Destination,Shaka Zulu,2011_Shaka Zulu_Salvador and Amanda Bloomsbury (Formely Traffic),51.542256,-0.14816,2011-03-23
5,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Shaka Zulu_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
6,Destination,Kentucky Fried Chicken,2011_Kentucky Fried Chicken_Salvador and Amanda Bloomsbury (Formely Traffic),51.540039,-0.14449700000000001,2011-11-17
7,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Kentucky Fried Chicken_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
8,Destination,The T.E. Dingwall Building (Formerly Lock 17/Highlight),2011_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_Salvador and Amanda Bloomsbury (Formely Traffic),51.541428,-0.145851,2011-12-22
9,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_The T.E. Dingwall Building (Formerly Lock 17/Highlight)_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
10,Destination,Shakespeares Head,2011_Shakespeares Head_Salvador and Amanda Bloomsbury (Formely Traffic),51.517002000000005,-0.11943599999999999,2011-06-10
11,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Shakespeares Head_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
12,Destination,Poolcrest Snooker Club,2011_Poolcrest Snooker Club_Salvador and Amanda Bloomsbury (Formely Traffic),51.545148,-0.201396,2011-09-28
13,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Poolcrest Snooker Club_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
14,Destination,32A Limited (previously Bullet Bar),2011_32A Limited (previously Bullet Bar)_Salvador and Amanda Bloomsbury (Formely Traffic),51.544982,-0.141947,2011-06-17
15,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_32A Limited (previously Bullet Bar)_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
16,Destination,Royal Exchange,2011_Royal Exchange_Salvador and Amanda Bloomsbury (Formely Traffic),51.543859000000005,-0.145834,2011-11-22
17,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Royal Exchange_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
18,Destination,Coram's Field,2011_Coram's Field_Salvador and Amanda Bloomsbury (Formely Traffic),51.524413,-0.120004,2011-07-03
19,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Coram's Field_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
20,Destination,Cafe Metro,2011_Cafe Metro_Salvador and Amanda Bloomsbury (Formely Traffic),51.539688,-0.142772,2011-11-23
21,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Cafe Metro_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
22,Destination,Elysee Restaurant,2011_Elysee Restaurant_Salvador and Amanda Bloomsbury (Formely Traffic),51.518605,-0.13372,2011-06-24
23,Origin,Salvador and Amanda Bloomsbury (Formely Traffic),2011_Elysee Restaurant_Salvador and Amanda Bloomsbury (Formely Traffic),51.519286,-0.12206700000000001,2011-01-02
