,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,North Star,2005_North Star_Bloc Bar (Formerly Record Club/The Stillery,51.545976,-0.178297,2005-07-14
1,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_North Star_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
2,Destination,All Bar One,2005_All Bar One_Bloc Bar (Formerly Record Club/The Stillery,51.51668,-0.128578,2005-06-17
3,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_All Bar One_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
4,Destination,Victoria Food & Wine,2005_Victoria Food & Wine_Bloc Bar (Formerly Record Club/The Stillery,51.522283,-0.166857,2005-04-08
5,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Victoria Food & Wine_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
6,Destination,Covent Garden Hotel,2005_Covent Garden Hotel_Bloc Bar (Formerly Record Club/The Stillery,51.514389,-0.12725799999999998,2005-07-27
7,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Covent Garden Hotel_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
8,Destination,Lilly Langtree,2005_Lilly Langtree_Bloc Bar (Formerly Record Club/The Stillery,51.539832000000004,-0.188324,2005-07-25
9,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Lilly Langtree_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
10,Destination,Dominion Theatre,2005_Dominion Theatre_Bloc Bar (Formerly Record Club/The Stillery,51.516945,-0.12989,2005-06-24
11,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Dominion Theatre_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
12,Destination,The Constitution,2005_The Constitution_Bloc Bar (Formerly Record Club/The Stillery,51.540313,-0.135401,2005-05-25
13,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Constitution_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
14,Destination,Admiral Mann,2005_Admiral Mann_Bloc Bar (Formerly Record Club/The Stillery,51.549326,-0.130676,2005-07-21
15,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Admiral Mann_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
16,Destination,Mabels Tavern,2005_Mabels Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.52793,-0.12685,2005-05-31
17,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Mabels Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
18,Destination,Aquila Club (formerly Secrets),2005_Aquila Club (formerly Secrets)_Bloc Bar (Formerly Record Club/The Stillery,51.549878,-0.183277,2005-12-07
19,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Aquila Club (formerly Secrets)_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
20,Destination,Made In Brasil,2005_Made In Brasil_Bloc Bar (Formerly Record Club/The Stillery,51.540039,-0.14449700000000001,2005-07-22
21,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Made In Brasil_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
22,Destination,Toast Restaurant,2005_Toast Restaurant_Bloc Bar (Formerly Record Club/The Stillery,51.556783,-0.177972,2005-04-08
23,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Toast Restaurant_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
24,Destination,Vue Cinema,2005_Vue Cinema_Bloc Bar (Formerly Record Club/The Stillery,51.547698,-0.181321,2005-07-15
25,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Vue Cinema_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
26,Destination,Sainsbury's Supermarket,2005_Sainsbury's Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.538855,-0.193651,2005-06-15
27,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Sainsbury's Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
28,Destination,Euston Square Hotel,2005_Euston Square Hotel_Bloc Bar (Formerly Record Club/The Stillery,51.526554,-0.135793,2005-05-08
29,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Euston Square Hotel_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
30,Destination,O'Neills,2005_O'Neills_Bloc Bar (Formerly Record Club/The Stillery,51.528517,-0.126822,2005-06-08
31,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_O'Neills_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
32,Destination,Jeremy Bentham,2005_Jeremy Bentham_Bloc Bar (Formerly Record Club/The Stillery,51.524078,-0.135147,2005-05-13
33,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Jeremy Bentham_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
34,Destination,The Horseshoe,2005_The Horseshoe_Bloc Bar (Formerly Record Club/The Stillery,51.55619,-0.178368,2005-04-08
35,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Horseshoe_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
36,Destination,Fitzrovia Belle (previously Mortimer Arms),2005_Fitzrovia Belle (previously Mortimer Arms)_Bloc Bar (Formerly Record Club/The Stillery,51.522976,-0.135628,2005-07-26
37,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Fitzrovia Belle (previously Mortimer Arms)_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
38,Destination,Apple Tree,2005_Apple Tree_Bloc Bar (Formerly Record Club/The Stillery,51.523275,-0.112017,2005-06-30
39,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Apple Tree_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
40,Destination,Burger King,2005_Burger King_Bloc Bar (Formerly Record Club/The Stillery,51.529540999999995,-0.12369200000000001,2005-06-24
41,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Burger King_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
42,Destination,Diamond Supermarket,2005_Diamond Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.546679,-0.15871300000000002,2005-07-25
43,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Diamond Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
44,Destination,Odeon Cinema,2005_Odeon Cinema_Bloc Bar (Formerly Record Club/The Stillery,51.51428,-0.17460799999999999,2005-02-08
45,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Odeon Cinema_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
46,Destination,Cuban,2005_Cuban_Bloc Bar (Formerly Record Club/The Stillery,51.542256,-0.14816,2005-12-07
47,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Cuban_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
48,Destination,Somerstown Coffee House,2005_Somerstown Coffee House_Bloc Bar (Formerly Record Club/The Stillery,51.529990000000005,-0.130767,2005-04-29
49,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Somerstown Coffee House_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
50,Destination,Belushis Bar,2005_Belushis Bar_Bloc Bar (Formerly Record Club/The Stillery,51.536631,-0.14013499999999998,2005-01-08
51,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Belushis Bar_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
52,Destination,Prince Albert,2005_Prince Albert_Bloc Bar (Formerly Record Club/The Stillery,51.540099,-0.137417,2005-07-22
53,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Prince Albert_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
54,Destination,Camden Eye,2005_Camden Eye_Bloc Bar (Formerly Record Club/The Stillery,51.539219,-0.141978,2005-05-08
55,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Camden Eye_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
56,Destination,Grafton Arms,2005_Grafton Arms_Bloc Bar (Formerly Record Club/The Stillery,51.523559999999996,-0.139343,2005-12-07
57,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Grafton Arms_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
58,Destination,Futura,2005_Futura_Bloc Bar (Formerly Record Club/The Stillery,51.546221,-0.15824000000000002,2005-07-28
59,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Futura_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
60,Destination,The Roebuck,2005_The Roebuck_Bloc Bar (Formerly Record Club/The Stillery,51.553819,-0.167738,2005-10-06
61,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Roebuck_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
62,Destination,Kentish Town Supermarket,2005_Kentish Town Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.545931,-0.14239000000000002,2005-06-06
63,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Kentish Town Supermarket_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
64,Destination,The Little Castle,2005_The Little Castle_Bloc Bar (Formerly Record Club/The Stillery,51.541621,-0.145288,2005-06-17
65,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Little Castle_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
66,Destination,GEORGE P.H.,2005_GEORGE P.H._Bloc Bar (Formerly Record Club/The Stillery,51.515707,-0.12126300000000001,2005-05-25
67,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_GEORGE P.H._Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
68,Destination,Square Tavern,2005_Square Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.525744,-0.137494,2005-11-07
69,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Square Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
70,Destination,Cock Tavern,2005_Cock Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.531317,-0.131109,2005-07-18
71,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Cock Tavern_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
72,Destination,Beheshte Barin Restaurant (formerly Khayyam Restaurant),2005_Beheshte Barin Restaurant (formerly Khayyam Restaurant)_Bloc Bar (Formerly Record Club/The Stillery,51.556827,-0.195673,2005-05-07
73,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Beheshte Barin Restaurant (formerly Khayyam Restaurant)_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
74,Destination,Sol's Arms,2005_Sol's Arms_Bloc Bar (Formerly Record Club/The Stillery,51.526732,-0.13984100000000002,2005-06-06
75,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Sol's Arms_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
76,Destination,Alexander The Great,2005_Alexander The Great_Bloc Bar (Formerly Record Club/The Stillery,51.536551,-0.138723,2005-12-07
77,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Alexander The Great_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
78,Destination,Pembroke,2005_Pembroke_Bloc Bar (Formerly Record Club/The Stillery,51.542336999999996,-0.154256,2005-07-22
79,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Pembroke_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
80,Destination,Bloomsbury Bowling Lanes,2005_Bloomsbury Bowling Lanes_Bloc Bar (Formerly Record Club/The Stillery,51.52386,-0.12945,2005-05-08
81,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Bloomsbury Bowling Lanes_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
82,Destination,Bar Vinyl,2005_Bar Vinyl_Bloc Bar (Formerly Record Club/The Stillery,51.540039,-0.14449700000000001,2005-05-08
83,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Bar Vinyl_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
84,Destination,Institute of Education Students Union,2005_Institute of Education Students Union_Bloc Bar (Formerly Record Club/The Stillery,51.523069,-0.128282,2005-07-26
85,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Institute of Education Students Union_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
86,Destination,Duke Of Hamilton,2005_Duke Of Hamilton_Bloc Bar (Formerly Record Club/The Stillery,51.55887,-0.177456,2005-07-22
87,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Duke Of Hamilton_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
88,Destination,Exmouth Arms,2005_Exmouth Arms_Bloc Bar (Formerly Record Club/The Stillery,51.527910999999996,-0.13675199999999998,2005-06-06
89,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Exmouth Arms_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
90,Destination,Supersave Food & Wine,2005_Supersave Food & Wine_Bloc Bar (Formerly Record Club/The Stillery,51.526934000000004,-0.209642,2005-07-28
91,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Supersave Food & Wine_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
92,Destination,Mercure London Bloomsbury (formerly Waverley House Hotel),2005_Mercure London Bloomsbury (formerly Waverley House Hotel)_Bloc Bar (Formerly Record Club/The Stillery,51.521776,-0.12359300000000001,2005-07-27
93,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Mercure London Bloomsbury (formerly Waverley House Hotel)_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
94,Destination,Shakespeares Head,2005_Shakespeares Head_Bloc Bar (Formerly Record Club/The Stillery,51.517002000000005,-0.11943599999999999,2005-06-16
95,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Shakespeares Head_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
96,Destination,Enterprise,2005_Enterprise_Bloc Bar (Formerly Record Club/The Stillery,51.520167,-0.152816,2005-06-23
97,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Enterprise_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
98,Destination,Friend at Hand,2005_Friend at Hand_Bloc Bar (Formerly Record Club/The Stillery,51.52268,-0.12503599999999998,2005-05-27
99,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_Friend at Hand_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
100,Destination,The Camden Head,2005_The Camden Head_Bloc Bar (Formerly Record Club/The Stillery,51.537827,-0.141005,2005-07-13
101,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Camden Head_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
102,Destination,The Albert,2005_The Albert_Bloc Bar (Formerly Record Club/The Stillery,51.538624,-0.15281199999999998,2005-07-28
103,Origin,Bloc Bar (Formerly Record Club/The Stillery,2005_The Albert_Bloc Bar (Formerly Record Club/The Stillery,51.540164000000004,-0.141998,2005-01-06
