,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Holiday Inn London Bloomsbury,2015_Holiday Inn London Bloomsbury_Tortilla,51.523677,-0.12488699999999998,2015-01-13
1,Origin,Tortilla,2015_Holiday Inn London Bloomsbury_Tortilla,51.54742,-0.17971099999999998,2015-01-04
2,Destination,Pizza East/Chicken Shop (formerly Grand Union - Highgate),2015_Pizza East/Chicken Shop (formerly Grand Union - Highgate)_Tortilla,51.55423,-0.144109,2015-02-04
3,Origin,Tortilla,2015_Pizza East/Chicken Shop (formerly Grand Union - Highgate)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
4,Destination,Mezza Express,2015_Mezza Express_Tortilla,51.538119,-0.145295,2015-08-02
5,Origin,Tortilla,2015_Mezza Express_Tortilla,51.54742,-0.17971099999999998,2015-01-04
6,Destination,Everyman Belsize Park,2015_Everyman Belsize Park_Tortilla,51.550631,-0.165875,2015-05-13
7,Origin,Tortilla,2015_Everyman Belsize Park_Tortilla,51.54742,-0.17971099999999998,2015-01-04
8,Destination,02 Forum,2015_02 Forum_Tortilla,51.551885,-0.141932,2015-06-11
9,Origin,Tortilla,2015_02 Forum_Tortilla,51.54742,-0.17971099999999998,2015-01-04
10,Destination,The Crypt,2015_The Crypt_Tortilla,51.518824,-0.107485,2015-10-06
11,Origin,Tortilla,2015_The Crypt_Tortilla,51.54742,-0.17971099999999998,2015-01-04
12,Destination,A-SAUCE LIMITED,2015_A-SAUCE LIMITED_Tortilla,51.517687,-0.125027,2015-10-28
13,Origin,Tortilla,2015_A-SAUCE LIMITED_Tortilla,51.54742,-0.17971099999999998,2015-01-04
14,Destination,Feng Sushi,2015_Feng Sushi_Tortilla,51.543793,-0.19166,2015-03-12
15,Origin,Tortilla,2015_Feng Sushi_Tortilla,51.54742,-0.17971099999999998,2015-01-04
16,Destination,Bestco Supermarkets,2015_Bestco Supermarkets_Tortilla,51.545148,-0.201396,2015-03-25
17,Origin,Tortilla,2015_Bestco Supermarkets_Tortilla,51.54742,-0.17971099999999998,2015-01-04
18,Destination,Passage To India,2015_Passage To India_Tortilla,51.549141999999996,-0.18245899999999998,2015-11-12
19,Origin,Tortilla,2015_Passage To India_Tortilla,51.54742,-0.17971099999999998,2015-01-04
20,Destination,Bucks Head,2015_Bucks Head_Tortilla,51.540186,-0.143102,2015-09-29
21,Origin,Tortilla,2015_Bucks Head_Tortilla,51.54742,-0.17971099999999998,2015-01-04
22,Destination,House of Ho (formerly known as Bam-Bou),2015_House of Ho (formerly known as Bam-Bou)_Tortilla,51.518605,-0.13372,2015-10-11
23,Origin,Tortilla,2015_House of Ho (formerly known as Bam-Bou)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
24,Destination,Bush and Field Cafe,2015_Bush and Field Cafe_Tortilla,51.517687,-0.125027,2015-01-21
25,Origin,Tortilla,2015_Bush and Field Cafe_Tortilla,51.54742,-0.17971099999999998,2015-01-04
26,Destination,Paris News (formerly Your Local),2015_Paris News (formerly Your Local)_Tortilla,51.539896,-0.140739,2015-10-09
27,Origin,Tortilla,2015_Paris News (formerly Your Local)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
28,Destination,Andy's Taverna,2015_Andy's Taverna_Tortilla,51.537869,-0.13966800000000001,2015-03-07
29,Origin,Tortilla,2015_Andy's Taverna_Tortilla,51.54742,-0.17971099999999998,2015-01-04
30,Destination,Oriental Express,2015_Oriental Express_Tortilla,51.543884999999996,-0.149478,2015-05-25
31,Origin,Tortilla,2015_Oriental Express_Tortilla,51.54742,-0.17971099999999998,2015-01-04
32,Destination,MERE,2015_MERE_Tortilla,51.520672999999995,-0.136245,2015-04-15
33,Origin,Tortilla,2015_MERE_Tortilla,51.54742,-0.17971099999999998,2015-01-04
34,Destination,Gipsy Queen,2015_Gipsy Queen_Tortilla,51.550794,-0.15471400000000002,2015-10-04
35,Origin,Tortilla,2015_Gipsy Queen_Tortilla,51.54742,-0.17971099999999998,2015-01-04
36,Destination,Mezza Eatery,2015_Mezza Eatery_Tortilla,51.534911,-0.139649,2015-04-22
37,Origin,Tortilla,2015_Mezza Eatery_Tortilla,51.54742,-0.17971099999999998,2015-01-04
38,Destination,Piano Bar Restaurant,2015_Piano Bar Restaurant_Tortilla,51.542823,-0.175825,2015-04-22
39,Origin,Tortilla,2015_Piano Bar Restaurant_Tortilla,51.54742,-0.17971099999999998,2015-01-04
40,Destination,Best One Limtied,2015_Best One Limtied_Tortilla,51.552448,-0.14057999999999998,2015-01-10
41,Origin,Tortilla,2015_Best One Limtied_Tortilla,51.54742,-0.17971099999999998,2015-01-04
42,Destination,Aquila Club (formerly Secrets),2015_Aquila Club (formerly Secrets)_Tortilla,51.549878,-0.183277,2015-03-02
43,Origin,Tortilla,2015_Aquila Club (formerly Secrets)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
44,Destination,Locanda Canton(Formerly Le Mignon),2015_Locanda Canton(Formerly Le Mignon)_Tortilla,51.536705,-0.142095,2015-06-29
45,Origin,Tortilla,2015_Locanda Canton(Formerly Le Mignon)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
46,Destination,DOMO 94 (Previously known as Thang Long Vietnamese Restaurant),2015_DOMO 94 (Previously known as Thang Long Vietnamese Restaurant)_Tortilla,51.541171000000006,-0.13830399999999998,2015-03-03
47,Origin,Tortilla,2015_DOMO 94 (Previously known as Thang Long Vietnamese Restaurant)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
48,Destination,12 Bar Club & Restaurant,2015_12 Bar Club & Restaurant_Tortilla,51.515526,-0.12947,2015-03-02
49,Origin,Tortilla,2015_12 Bar Club & Restaurant_Tortilla,51.54742,-0.17971099999999998,2015-01-04
50,Destination,Shoryu,2015_Shoryu_Tortilla,51.515707,-0.12126300000000001,2015-12-10
51,Origin,Tortilla,2015_Shoryu_Tortilla,51.54742,-0.17971099999999998,2015-01-04
52,Destination,Shamrat Of India,2015_Shamrat Of India_Tortilla,51.544703000000005,-0.200935,2015-03-02
53,Origin,Tortilla,2015_Shamrat Of India_Tortilla,51.54742,-0.17971099999999998,2015-01-04
54,Destination,Corner Off Licence,2015_Corner Off Licence_Tortilla,51.529063,-0.11636099999999999,2015-01-06
55,Origin,Tortilla,2015_Corner Off Licence_Tortilla,51.54742,-0.17971099999999998,2015-01-04
56,Destination,Gigi's Espresso Bar,2015_Gigi's Espresso Bar_Tortilla,51.519793,-0.117736,2015-02-11
57,Origin,Tortilla,2015_Gigi's Espresso Bar_Tortilla,51.54742,-0.17971099999999998,2015-01-04
58,Destination,"Paramount (Floors 31, 32, 33)","2015_Paramount (Floors 31, 32, 33)_Tortilla",51.516178000000004,-0.12926500000000002,2015-01-28
59,Origin,Tortilla,"2015_Paramount (Floors 31, 32, 33)_Tortilla",51.54742,-0.17971099999999998,2015-01-04
60,Destination,Kentish Delight Bar,2015_Kentish Delight Bar_Tortilla,51.551322,-0.141042,2015-02-27
61,Origin,Tortilla,2015_Kentish Delight Bar_Tortilla,51.54742,-0.17971099999999998,2015-01-04
62,Destination,The Water Rats,2015_The Water Rats_Tortilla,51.529164,-0.118967,2015-08-17
63,Origin,Tortilla,2015_The Water Rats_Tortilla,51.54742,-0.17971099999999998,2015-01-04
64,Destination,Gunmakers Arms,2015_Gunmakers Arms_Tortilla,51.522494,-0.110714,2015-05-27
65,Origin,Tortilla,2015_Gunmakers Arms_Tortilla,51.54742,-0.17971099999999998,2015-01-04
66,Destination,Curry Manjil,2015_Curry Manjil_Tortilla,51.545968,-0.162543,2015-02-04
67,Origin,Tortilla,2015_Curry Manjil_Tortilla,51.54742,-0.17971099999999998,2015-01-04
68,Destination,Truflesecco,2015_Truflesecco_Tortilla,51.534911,-0.139649,2015-12-17
69,Origin,Tortilla,2015_Truflesecco_Tortilla,51.54742,-0.17971099999999998,2015-01-04
70,Destination,The Brunswick Centre,2015_The Brunswick Centre_Tortilla,51.524397,-0.12385,2015-02-24
71,Origin,Tortilla,2015_The Brunswick Centre_Tortilla,51.54742,-0.17971099999999998,2015-01-04
72,Destination,Caps & Taps,2015_Caps & Taps_Tortilla,51.54587,-0.14094600000000002,2015-02-20
73,Origin,Tortilla,2015_Caps & Taps_Tortilla,51.54742,-0.17971099999999998,2015-01-04
74,Destination,Adventure Bar (previously Detroit),2015_Adventure Bar (previously Detroit)_Tortilla,51.514056,-0.12601400000000001,2015-11-18
75,Origin,Tortilla,2015_Adventure Bar (previously Detroit)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
76,Destination,Exmouth Arms,2015_Exmouth Arms_Tortilla,51.527910999999996,-0.13675199999999998,2015-09-01
77,Origin,Tortilla,2015_Exmouth Arms_Tortilla,51.54742,-0.17971099999999998,2015-01-04
78,Destination,One Tun,2015_One Tun_Tortilla,51.520098,-0.10698099999999999,2015-11-03
79,Origin,Tortilla,2015_One Tun_Tortilla,51.54742,-0.17971099999999998,2015-01-04
80,Destination,Take One,2015_Take One_Tortilla,51.546679,-0.15871300000000002,2015-06-07
81,Origin,Tortilla,2015_Take One_Tortilla,51.54742,-0.17971099999999998,2015-01-04
82,Destination,Magdala,2015_Magdala_Tortilla,51.55581,-0.165543,2015-02-07
83,Origin,Tortilla,2015_Magdala_Tortilla,51.54742,-0.17971099999999998,2015-01-04
84,Destination,Mela,2015_Mela_Tortilla,51.51386,-0.127887,2015-08-12
85,Origin,Tortilla,2015_Mela_Tortilla,51.54742,-0.17971099999999998,2015-01-04
86,Destination,New Little India (formerly Chutney Raj),2015_New Little India (formerly Chutney Raj)_Tortilla,51.52451,-0.115302,2015-04-08
87,Origin,Tortilla,2015_New Little India (formerly Chutney Raj)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
88,Destination,The Truscott Cellar (formerly Weng Wah Restaurant),2015_The Truscott Cellar (formerly Weng Wah Restaurant)_Tortilla,51.55223,-0.166857,2015-04-27
89,Origin,Tortilla,2015_The Truscott Cellar (formerly Weng Wah Restaurant)_Tortilla,51.54742,-0.17971099999999998,2015-01-04
90,Destination,Steven Lee Food & News,2015_Steven Lee Food & News_Tortilla,51.52753,-0.11838900000000001,2015-06-25
91,Origin,Tortilla,2015_Steven Lee Food & News_Tortilla,51.54742,-0.17971099999999998,2015-01-04
92,Destination,White Horse,2015_White Horse_Tortilla,51.554378,-0.16508299999999998,2015-08-17
93,Origin,Tortilla,2015_White Horse_Tortilla,51.54742,-0.17971099999999998,2015-01-04
94,Destination,Camden Burgers LTD,2015_Camden Burgers LTD_Tortilla,51.534911,-0.139649,2015-01-05
95,Origin,Tortilla,2015_Camden Burgers LTD_Tortilla,51.54742,-0.17971099999999998,2015-01-04
96,Destination,Made In Brasil,2015_Made In Brasil_Tortilla,51.540039,-0.14449700000000001,2015-09-09
97,Origin,Tortilla,2015_Made In Brasil_Tortilla,51.54742,-0.17971099999999998,2015-01-04
98,Destination,O'Reillys,2015_O'Reillys_Tortilla,51.549129,-0.141647,2015-02-13
99,Origin,Tortilla,2015_O'Reillys_Tortilla,51.54742,-0.17971099999999998,2015-01-04
100,Destination,Royal Free Hospital School Of Medicine,2015_Royal Free Hospital School Of Medicine_Tortilla,51.553171,-0.16541,2015-05-11
101,Origin,Tortilla,2015_Royal Free Hospital School Of Medicine_Tortilla,51.54742,-0.17971099999999998,2015-01-04
102,Destination,Budget Beers,2015_Budget Beers_Tortilla,51.550328,-0.150377,2015-09-04
103,Origin,Tortilla,2015_Budget Beers_Tortilla,51.54742,-0.17971099999999998,2015-01-04
104,Destination,Jar Kitchen,2015_Jar Kitchen_Tortilla,51.516075,-0.122922,2015-09-02
105,Origin,Tortilla,2015_Jar Kitchen_Tortilla,51.54742,-0.17971099999999998,2015-01-04
106,Destination,Prince Of Wales Supermarket,2015_Prince Of Wales Supermarket_Tortilla,51.546328,-0.14454,2015-04-22
107,Origin,Tortilla,2015_Prince Of Wales Supermarket_Tortilla,51.54742,-0.17971099999999998,2015-01-04
108,Destination,T & M MINI MARKET,2015_T & M MINI MARKET_Tortilla,51.549989000000004,-0.15253699999999998,2015-11-04
109,Origin,Tortilla,2015_T & M MINI MARKET_Tortilla,51.54742,-0.17971099999999998,2015-01-04
110,Destination,My Local,2015_My Local_Tortilla,51.516527,-0.128091,2015-10-26
111,Origin,Tortilla,2015_My Local_Tortilla,51.54742,-0.17971099999999998,2015-01-04
112,Destination,Versilia Restaurant,2015_Versilia Restaurant_Tortilla,51.552893,-0.187857,2015-10-19
113,Origin,Tortilla,2015_Versilia Restaurant_Tortilla,51.54742,-0.17971099999999998,2015-01-04
114,Destination,London Euston Premier Travel Inn,2015_London Euston Premier Travel Inn_Tortilla,51.527645,-0.128604,2015-02-26
115,Origin,Tortilla,2015_London Euston Premier Travel Inn_Tortilla,51.54742,-0.17971099999999998,2015-01-04
116,Destination,School Of Pharmacy,2015_School Of Pharmacy_Tortilla,51.525251000000004,-0.122555,2015-04-08
117,Origin,Tortilla,2015_School Of Pharmacy_Tortilla,51.54742,-0.17971099999999998,2015-01-04
118,Destination,Pimpshuei,2015_Pimpshuei_Tortilla,51.522684999999996,-0.112298,2015-02-06
