,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,IN36,2011_IN36_ES16,51.539139,-0.14369500000000002,2011-11-07
1,Origin,ES16,2011_IN36_ES16,51.513596,-0.127317,2011-07-12
2,Destination,CS103,2011_CS103_ES16,51.529239000000004,-0.12906700000000002,2011-10-21
3,Origin,ES16,2011_CS103_ES16,51.513596,-0.127317,2011-07-12
4,Destination,LL112,2011_LL112_ES16,51.520839,-0.11021500000000001,2011-08-26
5,Origin,ES16,2011_LL112_ES16,51.513596,-0.127317,2011-07-12
6,Destination,LL096,2011_LL096_ES16,51.520839,-0.11021500000000001,2011-11-28
7,Origin,ES16,2011_LL096_ES16,51.513596,-0.127317,2011-07-12
8,Destination,LL034,2011_LL034_ES16,51.520839,-0.11021500000000001,2011-11-28
9,Origin,ES16,2011_LL034_ES16,51.513596,-0.127317,2011-07-12
10,Destination,LL113,2011_LL113_ES16,51.520839,-0.11021500000000001,2011-08-26
11,Origin,ES16,2011_LL113_ES16,51.513596,-0.127317,2011-07-12
12,Destination,ES19,2011_ES19_ES16,51.513596,-0.127317,2011-11-28
13,Origin,ES16,2011_ES19_ES16,51.513596,-0.127317,2011-07-12
14,Destination,ES18,2011_ES18_ES16,51.513596,-0.127317,2011-11-28
15,Origin,ES16,2011_ES18_ES16,51.513596,-0.127317,2011-07-12
16,Destination,LL110,2011_LL110_ES16,51.520839,-0.11021500000000001,2011-11-28
17,Origin,ES16,2011_LL110_ES16,51.513596,-0.127317,2011-07-12
18,Destination,ES16,2011_ES16_ES16,51.513596,-0.127317,2011-07-12
19,Origin,ES16,2011_ES16_ES16,51.513596,-0.127317,2011-07-12
20,Destination,LL110,2012_LL110_LL111,51.520839,-0.11021500000000001,2012-06-28
21,Origin,LL111,2012_LL110_LL111,51.520839,-0.11021500000000001,2012-03-13
22,Destination,LL111,2012_LL111_LL111,51.520839,-0.11021500000000001,2012-03-13
23,Origin,LL111,2012_LL111_LL111,51.520839,-0.11021500000000001,2012-03-13
