,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,QC14,2010_QC14_PS10,51.550168,-0.151636,2010-03-08
1,Origin,PS10,2010_QC14_PS10,51.535494,-0.140296,2010-01-04
2,Destination,CS053,2010_CS053_PS10,51.529239000000004,-0.12906700000000002,2010-07-06
3,Origin,PS10,2010_CS053_PS10,51.535494,-0.140296,2010-01-04
4,Destination,QC72,2010_QC72_PS10,51.550168,-0.151636,2010-03-08
5,Origin,PS10,2010_QC72_PS10,51.535494,-0.140296,2010-01-04
6,Destination,PS09,2010_PS09_PS10,51.535494,-0.140296,2010-03-08
7,Origin,PS10,2010_PS09_PS10,51.535494,-0.140296,2010-01-04
8,Destination,LL107,2010_LL107_PS10,51.520839,-0.11021500000000001,2010-07-13
9,Origin,PS10,2010_LL107_PS10,51.535494,-0.140296,2010-01-04
10,Destination,QC34,2010_QC34_PS10,51.550168,-0.151636,2010-03-08
11,Origin,PS10,2010_QC34_PS10,51.535494,-0.140296,2010-01-04
12,Destination,IN18,2010_IN18_PS10,51.539139,-0.14369500000000002,2010-02-08
13,Origin,PS10,2010_IN18_PS10,51.535494,-0.140296,2010-01-04
14,Destination,INSU09,2010_INSU09_PS10,51.539139,-0.14369500000000002,2010-03-18
15,Origin,PS10,2010_INSU09_PS10,51.535494,-0.140296,2010-01-04
16,Destination,FC15,2010_FC15_PS10,51.541115000000005,-0.196392,2010-07-27
17,Origin,PS10,2010_FC15_PS10,51.535494,-0.140296,2010-01-04
18,Destination,QCS38,2010_QCS38_PS10,51.550168,-0.151636,2010-03-08
19,Origin,PS10,2010_QCS38_PS10,51.535494,-0.140296,2010-01-04
20,Destination,INSU32,2010_INSU32_PS10,51.539139,-0.14369500000000002,2010-02-08
21,Origin,PS10,2010_INSU32_PS10,51.535494,-0.140296,2010-01-04
22,Destination,TCRW1,2010_TCRW1_PS10,51.523937,-0.138173,2010-07-27
23,Origin,PS10,2010_TCRW1_PS10,51.535494,-0.140296,2010-01-04
24,Destination,LL042,2010_LL042_PS10,51.520839,-0.11021500000000001,2010-09-07
25,Origin,PS10,2010_LL042_PS10,51.535494,-0.140296,2010-01-04
26,Destination,FC03,2010_FC03_PS10,51.539688,-0.142772,2010-11-29
27,Origin,PS10,2010_FC03_PS10,51.535494,-0.140296,2010-01-04
28,Destination,FC80,2010_FC80_PS10,51.555440999999995,-0.176922,2010-09-16
29,Origin,PS10,2010_FC80_PS10,51.535494,-0.140296,2010-01-04
30,Destination,QC71,2010_QC71_PS10,51.550168,-0.151636,2010-03-08
31,Origin,PS10,2010_QC71_PS10,51.535494,-0.140296,2010-01-04
32,Destination,LLS72,2010_LLS72_PS10,51.520839,-0.11021500000000001,2010-07-13
33,Origin,PS10,2010_LLS72_PS10,51.535494,-0.140296,2010-01-04
34,Destination,CS094,2010_CS094_PS10,51.529239000000004,-0.12906700000000002,2010-08-06
35,Origin,PS10,2010_CS094_PS10,51.535494,-0.140296,2010-01-04
36,Destination,LL044,2010_LL044_PS10,51.520839,-0.11021500000000001,2010-09-07
37,Origin,PS10,2010_LL044_PS10,51.535494,-0.140296,2010-01-04
38,Destination,INSU05,2010_INSU05_PS10,51.539139,-0.14369500000000002,2010-03-18
39,Origin,PS10,2010_INSU05_PS10,51.535494,-0.140296,2010-01-04
40,Destination,GP4,2010_GP4_PS10,51.519667,-0.136475,2010-07-29
41,Origin,PS10,2010_GP4_PS10,51.535494,-0.140296,2010-01-04
42,Destination,INSU25,2010_INSU25_PS10,51.539139,-0.14369500000000002,2010-02-08
43,Origin,PS10,2010_INSU25_PS10,51.535494,-0.140296,2010-01-04
44,Destination,ES08,2010_ES08_PS10,51.513596,-0.127317,2010-08-07
45,Origin,PS10,2010_ES08_PS10,51.535494,-0.140296,2010-01-04
46,Destination,IN13,2010_IN13_PS10,51.539139,-0.14369500000000002,2010-03-18
47,Origin,PS10,2010_IN13_PS10,51.535494,-0.140296,2010-01-04
48,Destination,Inverness Street Market - Monday to Saturday,2010_Inverness Street Market - Monday to Saturday_PS10,51.539139,-0.14369500000000002,2010-06-05
49,Origin,PS10,2010_Inverness Street Market - Monday to Saturday_PS10,51.535494,-0.140296,2010-01-04
50,Destination,LL106,2010_LL106_PS10,51.520839,-0.11021500000000001,2010-07-10
51,Origin,PS10,2010_LL106_PS10,51.535494,-0.140296,2010-01-04
52,Destination,FC68,2010_FC68_PS10,51.550245000000004,-0.165588,2010-07-27
53,Origin,PS10,2010_FC68_PS10,51.535494,-0.140296,2010-01-04
54,Destination,LL109,2010_LL109_PS10,51.520839,-0.11021500000000001,2010-07-13
55,Origin,PS10,2010_LL109_PS10,51.535494,-0.140296,2010-01-04
56,Destination,PS10,2010_PS10_PS10,51.535494,-0.140296,2010-01-04
57,Origin,PS10,2010_PS10_PS10,51.535494,-0.140296,2010-01-04
