,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Queens Crescent Market,2011_Queens Crescent Market_FC86,51.550168,-0.151636,2011-02-14
1,Origin,FC86,2011_Queens Crescent Market_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
2,Destination,Inverness Street Market - Monday to Saturday,2011_Inverness Street Market - Monday to Saturday_FC86,51.539139,-0.14369500000000002,2011-01-21
3,Origin,FC86,2011_Inverness Street Market - Monday to Saturday_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
4,Destination,LL60,2011_LL60_FC86,51.520839,-0.11021500000000001,2011-01-19
5,Origin,FC86,2011_LL60_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
6,Destination,Leather Lane Market,2011_Leather Lane Market_FC86,51.520839,-0.11021500000000001,2011-02-03
7,Origin,FC86,2011_Leather Lane Market_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
8,Destination,LLS67,2011_LLS67_FC86,51.520839,-0.11021500000000001,2011-01-04
9,Origin,FC86,2011_LLS67_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
10,Destination,ES14,2011_ES14_FC86,51.513596,-0.127317,2011-07-06
11,Origin,FC86,2011_ES14_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
12,Destination,Earlham Street Market,2011_Earlham Street Market_FC86,51.513596,-0.127317,2011-02-17
13,Origin,FC86,2011_Earlham Street Market_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
14,Destination,FC86,2011_FC86_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
15,Origin,FC86,2011_FC86_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
16,Destination,LL039,2011_LL039_FC86,51.520839,-0.11021500000000001,2011-07-20
17,Origin,FC86,2011_LL039_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
18,Destination,LLS89,2011_LLS89_FC86,51.520839,-0.11021500000000001,2011-09-22
19,Origin,FC86,2011_LLS89_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
20,Destination,FC69,2011_FC69_FC86,51.539688,-0.142772,2011-03-10
21,Origin,FC86,2011_FC69_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
22,Destination,IN27,2011_IN27_FC86,51.539139,-0.14369500000000002,2011-02-22
23,Origin,FC86,2011_IN27_FC86,51.540541999999995,-0.14366199999999998,2011-01-02
24,Destination,Leather Lane Market,2010_Leather Lane Market_Leather Lane Market,51.520839,-0.11021500000000001,2010-03-11
25,Origin,Leather Lane Market,2010_Leather Lane Market_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
26,Destination,IN34,2010_IN34_Leather Lane Market,51.539139,-0.14369500000000002,2010-10-25
27,Origin,Leather Lane Market,2010_IN34_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
28,Destination,Goodge Place Market,2010_Goodge Place Market_Leather Lane Market,51.519667,-0.136475,2010-09-16
29,Origin,Leather Lane Market,2010_Goodge Place Market_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
30,Destination,Earlham Street Market,2010_Earlham Street Market_Leather Lane Market,51.513596,-0.127317,2010-03-31
31,Origin,Leather Lane Market,2010_Earlham Street Market_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
32,Destination,LL110,2010_LL110_Leather Lane Market,51.520839,-0.11021500000000001,2010-07-20
33,Origin,Leather Lane Market,2010_LL110_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
34,Destination,FM10,2010_FM10_Leather Lane Market,51.543781,-0.17466900000000002,2010-07-15
35,Origin,Leather Lane Market,2010_FM10_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
36,Destination,Inverness Street Market - Monday to Saturday,2010_Inverness Street Market - Monday to Saturday_Leather Lane Market,51.539139,-0.14369500000000002,2010-04-08
37,Origin,Leather Lane Market,2010_Inverness Street Market - Monday to Saturday_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
38,Destination,FC28,2010_FC28_Leather Lane Market,51.540186,-0.143102,2010-11-26
39,Origin,Leather Lane Market,2010_FC28_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
40,Destination,LL036,2010_LL036_Leather Lane Market,51.520839,-0.11021500000000001,2010-07-30
41,Origin,Leather Lane Market,2010_LL036_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
42,Destination,HTM1,2010_HTM1_Leather Lane Market,51.556783,-0.177972,2010-10-03
43,Origin,Leather Lane Market,2010_HTM1_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
44,Destination,FC83,2010_FC83_Leather Lane Market,51.543257000000004,-0.14215999999999998,2010-03-12
45,Origin,Leather Lane Market,2010_FC83_Leather Lane Market,51.52083900000002,-0.11021499999999997,2010-03-11
46,Destination,IN10,2010_IN10_Leather Lane Market,51.539139,-0.14369500000000002,2010-10-26
