,Origin-Destination,Premise,pathid,latitude,longitude,Received Date
0,Destination,Diana's Diner,2011_Diana's Diner_Singapore Garden,51.514406,-0.12488599999999998,2011-06-14
1,Origin,Singapore Garden,2011_Diana's Diner_Singapore Garden,51.542473,-0.180059,2011-01-07
2,Destination,Starbuck Coffee,2011_Starbuck Coffee_Singapore Garden,51.528517,-0.126822,2011-08-30
3,Origin,Singapore Garden,2011_Starbuck Coffee_Singapore Garden,51.542473,-0.180059,2011-01-07
4,Destination,Ultimate Burger,2011_Ultimate Burger_Singapore Garden,51.52243,-0.13683900000000002,2011-06-27
5,Origin,Singapore Garden,2011_Ultimate Burger_Singapore Garden,51.542473,-0.180059,2011-01-07
6,Destination,The Euston Flyer,2011_The Euston Flyer_Singapore Garden,51.528517,-0.126822,2011-09-29
7,Origin,Singapore Garden,2011_The Euston Flyer_Singapore Garden,51.542473,-0.180059,2011-01-07
8,Destination,Marriott Hotel Maida Vale,2011_Marriott Hotel Maida Vale_Singapore Garden,51.535973999999996,-0.190412,2011-10-13
9,Origin,Singapore Garden,2011_Marriott Hotel Maida Vale_Singapore Garden,51.542473,-0.180059,2011-01-07
10,Destination,The Yorkshire Grey Public House,2011_The Yorkshire Grey Public House_Singapore Garden,51.521265,-0.11384000000000001,2011-07-03
11,Origin,Singapore Garden,2011_The Yorkshire Grey Public House_Singapore Garden,51.542473,-0.180059,2011-01-07
12,Destination,The Crown Public House,2011_The Crown Public House_Singapore Garden,51.516842,-0.126469,2011-05-20
13,Origin,Singapore Garden,2011_The Crown Public House_Singapore Garden,51.542473,-0.180059,2011-01-07
14,Destination,Washington Hotel,2011_Washington Hotel_Singapore Garden,51.545876,-0.162983,2011-09-26
15,Origin,Singapore Garden,2011_Washington Hotel_Singapore Garden,51.542473,-0.180059,2011-01-07
16,Destination,Pret a Manger,2011_Pret a Manger_Singapore Garden,51.517041,-0.138658,2011-01-18
17,Origin,Singapore Garden,2011_Pret a Manger_Singapore Garden,51.542473,-0.180059,2011-01-07
