,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1337,044321,Existing Part B installation,Hexagon Of Highgate Ltd,"1 Browns Lane, London, NW5 3EX",,Open,No,,,,,,2010-10-19,,,E05000139,Kentish Town,528625.83,185076.99,-0.146301,51.549941,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.549941, -0.146301)",36105,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044321
2448,044244,Existing Part B installation,D&D Dry Cleaners,"68 Fortune Green Road, London, NW6 1DS",,Open,No,,,,,,2010-06-10,,,E05000132,Fortune Green,525132.11,185510.2,-0.196508,51.554619,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.554619, -0.196508)",36114,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044244
2464,044334,Existing Part B installation,Belsize Park Service Station,"215 Haverstock Hill, London, NW3 4RB",,Open,No,,,,,,2010-10-19,,,E05000128,Belsize,527181.65,185217.86,-0.167068,51.551534000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.551534, -0.167068)",36101,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044334
3001,043987,Existing Part B installation,Dry cleaners of hampstead,"80 Haverstock Hill, London, NW3 2BE",,Open,No,,,,,,2010-08-09,,,E05000136,Haverstock,527873.21,184636.82,-0.15730999999999998,51.546155999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546156, -0.15731)",36132,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043987
3124,043949,Existing Part B installation,The London Drycleaning Company,"519A Finchley Road, London, NW3 7BB",,Open,No,,,,,,2010-02-09,,,E05000132,Fortune Green,525419.2,185514.86,-0.192368,51.554596999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.554597, -0.192368)",36155,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin043949
3911,043967,Existing Part B installation,Parkway Cleaners Ltd (paradise cleaners),"58 Parkway, London, NW1 7AH",,Open,No,,,,,,2010-08-09,,Camden Town,E05000130,Camden Town with Primrose Hill,528728.91,183764.09,-0.145295,51.538119,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.538119, -0.145295)",36149,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043967
4043,043963,Existing Part B installation,Matthew Daniel Dry Cleaners,"13 Theobald's Road, London, WC1X 8SL",,Open,No,,,,,,2010-08-09,,,E05000138,Holborn and Covent Garden,530745.15,181817.95,-0.11696199999999998,51.520167,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520167, -0.116962)",36151,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043963
4462,043921,Existing Part B installation,Ariana Dry Cleaners,"191 King's Cross Road, London, WC1X 9DB",,Open,No,,,,,,2010-08-31,,,E05000141,King's Cross,530530.86,182970.86,-0.119622,51.530577,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.530577, -0.119622)",36173,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043921
4955,043983,Existing Part B installation,Sun Dry Cleaners Ltd,"167 Fortess Road, London, NW5 2HR",,Open,No,,,,,,2010-08-09,,,E05000139,Kentish Town,529086.03,185849.19,-0.13938499999999998,51.556776,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.556776, -0.139385)",36136,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043983
5839,043944,Existing Part B installation,Fitzroy Cleaners,"90 Cleveland Street, London, W1T 6NL",,Open,No,,,,,,2010-02-09,,,E05000129,Bloomsbury,529048.09,182090.97,-0.141308,51.52301,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.52301, -0.141308)",36160,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin043944
7007,043973,Existing Part B installation,Primrose Valet,"91 Regent's Park Road, London, NW1 8UR",,Open,No,,,,,,2010-08-09,,,E05000130,Camden Town with Primrose Hill,527887.61,184177.69,-0.157269,51.542027000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542027, -0.157269)",36143,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043973
7740,043991,Existing Part B installation,Valentino Dry Cleaners,"125 Shaftesbury Avenue, London, WC2H 8AD",,Open,No,,,,,,2010-08-09,,Seven Dials,E05000138,Holborn and Covent Garden,529928.6,181110.66,-0.128985,51.513999,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513999, -0.128985)",36128,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043991
8052,043941,Existing Part B installation,Crowndale Dry Cleaners,"2 Crowndale Road, London, NW1 1TT",,Open,No,,,,,,2010-02-09,,,E05000143,St Pancras and Somers Town,529517.74,183505.9,-0.134023,51.535618,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.535618, -0.134023)",36163,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin043941
8104,043985,Existing Part B installation,Swiss Dry Cleaners,"13 Fairhazel Gardens, London, NW6 3QE",,Open,No,,,,,,2010-08-09,,,E05000144,Swiss Cottage,526241.93,184105.41,-0.18101199999999998,51.541746999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.541747, -0.181012)",36134,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043985
8178,043928,Existing Part B installation,Cottontail Cleaners Ltd,"509 Finchley Road, London, NW3 7BB",,Open,No,,,,,,2010-08-31,,,E05000132,Fortune Green,525442.75,185496.97,-0.19203499999999998,51.554431,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.554431, -0.192035)",36166,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043928
8365,044338,Existing Part B installation,Morrisons Petrol Station,"Chalk Farm Road, London, NW1 8EH",,Open,No,,,,,,2010-10-19,,Camden Town,E05000130,Camden Town with Primrose Hill,528407.84,184115.07,-0.149794,51.541346000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.541346, -0.149794)",36098,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044338
8599,043942,Existing Part B installation,Empire professional Dry Cleaners,"173 York Way, London, N7 9LN",,Open,No,,,,,,2010-02-09,,,E05000131,Cantelowes,529837.43,184915.12,-0.128897,51.548209,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548209, -0.128897)",36162,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin043942
8819,044246,Existing Part B installation,Mansfield Dry Cleaners,"70 Mansfield Road, London, NW3 2HU",,Open,No,,,,,,2010-06-10,,,E05000134,Gospel Oak,528006.74,185524.17,-0.15506199999999998,51.5541,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.5541, -0.155062)",36112,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044246
8841,043927,Existing Part B installation,The Cotton Club,"57 Mill Lane, London, NW6 1NB",,Open,No,,,,,,2010-08-31,,,E05000132,Fortune Green,525127.94,185234.53,-0.196666,51.552143,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.552143, -0.196666)",36167,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043927
10392,043968,Existing Part B installation,Parkers Dry Cleaning Ltd,"28 Goodge Street, London, W1T 2QQ",,Open,No,,,,,,2010-08-09,,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519855, -0.135379)",36148,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043968
10657,043919,Existing Part B installation,Alex Dry Cleaners,"289 Gray's Inn Road, London, WC1X 8QF",,Open,No,,,,,,2010-08-31,,,E05000141,King's Cross,530443.13,182829.39,-0.12093800000000002,51.529326,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.529326, -0.120938)",36174,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043919
11197,043980,Existing Part B installation,Smarts Dry Cleaners,"104 Parkway, London, NW1 7AN",,Open,No,,,,,,2010-08-09,,Camden Town,E05000130,Camden Town with Primrose Hill,528701.03,183723.65,-0.14571199999999998,51.537762,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.537762, -0.145712)",36139,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043980
11523,045533,Existing Part B installation,Red Spot Dry Cleaners,"Finchley Road, London, NW3 5DN",,Open,No,,,,,,2011-03-29,,,E05000133,Frognal and Fitzjohns,526627.5,184434.86,-0.175337,51.544622,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544622, -0.175337)",35982,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045533
13298,055296,Existing Part B installation,Empire professional Dry Cleaners,"173 York Way, London, N7 9LN",,Open,No,,,,,,2017-08-05,,,E05000131,Cantelowes,529837.43,184915.12,-0.128897,51.548209,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548209, -0.128897)",35642,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin055296
13794,043925,Existing Part B installation,City Centre Dry Cleaners,"118 Eversholt Street, London, NW1 1BP",,Open,No,,,,,,2010-08-31,,,E05000143,St Pancras and Somers Town,529502.97,182995.77,-0.13442300000000001,51.531037,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.531037, -0.134423)",36169,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043925
14062,043992,Existing Part B installation,Visage Dry Cleaners,"171 Malden Road, London, NW5 4HT",,Open,No,,,,,,2010-08-09,,,E05000136,Haverstock,527965.0,185132.06,-0.155807,51.550585999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550586, -0.155807)",36127,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043992
