,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
428,GGN\00092,Gaming Notification,Old Oak,"1 MANSFIELD ROAD, LONDON, NW3 2JD",GA2005,Application Approved,No,,,,,,2008-01-28,,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.554717, -0.151107)",8283,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00092
500,GGN\00031,Gaming Notification,Ship Tavern,"12 GATE STREET, LONDON, WC2A 3HP",GA2005,Application Approved,No,,,,,,2009-05-08,,,E05000138,Holborn and Covent Garden,530582.58,181461.55,-0.11943599999999999,51.517002000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.517002, -0.119436)",8342,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00031
895,GGN\00023,Gaming Notification,One Tun,"58  60 GOODGE STREET, LONDON, W1T 4ND",GA2005,Application Approved,No,,,,,,2009-05-27,,,E05000129,Bloomsbury,529354.63,181691.5,-0.13703900000000002,51.51935,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.51935, -0.137039)",8350,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00023
923,GGN\00094,Gaming Notification,Be At One,"55 CAMDEN HIGH STREET, LONDON, NW1 7JH",GA2005,Application Approved,No,,,,,,2008-05-03,,Camden Town,E05000142,Regent's Park,529083.06,183480.97,-0.140296,51.535494,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.535494, -0.140296)",8282,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00094
1399,GGN\00200,Gaming Notification,Fitzrovia Belle (previously Mortimer Arms),"174 TOTTENHAM COURT ROAD, LONDON, W1T 7NT",GA2005,Application Approved,No,,,,,,2016-12-21,,,E05000129,Bloomsbury,529442.25,182097.14,-0.135628,51.522976,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.522976, -0.135628)",8181,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00200
1527,GGN\00072,Gaming Notification,Angel Inn,"37 HIGHGATE HIGH STREET, LONDON, N6 5JT",GA2005,Application Approved,No,,,,,,2008-03-09,,,E05000137,Highgate,528465.77,187352.85,-0.147778,51.57043,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.57043, -0.147778)",8302,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00072
1596,GGN\00174,Gaming Notification,Old Bell,"38 KILBURN HIGH ROAD, LONDON, NW6 5UA",GA2005,Application Approved,No,,,,,,2012-06-08,,,E05000140,Kilburn,525481.83,183581.34,-0.192154,51.537207,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.537207, -0.192154)",8206,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00174
1804,GGN\00168,Gaming Notification,The Boot,"116 CROMER STREET, LONDON, WC1H 8BS",GA2005,Application Approved,No,,,,,,2011-08-12,,,E05000141,King's Cross,530230.49,182639.66,-0.124072,51.52767,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.52767, -0.124072)",8212,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00168
1897,GGN\00162,Gaming Notification,The Earl of Camden,"55 PARKWAY, LONDON, NW1 7PN",GA2005,Application Approved,No,,,,,,2011-08-25,,Camden Town,E05000130,Camden Town with Primrose Hill,528830.64,183707.33,-0.14385,51.537586,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.537586, -0.14385)",8218,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00162
2180,GGN\00106,Gaming Notification,Odeon Cinema,"14 PARKWAY, LONDON, NW1 7AA",GA2005,Application Approved,No,,,,,,2007-09-27,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.539139, -0.143695)",8270,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originGGN\00106
