,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
598,LPGMP-NEW\00014,LPGMP - New Application,The Railway,"100 WEST END LANE, LONDON, NW6 2LU",GA2005,Application Approved,No,20/04/2012,,,,26/03/2012,2012-12-03,,,E05000145,West Hampstead,525571.42,184575.8,-0.19050799999999998,51.546124,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.546124, -0.190508)",8079,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00014
2238,LPGMP-NEW\00015,LPGMP - New Application,The George,"250 HAVERSTOCK HILL, LONDON, NW3 2AE",GA2005,Application Approved,No,27/06/2012,,,,25/06/2012,2012-11-06,,,E05000135,Hampstead Town,527185.31,185348.78,-0.166968,51.55271,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.55271, -0.166968)",8078,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00015
6226,LPGMP-NEW\00019,LPGMP - New Application,Mcglynn's,"3   5 WHIDBORNE STREET, LONDON, WC1H 8ET",GA2005,Application Rejected - Incomplete Documentation,No,,,,,24/01/2014,2014-10-01,15/01/2014,,E05000141,King's Cross,530264.05,182745.8,-0.12355,51.528616,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528616, -0.12355)",8075,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00019
7825,LPGMP-NEW\00006,LPGMP - New Application,Walkabout,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",GA2005,Application Approved,No,12/10/2009,,,,12/10/2009,2009-09-28,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.547698, -0.181321)",8083,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00006
9040,LPGMP-NEW\00018,LPGMP - New Application,Euston Flyer,"83  87 EUSTON ROAD, LONDON, NW1 2RA",GA2005,Application Approved,No,09/10/2013,,,,08/10/2013,2013-09-24,,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528517, -0.126822)",8076,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00018
14285,LPGMP-NEW\00016,LPGMP - New Application,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",GA2005,Application Approved,No,26/04/2013,,,,25/04/2013,2013-11-04,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.548664, -0.129813)",8077,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00016
14723,LPGMP-NEW\00002,LPGMP - New Application,The Railway,"100 WEST END LANE, LONDON, NW6 2LU",GA2005,Application Approved,No,02/04/2009,,,,03/04/2009,2009-03-20,,,E05000145,West Hampstead,525571.42,184575.8,-0.19050799999999998,51.546124,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.546124, -0.190508)",8087,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00002
17702,LPGMP-NEW\00021,LPGMP - New Application,The Fitzrovia,"18 GOODGE STREET, LONDON, W1T 2QD",GA2005,Application Approved,No,10/10/2015,,,,09/10/2015,2015-09-25,,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.519855, -0.135379)",8073,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00021
23233,LPGMP-NEW\00022,LPGMP - New Application,The Railway,"100 WEST END LANE, LONDON, NW6 2LU",GA2005,Application Approved,No,23/12/2016,,,,21/10/2016,2016-07-10,,,E05000145,West Hampstead,525571.42,184575.8,-0.19050799999999998,51.546124,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.546124, -0.190508)",8072,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00022
26972,LPGMP-NEW\00005,LPGMP - New Application,Sir John Oldcastle,"29  35 FARRINGDON POINT FARRINGDON ROAD, LONDON, EC1M 3JF",GA2005,Application Approved,No,09/10/2009,,,,15/10/2009,2009-01-10,,,E05000138,Holborn and Covent Garden,531474.99,181866.79,-0.106431,51.520437,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.520437, -0.106431)",8084,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originLPGMP-NEW\00005
27537,LPGMP-NEW\00009,LPGMP - New Application,Birkbeck College (Malet St),"UNIVERSITY OF LONDON BIRKBECK COLLEGE MALET STREET, LONDON, WC1E 7HX",GA2005,New Application Received,No,,,,,05/07/2010,2010-06-21,,,E05000129,Bloomsbury,529789.01,182025.36,-0.130659,51.522251000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.522251, -0.130659)",8080,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00009
29298,LPGMP-NEW\00020,LPGMP - New Application,Hercules Pillars,"18 GREAT QUEEN STREET, LONDON, WC2B 5DG",GA2005,Application Approved,No,17/07/2015,,,,16/07/2015,2015-02-07,,Seven Dials,E05000138,Holborn and Covent Garden,530459.49,181314.37,-0.12126300000000001,51.515707,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.515707, -0.121263)",8074,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00020
29657,LPGMP-NEW\00007,LPGMP - New Application,Euston Flyer,"83  87 EUSTON ROAD, LONDON, NW1 2RA",GA2005,Application Approved,No,30/04/2010,,,,29/04/2010,2010-04-15,,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.528517, -0.126822)",8082,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00007
30601,LPGMP-NEW\00004,LPGMP - New Application,Duke of Grafton (previously Britannia),"EUSTON RAILWAY STATION EVERSHOLT STREET, LONDON, NW1 2HS",GA2005,Application Approved,No,11/08/2009,,,,10/08/2009,2009-07-27,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.529302, -0.132585)",8085,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originLPGMP-NEW\00004
