,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
7,APP\LATE-TEN\000132,Late Temporary Event Notice,Woody Grill,"1A CAMDEN ROAD, LONDON, NW1 9LG",LA2003,Application Approved,No,08/10/2012,,,,10/10/2012,2012-05-10,,Camden Town,E05000130,Camden Town with Primrose Hill,528955.86,183892.26,-0.141978,51.539219,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.539219, -0.141978)",34085,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000132
23,APP\LATE-TEN\000612,Late Temporary Event Notice,Miusan (Formerly Zensai),"16 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Rejected,No,,,,,06/12/2013,2013-03-12,06/12/2013,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.540039, -0.144497)",33645,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000612
28,APP\LATE-TEN\002127,Late Temporary Event Notice,Sir Colin Campbell,"264 266 KILBURN HIGH ROAD, LONDON, NW6 2BY",LA2003,Application Rejected,No,,,,,27/04/2017,2017-04-24,24/04/2017,,E05000140,Kilburn,524976.44,184257.2,-0.199197,51.543393,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.543393, -0.199197)",32226,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\002127
118,APP\LATE-TEN\001632,Late Temporary Event Notice,Piano Bar Restaurant,"115 FINCHLEY ROAD, LONDON, NW3 6HY",LA2003,Application Approved,No,18/02/2016,,,,22/02/2016,2016-02-17,,,E05000144,Swiss Cottage,526598.65,184234.03,-0.175825,51.542823,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.542823, -0.175825)",32695,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001632
126,APP\LATE-TEN\000564,Late Temporary Event Notice,The Earl of Camden,"55 PARKWAY, LONDON, NW1 7PN",LA2003,Application Approved,No,20/11/2013,,,,25/11/2013,2013-11-20,,Camden Town,E05000130,Camden Town with Primrose Hill,528830.64,183707.33,-0.14385,51.537586,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.537586, -0.14385)",33691,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000564
139,APP\LATE-TEN\001869,Late Temporary Event Notice,Granary Square,"1 GRANARY BUILDING GRANARY SQUARE, LONDON, N1C 4AA",LA2003,Application Approved,No,21/09/2016,,,,26/09/2016,2016-09-21,,,E05000143,St Pancras and Somers Town,530179.14,183608.02,-0.124454,51.536384000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.536384, -0.124454)",32466,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001869
144,APP\LATE-TEN\000817,Late Temporary Event Notice,Kings Cross Centre,"211 WESTMINSTER KINGSWAY COLLEGE KINGS CROSS CENTRE GRAY'S INN ROAD, LONDON, WC1X 8RA",LA2003,Application Approved,No,16/05/2014,,,,21/05/2014,2014-05-16,,,E05000141,King's Cross,530582.87,182546.76,-0.11903,51.526754,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.526754, -0.11903)",33451,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000817
149,APP\LATE-TEN\001223,Late Temporary Event Notice,Bloomsbury Ballroom,"37  63 VICTORIA HOUSE SOUTHAMPTON ROW, LONDON, WC1B 4DA",LA2003,Application Approved,No,27/04/2015,,,,29/04/2015,2015-04-24,,Seven Dials,E05000138,Holborn and Covent Garden,530393.5,181710.95,-0.12206700000000001,51.519286,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.519286, -0.122067)",33075,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001223
160,APP\LATE-TEN\000036,Late Temporary Event Notice,Kingsgate Workshops Trust Ltd,"110 116 KINGSGATE WORKSHOPS KINGSGATE ROAD, LONDON, NW6 2JG",LA2003,Application Approved,No,20/06/2012,,,,21/06/2012,2012-06-16,,,E05000140,Kilburn,525150.77,184354.16,-0.19665,51.544226,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.544226, -0.19665)",34179,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000036
170,APP\LATE-TEN\001803,Late Temporary Event Notice,FitzJohn's Primary School,"86A FITZJOHN'S PRIMARY SCHOOL FITZJOHN'S AVENUE, LONDON, NW3 6NP",LA2003,Application Approved,No,04/07/2016,,,,07/07/2016,2016-03-07,,,E05000135,Hampstead Town,526593.3,185464.71,-0.17545999999999998,51.553885,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.553885, -0.17546)",32531,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001803
189,APP\LATE-TEN\001731,Late Temporary Event Notice,Piano Bar Restaurant,"115 FINCHLEY ROAD, LONDON, NW3 6HY",LA2003,Application Rejected,No,04/05/2016,,,,06/05/2016,2016-03-05,03/05/2016,,E05000144,Swiss Cottage,526598.65,184234.03,-0.175825,51.542823,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.542823, -0.175825)",32599,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001731
198,APP\LATE-TEN\002106,Late Temporary Event Notice,British Film Institute,"21 STEPHEN STREET, LONDON, W1T 1LW",LA2003,Application Approved,No,12/04/2017,,,,17/04/2017,2017-12-04,,,E05000129,Bloomsbury,529658.98,181501.2,-0.132725,51.51757,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.51757, -0.132725)",32245,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\002106
210,APP\LATE-TEN\001174,Late Temporary Event Notice,Enterprise,"38 RED LION STREET, LONDON, WC1R 4PN",LA2003,Application Approved,No,13/03/2015,,,,13/03/2015,2015-10-03,,,E05000138,Holborn and Covent Garden,530745.15,181817.95,-0.11696199999999998,51.520167,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.520167, -0.116962)",33123,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\001174
213,APP\LATE-TEN\000860,Late Temporary Event Notice,Parliament Hill School,"PARLIAMENT HILL SCHOOL HIGHGATE ROAD, LONDON, NW5 1RL",LA2003,Application Approved,No,26/06/2014,,,,30/06/2014,2014-06-25,,,E05000137,Highgate,528345.71,185989.05,-0.150007,51.558201000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.558201, -0.150007)",33411,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\000860
226,APP\LATE-TEN\002118,Late Temporary Event Notice,Sway (Cocktail & hide),"61  65 GREAT QUEEN STREET, LONDON, WC2B 5BZ",LA2003,Application Approved,No,21/04/2017,,,,21/04/2017,2017-04-18,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.515423, -0.120444)",32233,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\LATE-TEN\002118
