,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
6140,045288,MST Transfer,Revlona Ltd,"10 Monmouth Street, London, WC2H 9HB",,Open,No,10/02/2011,,,,,2011-10-02,,Seven Dials,E05000138,Holborn and Covent Garden,530047.28,181157.1,-0.12725799999999998,51.514389,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514389, -0.127258)",36010,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045288
6502,054411,MST Transfer,China Herbal House WH Ltd,"170 West End Lane, London, NW6 1SD",,Open,No,10/01/2017,,,,,2017-10-01,,,E05000145,West Hampstead,525552.24,184883.23,-0.190675,51.548891,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548891, -0.190675)",35655,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin054411
6964,051674,MST Transfer,Perfect Me Skin Aesthetics,"5 Holly Hill, London, NW3 6QN",,Open,No,30/07/2015,,,,,2015-09-07,,,E05000133,Frognal and Fitzjohns,526346.22,185769.41,-0.178912,51.556678000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.556678, -0.178912)",35678,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin051674
9588,050122,MST Transfer,GOODVIBES FITNESS LTD,"14-16 Betterton Street, WC2H 9BU",,Open,No,25/02/2014,,,,,2014-02-25,,Seven Dials,E05000138,Holborn and Covent Garden,530261.72,181240.47,-0.12413900000000001,51.515089,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.515089, -0.124139)",35708,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050122
15679,048024,MST Transfer,Destination Skin,"12 Heath Street, London, NW3 6TE",,Open,No,,,,,,2012-03-09,,,E05000135,Hampstead Town,526401.05,185652.05,-0.17816400000000002,51.555611,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.555611, -0.178164)",35758,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048024
21383,051023,MST Transfer,The Tanning Shop,"24 Warren Street, W1T 5LY",,Open,No,14/11/2014,,,,,2014-11-14,,,E05000129,Bloomsbury,529087.01,182151.41,-0.140725,51.523545,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.523545, -0.140725)",35693,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin051023
22025,052243,MST Transfer,Kingsway Hall Hotel,"66 Great Queen Street, London, WC2B 5BZ",,Open,No,,,,,,2015-10-12,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.515423, -0.120444)",35670,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin052243
25287,053250,MST Transfer,JUJU'S,"76 Parkway, London, NW1 7AH",,Open,No,24/06/2016,,,,,2016-06-24,,Camden Town,E05000130,Camden Town with Primrose Hill,528701.03,183723.65,-0.14571199999999998,51.537762,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.537762, -0.145712)",35660,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin053250
28568,047502,MST Transfer,Nails Boutique,"Camden Lock Place, London, NW1 8AF",,Open,No,,,,,,2012-02-05,,Camden Town,E05000130,Camden Town with Primrose Hill,528681.08,184131.14,-0.145851,51.541428,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.541428, -0.145851)",35771,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047502
36333,045482,MST Transfer,Creative Therapy Limited,"253 West End Lane, London, NW6 1XN",,Open,No,,,,,,2011-03-24,,,E05000145,West Hampstead,525520.26,184974.34,-0.191104,51.549717,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.549717, -0.191104)",35985,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin045482
