,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1197,054600,MST Variation,London Nails,"134 Kentish Town Road, London, NW1 9QB",,Open,No,,,,,,2017-02-14,,,E05000131,Cantelowes,529008.65,184633.75,-0.14094600000000002,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.54587, -0.140946)",35649,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin054600
1885,049179,MST Variation,ANANTA SKIN & BODY,"66 Red Lion Street, London, WC1R 4NA",,Open,No,10/06/2013,,,,,2013-05-21,,,E05000138,Holborn and Covent Garden,530682.53,181683.77,-0.117914,51.518976,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.518976, -0.117914)",35728,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049179
4603,042999,MST Variation,YMCA,"112 Great Russell Street, London, WC1B 3NQ",,Open,No,,,,,,2010-09-06,,,E05000129,Bloomsbury,529818.38,181492.03,-0.130432,51.517452,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.517452, -0.130432)",36361,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042999
6377,045594,MST Variation,Fern Skincare Ltd,"18 England's Lane, London, NW3 4TG",,Open,No,,,,,,2011-01-04,,,E05000128,Belsize,527578.03,184680.14,-0.161548,51.546611999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546612, -0.161548)",35979,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045594
7088,047652,MST Variation,Fitness First Clubs Limited,"179A Tottenham Court Road, London, W1T 7PA",,Open,No,,,,,,2012-07-06,,,E05000129,Bloomsbury,529494.54,182024.08,-0.134901,51.522307,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.522307, -0.134901)",35766,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047652
7531,045404,MST Variation,Fern Skincare Ltd,"18 England's Lane, London, NW3 4TG",,Open,No,08/03/2011,,,,,2011-08-03,,,E05000128,Belsize,527578.03,184680.14,-0.161548,51.546611999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546612, -0.161548)",35996,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045404
8121,049213,MST Variation,London Nails,"134 Kentish Town Road, London, NW1 9QB",,Open,No,,,,,,2013-05-28,,,E05000131,Cantelowes,529008.65,184633.75,-0.14094600000000002,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.54587, -0.140946)",35726,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049213
8633,049948,MST Variation,Fitness First Clubs Ltd,"Coram Street, London, WC1N 1HT",,Open,No,,,,,,2014-01-16,,,E05000129,Bloomsbury,530185.36,182194.17,-0.12488699999999998,51.523677,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.523677, -0.124887)",35710,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049948
12174,049979,MST Variation,Fitness First Clubs Ltd,"Coram Street, London, WC1N 1HT",,Open,No,,,,,,2014-01-29,,,E05000129,Bloomsbury,530185.36,182194.17,-0.12488699999999998,51.523677,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.523677, -0.124887)",35709,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049979
13529,051027,MST Variation,China Herbal House WH Ltd,"170 West End Lane, London, NW6 1SD",,Open,No,,,,,,2014-11-19,,,E05000145,West Hampstead,525552.24,184883.23,-0.190675,51.548891,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548891, -0.190675)",35692,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin051027
