,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
2311,050445,Massage and Special Treatment New Application,J Hair,"18-19 Warren Street, W1T 5LR",,Open,No,,,,,,2014-02-05,,,E05000129,Bloomsbury,529182.9,182155.57,-0.139343,51.523559999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.52356, -0.139343)",35701,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050445
2578,044151,Massage and Special Treatment New Application,Enz hairdressers Ltd,"65 South End Road, London, NW3 2QB",,Open,No,22/10/2010,,,,,2010-09-27,,,E05000135,Hampstead Town,527156.73,185667.4,-0.16726400000000002,51.55558,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55558, -0.167264)",36117,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044151
3244,054290,Massage and Special Treatment New Application,EASTERN PROMISE LONDON LTD,"174 Finchley Road, London, NW3 6BP",,Open,No,,,,,,2016-12-15,,,E05000133,Frognal and Fitzjohns,526163.27,185054.05,-0.181806,51.550290000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55029, -0.181806)",35657,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin054290
3552,049126,Massage and Special Treatment New Application,Clerkenwell's Hair & Beauty  Limited,"11 Portpool Lane, London, EC1N 7UJ",,Open,No,,,,,,2013-03-05,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35729,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049126
5848,041553,Massage and Special Treatment New Application,Posh Nails and Beauty,"167 York Way, London, N7 9LN",,Open,No,18/02/2010,,,,,2009-09-10,,,E05000131,Cantelowes,529837.43,184915.12,-0.128897,51.548209,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.548209, -0.128897)",36394,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin041553
5916,054810,Massage and Special Treatment New Application,Golden Sunshine Beauty,"184 Finchley Road, London, NW3 6BP",,Open,No,,,,,,2017-07-03,,,E05000133,Frognal and Fitzjohns,526163.27,185054.05,-0.181806,51.550290000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.55029, -0.181806)",35648,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin054810
6344,049085,Massage and Special Treatment New Application,Face It,"17 Highgate High Street, London, N6 5JT",,Open,No,,,,,,2013-04-16,,,,,528525.64,187400.27,-0.146897,51.570842,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.570842, -0.146897)",35734,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049085
6614,043534,Massage and Special Treatment New Application,Benefit Boutique,"19 Shorts Gardens, London, WC2H 9AT",,Open,No,,,,,,2010-07-27,,Seven Dials,E05000138,Holborn and Covent Garden,530096.62,181164.76,-0.126545,51.514446,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514446, -0.126545)",36261,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043534
6766,043881,Massage and Special Treatment New Application,Parkland Natural Health Clinic,"239 High Holborn, London, WC1V 7DN",,Open,No,,,,,,2010-08-23,,,E05000138,Holborn and Covent Garden,530553.25,181505.71,-0.119842,51.517405,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.517405, -0.119842)",36179,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043881
6935,049081,Massage and Special Treatment New Application,A & H Chinese Medicine Ltd,"150 Kentish Town Road, NW1 9QB",,Open,No,,,,,,2013-12-03,,,E05000131,Cantelowes,528992.22,184712.55,-0.141154,51.546582,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546582, -0.141154)",35736,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049081
7278,044127,Massage and Special Treatment New Application,Eclipse Hair Salon,"63 Charlotte Street, London, W1T 4PG",,Open,No,,,,,,2010-09-23,,,E05000129,Bloomsbury,529392.85,181727.74,-0.136475,51.519667,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519667, -0.136475)",36119,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044127
8829,041404,Massage and Special Treatment New Application,Simple Harmony,"75 Heath Street, London, NW3 6UG",,Open,No,19/11/2009,,,,,2009-09-18,,,E05000135,Hampstead Town,526359.06,185836.43,-0.178703,51.557278000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.557278, -0.178703)",36395,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin041404
9320,050688,Massage and Special Treatment New Application,Pancras Square Leisure,"5 Pancras Square, N1C 4AG",,Open,No,10/10/2014,,,,,2014-07-16,,,E05000143,St Pancras and Somers Town,530044.62,183323.39,-0.126498,51.533857,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.533857, -0.126498)",35695,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050688
9343,049485,Massage and Special Treatment New Application,BEAUTYWORKS,"20 Hanway Street, W1T 1UG",,Open,No,16/08/2013,,,,,2013-08-16,,,E05000129,Bloomsbury,529709.49,181430.3,-0.132023,51.516921999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.516922, -0.132023)",35719,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049485
9410,042801,Massage and Special Treatment New Application,Space NK Ltd,"4 Brunswick Centre, WC1N 1AE",,Open,No,21/06/2010,,,,,2010-05-18,,,E05000129,Bloomsbury,530265.36,182142.67,-0.123753,51.523196,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.523196, -0.123753)",36371,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042801
10193,043503,Massage and Special Treatment New Application,Hell to Pay Tattoo & Piercing Studio,"188 Camden High Street, London, NW1 8QP",,Open,No,16/08/2010,,,,,2010-07-26,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539688, -0.142772)",36282,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043503
10727,051663,Massage and Special Treatment New Application,THE ALBANY CLUB,"Little Albany Street, London, NW1 4DY",,Open,No,,,,,,2015-06-18,,,E05000142,Regent's Park,528881.9,182557.9,-0.143532,51.527244,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.527244, -0.143532)",35679,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin051663
11311,051070,Massage and Special Treatment New Application,O'LOVE NAIL BEAUTY,"229 Finchley Road, NW3 6LS",,Open,No,15/01/2015,,,,,2014-12-19,,,E05000133,Frognal and Fitzjohns,526316.49,184738.48,-0.17971099999999998,51.54742,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.54742, -0.179711)",35689,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin051070
11504,049741,Massage and Special Treatment New Application,Bamboo Natural Therapy,"104-106 Judd Street, WC1H 9NT",,Open,No,29/10/2013,,,,,2013-10-29,,,E05000141,King's Cross,530182.62,182673.24,-0.12475,51.527983,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.527983, -0.12475)",35713,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin049741
11531,042418,Massage and Special Treatment New Application,Ginseng,"103-105 Southampton Row, London, WC1B 4HH",,Open,No,14/04/2010,,,,,2010-06-04,,,E05000138,Holborn and Covent Garden,530397.56,181815.73,-0.12197000000000001,51.520227,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520227, -0.12197)",36384,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042418
