,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
3009,040840,Massage and Special Treatment Renewal with variation,Renew Medica,"12 Heath Street, London, NW3 6TE",,Open,No,05/11/2009,,,,,2009-07-22,,,E05000135,Hampstead Town,526401.05,185652.05,-0.17816400000000002,51.555611,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.555611, -0.178164)",36403,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040840
3714,040109,Massage and Special Treatment Renewal with variation,Fitness First Clubs Limited,"179A Tottenham Court Road, London, W1T 7PA",,Open,No,04/11/2013,,,,,2009-04-28,,,E05000129,Bloomsbury,529494.54,182024.08,-0.134901,51.522307,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.522307, -0.134901)",36416,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040109
3954,050209,Massage and Special Treatment Renewal with variation,California Nails Limited,"219D Finchley Road, London, NW3 6LP",,Open,No,20/03/2014,,,,,2014-03-20,,,E05000144,Swiss Cottage,526329.16,184647.86,-0.179561,51.546603000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546603, -0.179561)",35707,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050209
6899,044583,Massage and Special Treatment Renewal with variation,Face It,"17 Highgate High Street, London, N6 5JT",,Open,No,22/11/2010,,,,,2010-11-19,,,,,528525.64,187400.27,-0.146897,51.570842,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.570842, -0.146897)",36060,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044583
7445,050487,Massage and Special Treatment Renewal with variation,Beauty Nest & Nail Care,"Finchley Road, London, NW3 5EN",,Open,No,08/05/2014,,,,,2014-08-05,,,E05000133,Frognal and Fitzjohns,526627.5,184434.86,-0.175337,51.544622,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.544622, -0.175337)",35700,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050487
9634,050525,Massage and Special Treatment Renewal with variation,The King's Cross Tattoo Parlour,"185 King's Cross Road, London, WC1X 9DB",,Open,No,06/06/2014,,,,,2014-06-06,,,E05000141,King's Cross,530530.86,182970.86,-0.119622,51.530577,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.530577, -0.119622)",35698,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050525
10007,050443,Massage and Special Treatment Renewal with variation,Camden Locks Hair & Beauty Ltd,"11 Chalk Farm Road, London, NW1 8AG",,Open,No,01/05/2014,,,,,2014-01-05,,Camden Town,E05000130,Camden Town with Primrose Hill,528663.85,184208.03,-0.146071,51.542123,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542123, -0.146071)",35702,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050443
10065,040806,Massage and Special Treatment Renewal with variation,Jinja @ My Hotel  Bloomsbury,"11-13 Bayley Street, London, WC1B 3HD",,Open,No,,,,,,2009-04-17,,,E05000129,Bloomsbury,529729.97,181585.26,-0.131671,51.51831,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.51831, -0.131671)",36406,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040806
10664,040845,Massage and Special Treatment Renewal with variation,Essentials Pharmacy,"169 Drury Lane, London, WC2B 5QA",,Open,No,,,,,,2009-07-23,,Seven Dials,E05000138,Holborn and Covent Garden,530390.33,181320.63,-0.12225699999999999,51.51578,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.51578, -0.122257)",36401,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin040845
11786,050261,Massage and Special Treatment Renewal with variation,New Experience Health Club,"275 Eversholt Street, London, NW1 1BA",,Open,No,,,,,,2014-02-04,,Camden Town,E05000142,Regent's Park,529184.5,183339.22,-0.13888599999999998,51.534197,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.534197, -0.138886)",35706,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050261
