,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
949,042481,Massage and Special Treatment Renewal,The Beauty Room Daniel Adams Hairdressing,"209 Haverstock Hill, London, NW3 4QG",,Open,No,15/04/2010,,,,,2010-04-15,,,E05000128,Belsize,527266.83,185119.54,-0.165875,51.550631,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550631, -0.165875)",36382,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042481
1372,042242,Massage and Special Treatment Renewal,M & M Hair & Beauty Limited,"80 Mansfield Road, London, NW3 2HU",,Open,No,,,,,,2010-12-03,,,E05000134,Gospel Oak,528025.34,185548.55,-0.15478499999999998,51.554315,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.554315, -0.154785)",36389,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042242
2480,050687,Massage and Special Treatment Renewal,Oasis Sports Centre,"32 Endell Street, WC2H 9AG",,Open,No,16/07/2014,,,,,2014-07-16,,Seven Dials,E05000138,Holborn and Covent Garden,530133.52,181364.62,-0.12594,51.516234000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.516234, -0.12594)",35696,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin050687
2746,045593,Massage and Special Treatment Renewal,Fern Skincare Ltd,"18 England's Lane, London, NW3 4TG",,Open,No,01/04/2011,,,,,2011-01-04,,,E05000128,Belsize,527578.03,184680.14,-0.161548,51.546611999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.546612, -0.161548)",35980,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045593
3768,048981,Massage and Special Treatment Renewal,Forever Health Chinese Medicine Centre,"8 Windmill Street, London, W1T 2JE",,Open,No,28/03/2013,,,,,2013-03-28,,,E05000129,Bloomsbury,529586.97,181614.43,-0.13372,51.518605,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.518605, -0.13372)",35738,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin048981
4305,045634,Massage and Special Treatment Renewal,Steam & Sun,"17 Chalton Street, London, NW1 1JD",,Open,No,,,,,,2011-11-04,,,E05000143,St Pancras and Somers Town,529856.65,182698.78,-0.129436,51.528287,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.528287, -0.129436)",35977,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045634
4336,045748,Massage and Special Treatment Renewal,Melia White House Hotel,"Albany Street, London, NW1 3UP",,Open,No,04/05/2011,,,,,2011-04-05,,,E05000142,Regent's Park,528878.31,182332.79,-0.14366600000000002,51.525222,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.525222, -0.143666)",35961,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045748
4965,044585,Massage and Special Treatment Renewal,Fe Hair Studio,"15 Kentish Town Road, London, NW1 8NH",,Open,No,08/03/2011,,,,,2010-11-22,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539688, -0.142772)",36058,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044585
5077,045950,Massage and Special Treatment Renewal,Camden Locks Hair & Beauty Ltd,"11 Chalk Farm Road, London, NW1 8AG",,Open,No,26/05/2011,,,,,2011-05-26,,Camden Town,E05000130,Camden Town with Primrose Hill,528663.85,184208.03,-0.146071,51.542123,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.542123, -0.146071)",35943,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045950
6110,044132,Massage and Special Treatment Renewal,Aveda Institute,"174-177 High Holborn, London, WC1V 7AA",,Open,No,23/09/2010,,,,,2010-09-23,,Seven Dials,E05000138,Holborn and Covent Garden,530210.86,181297.81,-0.12485,51.515615999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.515616, -0.12485)",36118,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044132
