,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
22,NOI\00171,Notification of Interest,Donmar Warehouse Theatre,"41 EARLHAM STREET, LONDON, WC2H 9LX",LA2003,Application Approved,No,,,07/06/2013,,,2012-07-06,,Seven Dials,E05000138,Holborn and Covent Garden,530134.56,181122.31,-0.12601400000000001,51.514056,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.514056, -0.126014)",7909,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00171
31,NOI\00184,Notification of Interest,Spearmint Rhino,"161 TOTTENHAM COURT ROAD, LONDON, W1T 7NN",LA2003,Application Approved,No,,,14/11/2013,,,2012-11-14,,,E05000129,Bloomsbury,529383.14,182142.58,-0.136463,51.523398,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.523398, -0.136463)",7896,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00184
45,NOI\00334,Notification of Interest,Royal College Of Physicians Of London,"11 ST ANDREW'S PLACE, LONDON, NW1 4LE",LA2003,Application Approved,No,,,19/11/2016,,,2015-11-20,,,E05000142,Regent's Park,528792.7,182448.33,-0.14485699999999999,51.52628,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.52628, -0.144857)",7751,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00334
59,NOI\00225,Notification of Interest,"Paramount (Floors 31, 32, 33)","CENTRE POINT COMPLEX DEVELOPMENT SITE AT 101-103 NEW OXFORD STREET, LONDON, WC1A 1DD",LA2003,Application Approved,No,,,15/07/2014,,,2013-07-15,,Seven Dials,E05000138,Holborn and Covent Garden,529902.99,181352.5,-0.12926500000000002,51.516178000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.516178, -0.129265)",7857,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00225
150,NOI\00311,Notification of Interest,CVS,"6 NEAL'S YARD, LONDON, WC2H 9DP",LA2003,Application Approved,No,,,13/07/2016,,,2015-07-14,,Seven Dials,E05000138,Holborn and Covent Garden,530096.62,181164.76,-0.126545,51.514446,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.514446, -0.126545)",7774,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00311
276,NOI\00069,Notification of Interest,Donmar Warehouse Theatre,"41 EARLHAM STREET, LONDON, WC2H 9LX",LA2003,Application Approved,No,,,04/06/2011,,,2010-04-06,,Seven Dials,E05000138,Holborn and Covent Garden,530134.56,181122.31,-0.12601400000000001,51.514056,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.514056, -0.126014)",8004,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00069
316,NOI\00228,Notification of Interest,Intrepid Fox,"15 ST GILES HIGH STREET, LONDON, WC2H 8LN",LA2003,Application Approved,No,,,15/07/2014,,,2013-07-15,,Seven Dials,E05000138,Holborn and Covent Garden,530029.75,181340.95,-0.127443,51.516045,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.516045, -0.127443)",7855,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00228
346,NOI\00035,Notification of Interest,Gunmakers Arms,"13 EYRE STREET HILL, LONDON, EC1R 5ET",LA2003,Application Approved,No,,,30/10/2010,,,2009-10-30,,,E05000138,Holborn and Covent Garden,531171.97,182087.89,-0.110714,51.522494,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.522494, -0.110714)",8035,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00035
359,NOI\00321,Notification of Interest,Timberyard,"7A UPPER ST MARTIN'S LANE, LONDON, WC2H 9DL",LA2003,Application Approved,No,,,13/07/2016,,,2015-07-14,,Seven Dials,E05000138,Holborn and Covent Garden,530029.71,180987.06,-0.127574,51.512865000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.512865, -0.127574)",7764,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00321
440,NOI\00324,Notification of Interest,Reverend JW Simpson,"32  34 GOODGE STREET, LONDON, W1T 2QJ",LA2003,Application Approved,No,,,23/07/2016,,,2015-07-24,,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.519855, -0.135379)",7761,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originNOI\00324
