,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1701,APP\PREMISES-C-DPS\0054,Premises - Change of DPS name/address,Sainsbury's,"204 206 WEST END LANE, LONDON, NW6 1SG",LA2003,Application Approved In Full,No,21/03/2016,,,,,2016-03-18,,,E05000145,West Hampstead,525520.26,184974.34,-0.191104,51.549717,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.549717, -0.191104)",32163,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0054
1891,APP\PREMISES-C-DPS\0048,Premises - Change of DPS name/address,Ice Wharf - Lloyds No 1,"28 CAMDEN WHARF JAMESTOWN ROAD, LONDON, NW1 7BY",LA2003,Application Approved In Full,No,18/01/2016,,,,,2016-01-18,,Camden Town,E05000130,Camden Town with Primrose Hill,528724.04,184057.19,-0.145258,51.540754,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.540754, -0.145258)",32168,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0048
2334,APP\PREMISES-C-DPS\0067,Premises - Change of DPS name/address,The Abbey Tavern,"124 KENTISH TOWN ROAD, LONDON, NW1 9QB",LA2003,Application Approved In Full,No,23/01/2017,,,,,2016-12-21,,,E05000131,Cantelowes,529008.65,184633.75,-0.14094600000000002,51.54587,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.54587, -0.140946)",32150,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0067
3804,APP\PREMISES-C-DPS\0012,Premises - Change of DPS name/address,"Mindshare Media Uk Limited, 7th and 8th Floors","2 CENTRAL SAINT GILES PIAZZA, LONDON, WC2H 8AB",LA2003,Application Approved In Full,No,11/04/2013,,,,,2013-10-04,,Seven Dials,E05000138,Holborn and Covent Garden,530029.75,181340.95,-0.127443,51.516045,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516045, -0.127443)",32200,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0012
4318,APP\PREMISES-C-DPS\0055,Premises - Change of DPS name/address,Sainsburys Supermarket,"146 148 JAMESON HOUSE CLERKENWELL ROAD, LONDON, EC1R 5DG",LA2003,Application Approved In Full,No,06/04/2016,,,,,2016-04-04,,,E05000138,Holborn and Covent Garden,531225.62,182076.7,-0.109945,51.522381,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.522381, -0.109945)",32162,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0055
4833,APP\PREMISES-C-DPS\0039,Premises - Change of DPS name/address,Marks And Spencers Limited,"66  68 KILBURN HIGH ROAD, LONDON, NW6 4HJ",LA2003,Application Approved In Full,No,30/06/2015,,,,,2015-06-16,,,E05000140,Kilburn,525452.06,183672.15,-0.192551,51.53803,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.53803, -0.192551)",32176,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0039
5380,APP\PREMISES-C-DPS\0018,Premises - Change of DPS name/address,The Camden Food Company,"ST PANCRAS INTERNATIONAL STATION EUSTON ROAD, LONDON, N1C 4QL",LA2003,Application Approved In Full,No,12/12/2013,,,,,2013-05-27,,,E05000143,St Pancras and Somers Town,530045.03,183091.73,-0.126577,51.531775,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.531775, -0.126577)",32195,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0018
6984,APP\PREMISES-C-DPS\0016,Premises - Change of DPS name/address,Lidl Uk,"SITE AT 64-70 CAMDEN HIGH STREET, LONDON, NW1 0LT",LA2003,Application Approved In Full,No,05/12/2013,,,,,2013-02-12,,Camden Town,E05000142,Regent's Park,529090.99,183607.72,-0.14013499999999998,51.536631,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.536631, -0.140135)",32197,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0016
7152,APP\PREMISES-C-DPS\0070,Premises - Change of DPS name/address,Oddbins,"240 KENTISH TOWN ROAD, LONDON, NW5 2AB",LA2003,Application Approved In Full,No,04/04/2017,,,,,2017-03-27,,,E05000139,Kentish Town,529016.07,185010.54,-0.140701,51.549255,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.549255, -0.140701)",32147,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0070
8138,APP\PREMISES-C-DPS\0007,Premises - Change of DPS name/address,Bull And Last,"168 THE BULL AND LAST PH HIGHGATE ROAD, LONDON, NW5 1QS",LA2003,Application Approved In Full,No,01/11/2012,,,,,2012-01-12,,,E05000137,Highgate,528430.83,186091.76,-0.148742,51.559104999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.559105, -0.148742)",32204,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-DPS\0007
