,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
235,APP\PREMISES-C-LIC\0283,Premises - Change of Licensee name/address,Gourmet Burger Kitchen,"44  46 BRUNSWICK CENTRE, LONDON, WC1N 1AE",LA2003,Application Approved In Full,No,21/07/2016,,,,,2016-08-07,,,E05000129,Bloomsbury,530255.25,182276.13,-0.12385,51.524397,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.524397, -0.12385)",31884,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0283
242,APP\PREMISES-C-LIC\0199,Premises - Change of Licensee name/address,Kentish Town Supermarket,"175 KENTISH TOWN ROAD, LONDON, NW1 8PD",LA2003,Application Approved In Full,No,30/11/2015,,,,,2015-11-25,,,E05000139,Kentish Town,528908.35,184637.93,-0.14239000000000002,51.545931,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.545931, -0.14239)",31963,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0199
282,APP\PREMISES-C-LIC\0240,Premises - Change of Licensee name/address,Dominos Pizza,"262 WEST END LANE, LONDON, NW6 1LJ",LA2003,Application Approved In Full,No,24/02/2016,,,,,2016-02-16,,,E05000145,West Hampstead,525467.22,185203.37,-0.19178699999999999,51.551787,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.551787, -0.191787)",31924,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0240
495,APP\PREMISES-C-LIC\0219,Premises - Change of Licensee name/address,Garden Cafe & Restaurant,"3 GOLDHURST TERRACE, LONDON, NW6 3HX",LA2003,Application Approved In Full,No,18/01/2016,,,,,2016-01-18,,,E05000144,Swiss Cottage,526335.7,184551.47,-0.179501,51.545735,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.545735, -0.179501)",31944,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0219
617,APP\PREMISES-C-LIC\0215,Premises - Change of Licensee name/address,Tesco Express,"47  49 BELSIZE ROAD, LONDON, NW6 4RY",LA2003,Application Approved In Full,No,15/01/2016,,,,,2016-07-01,,,E05000144,Swiss Cottage,526391.09,184148.23,-0.178847,51.542099,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.542099, -0.178847)",31948,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0215
960,APP\PREMISES-C-LIC\0208,Premises - Change of Licensee name/address,Tesco Heath Street Hampstead Express,"23  27 HEATH STREET, LONDON, NW3 6TR",LA2003,Application Approved In Full,No,15/01/2016,,,,,2016-07-01,,,E05000133,Frognal and Fitzjohns,526330.45,185709.42,-0.179161,51.556143,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.556143, -0.179161)",31954,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0208
1026,APP\PREMISES-C-LIC\0070,Premises - Change of Licensee name/address,Everyman Belsize Park,"199 HAVERSTOCK HILL, LONDON, NW3 4QG",LA2003,Application Approved In Full,No,31/05/2013,,,,,2013-05-13,,,E05000128,Belsize,527266.83,185119.54,-0.165875,51.550631,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550631, -0.165875)",32084,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0070
1027,APP\PREMISES-C-LIC\0302,Premises - Change of Licensee name/address,Firezza (formerly PizzaExpresss Delivered),"255 WEST END LANE, LONDON, NW6 1XN",LA2003,Application Approved In Full,No,29/11/2016,,,,,2016-11-23,,,E05000145,West Hampstead,525457.68,185047.93,-0.19197899999999998,51.550391999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550392, -0.191979)",31866,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0302
1070,APP\PREMISES-C-LIC\0205,Premises - Change of Licensee name/address,Mediacom,"124 THEOBALD'S ROAD, LONDON, WC1X 8RX",LA2003,Application Approved In Full,No,08/01/2016,,,,,2015-11-12,,,E05000138,Holborn and Covent Garden,530532.63,181796.51,-0.120031,51.520022999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.520023, -0.120031)",31957,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0205
1098,APP\PREMISES-C-LIC\0174,Premises - Change of Licensee name/address,Byron,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Application Approved In Full,No,29/07/2015,,,,,2015-07-29,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.547698, -0.181321)",31986,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0174
1160,APP\PREMISES-C-LIC\0096,Premises - Change of Licensee name/address,Byron,"6 STORE STREET, LONDON, WC1E 7DQ",LA2003,Application Approved In Full,No,12/11/2013,,,,,2013-11-11,,,E05000129,Bloomsbury,529754.16,181856.1,-0.131223,51.520738,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.520738, -0.131223)",32060,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0096
1292,APP\PREMISES-C-LIC\0139,Premises - Change of Licensee name/address,Secrets (Parker St),"51 PARKER STREET, LONDON, WC2B 5PS",LA2003,Application Approved In Full,No,27/02/2015,,,,,2015-02-23,,Seven Dials,E05000138,Holborn and Covent Garden,530478.27,181454.75,-0.120941,51.516965,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516965, -0.120941)",32020,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0139
1439,APP\PREMISES-C-LIC\0050,Premises - Change of Licensee name/address,Bloomsbury Bowling Lanes,"46  55 TAVISTOCK HOTEL TAVISTOCK SQUARE, LONDON, WC1H 9EU",LA2003,Application Approved In Full,No,17/01/2013,,,,,2013-01-14,,,E05000129,Bloomsbury,529868.3,182206.42,-0.12945,51.52386,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.52386, -0.12945)",32103,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-LIC\0050
