,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
240,APP\PREMISES-C-PREM\0063,Premises - Change of Premises Name,The Crowndale,"61  65 CROWNDALE ROAD, LONDON, NW1 1TN",LA2003,Application Approved In Full,No,24/02/2016,,,,,2016-02-23,,Camden Town,E05000142,Regent's Park,529270.44,183351.25,-0.13764300000000002,51.534285,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.534285, -0.137643)",31793,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0063
279,APP\PREMISES-C-PREM\0053,Premises - Change of Premises Name,Jar Kitchen,"176 DRURY LANE, LONDON, WC2B 5QF",LA2003,Application Approved In Full,No,12/05/2015,,,,,2015-11-05,,Seven Dials,E05000138,Holborn and Covent Garden,530343.37,181352.31,-0.122922,51.516075,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516075, -0.122922)",31803,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0053
1091,APP\PREMISES-C-PREM\0074,Premises - Change of Premises Name,Joe's Southern Table & Bar,"298 302 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved In Full,No,04/10/2016,,,,,2016-09-21,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.551065, -0.140306)",31784,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0074
1204,APP\PREMISES-C-PREM\0024,Premises - Change of Premises Name,Bunga Bunga (Formerly The Drury Club Ground Floor and Mezzanine),"167 DRURY LANE, LONDON, WC2B 5PG",LA2003,Application Approved In Full,No,05/07/2013,,,,,2013-01-07,,Seven Dials,E05000138,Holborn and Covent Garden,530390.33,181320.63,-0.12225699999999999,51.51578,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.51578, -0.122257)",31829,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0024
1405,APP\PREMISES-C-PREM\0002,Premises - Change of Premises Name,Cote,"32 PARKWAY, LONDON, NW1 7AH",LA2003,Application Approved In Full,No,23/01/2012,,,,,2012-01-17,,Camden Town,E05000130,Camden Town with Primrose Hill,528728.91,183764.09,-0.145295,51.538119,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.538119, -0.145295)",31851,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP\PREMISES-C-PREM\0002
1440,APP\PREMISES-C-PREM\0001,Premises - Change of Premises Name,Flight Club,"55  59 ALBION HOUSE NEW OXFORD STREET, LONDON, WC1A 1BS",LA2003,Application Approved In Full,No,18/01/2012,,,,,2012-11-01,,Seven Dials,E05000138,Holborn and Covent Garden,530049.4,181415.57,-0.127133,51.516711,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516711, -0.127133)",31852,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0001
2339,APP\PREMISES-C-PREM\0059,Premises - Change of Premises Name,Shopoint (Previously Chill Out Food & Wine),"52 CHALK FARM ROAD, LONDON, NW1 8AN",LA2003,Application Approved In Full,No,01/07/2015,,,,,2015-06-19,,Camden Town,E05000130,Camden Town with Primrose Hill,528405.85,184285.95,-0.14976099999999998,51.542882,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.542882, -0.149761)",31797,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0059
2462,APP\PREMISES-C-PREM\0061,Premises - Change of Premises Name,Paris News (formerly Your Local),"34 CAMDEN ROAD, LONDON, NW1 9DP",LA2003,Application Rejected,No,25/09/2015,,,,,2015-10-09,,Camden Town,E05000130,Camden Town with Primrose Hill,529039.88,183969.75,-0.140739,51.539896,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.539896, -0.140739)",31795,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0061
3100,APP\PREMISES-C-PREM\0081,Premises - Change of Premises Name,Peters Store,"3 STANHOPE PARADE, LONDON, NW1 3RD",LA2003,Application Approved In Full,No,28/02/2017,,,,,2017-07-02,,,E05000142,Regent's Park,529034.13,182914.72,-0.141208,51.530415999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.530416, -0.141208)",31777,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0081
3297,APP\PREMISES-C-PREM\0048,Premises - Change of Premises Name,Apricot (Previously known as Gaufre De Reveur),"136 CHARING CROSS ROAD, LONDON, WC2H 0LA",LA2003,Application Approved In Full,No,16/03/2015,,,,,2015-03-13,,Seven Dials,E05000138,Holborn and Covent Garden,529890.6,181279.62,-0.12947,51.515526,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.515526, -0.12947)",31808,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0048
3677,APP\PREMISES-C-PREM\0005,Premises - Change of Premises Name,Muya Restaurant,"13 BRECKNOCK ROAD, LONDON, N7 0BL",LA2003,Application Approved In Full,No,19/03/2012,,,,,2012-03-19,,,E05000139,Kentish Town,529743.41,184998.68,-0.130221,51.548982,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.548982, -0.130221)",31848,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-C-PREM\0005
