,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
130,APP\PREMISES-CONV\000520,Premises - Conversion of Licence,Supersave Food & Wine,"93 FAIRFAX ROAD, LONDON, NW6 4DY",LA2003,Application Approved,No,12/08/2005,,,,11/08/2005,2005-07-13,,,E05000144,Swiss Cottage,526274.29,184143.38,-0.180533,51.542081,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.542081, -0.180533)",31325,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000520
186,APP\PREMISES-CONV\000486,Premises - Conversion of Licence,Shamrat Of India,"312 KILBURN HIGH ROAD, LONDON, NW6 2DG",LA2003,Application Approved,No,10/08/2005,,,,09/08/2005,2005-11-07,,,E05000140,Kilburn,524852.37,184399.92,-0.200935,51.544703000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.544703, -0.200935)",31356,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000486
199,APP\PREMISES-CONV\000751,Premises - Conversion of Licence,Emperor,"30 ENGLAND'S LANE, LONDON, NW3 4UE",LA2003,Application Approved,No,23/08/2005,,,,23/08/2005,2005-07-25,,,E05000128,Belsize,527510.84,184606.71,-0.162543,51.545968,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.545968, -0.162543)",31116,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000751
254,APP\PREMISES-CONV\000767,Premises - Conversion of Licence,Hush Brasseries Holborn (formerly Villandry Kitchen),"95  96 HIGH HOLBORN, LONDON, WC1V 6LF",LA2003,Application Approved,No,25/08/2005,,,,24/08/2005,2005-07-26,,,E05000138,Holborn and Covent Garden,530646.99,181604.17,-0.11845499999999999,51.518268,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.518268, -0.118455)",31102,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000767
275,APP\PREMISES-CONV\001206,Premises - Conversion of Licence,Eat Tokyo (formerly Edokko Restaurant),"50 RED LION STREET, LONDON, WC1R 4PF",LA2003,Application Approved,No,05/09/2005,,,,02/09/2005,2005-05-08,,,E05000138,Holborn and Covent Garden,530692.5,181775.04,-0.117736,51.519793,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.519793, -0.117736)",30706,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\001206
464,APP\PREMISES-CONV\001224,Premises - Conversion of Licence,Rock And Sole Place,"45  47 ENDELL STREET, LONDON, WC2H 9AJ",LA2003,Application Approved,No,03/09/2005,,,,02/09/2005,2005-05-08,,Seven Dials,E05000138,Holborn and Covent Garden,530211.81,181163.2,-0.12488599999999998,51.514406,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.514406, -0.124886)",30689,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\001224
483,APP\PREMISES-CONV\000876,Premises - Conversion of Licence,Garfunkel's,"264 TOTTENHAM COURT ROAD, LONDON, W1T 7RQ",LA2003,Application Approved,No,07/09/2005,,,,26/08/2005,2005-07-29,,,E05000129,Bloomsbury,529857.44,181436.66,-0.12989,51.516945,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.516945, -0.12989)",31002,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000876
573,APP\PREMISES-CONV\000477,Premises - Conversion of Licence,Peckwater Estate Tenant & R.A,"4 PECKWATER STREET, LONDON, NW5 2UP",LA2003,Application Rejected - Incomplete Documentation,No,,,,,06/08/2005,2005-08-07,14/07/2005,,E05000139,Kentish Town,529191.07,185148.97,-0.138127,51.550459000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550459, -0.138127)",31365,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000477
599,APP\PREMISES-CONV\000254,Premises - Conversion of Licence,Mondello Restaurant,"36 GOODGE STREET, LONDON, W1T 2QN",LA2003,Application Approved,No,30/07/2005,,,,08/07/2005,2005-09-06,,,E05000129,Bloomsbury,529468.36,181750.5,-0.135379,51.519855,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.519855, -0.135379)",31577,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000254
619,APP\PREMISES-CONV\000839,Premises - Conversion of Licence,Miranas Food & Wine,"28  30 ENDELL STREET, LONDON, WC2H 9AG",LA2003,Application Approved,No,01/09/2005,,,,26/08/2005,2005-07-29,,Seven Dials,E05000138,Holborn and Covent Garden,530211.81,181163.2,-0.12488599999999998,51.514406,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.514406, -0.124886)",31038,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-CONV\000839
