,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
388,APP\PREMISES-LICOPY\0057,Premises - Copy of Licence,Senor Ceviche (formerly known as The Barnyard),"18 CHARLOTTE STREET, LONDON, W1T 2LZ",LA2003,Application Approved In Full,No,,,,,,2013-06-08,,,E05000129,Bloomsbury,529528.04,181652.4,-0.134555,51.518959,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.518959, -0.134555)",30604,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0057
556,APP\PREMISES-LICOPY\0159,Premises - Copy of Licence,Sakleys - Ground Floor,"69 CHARLOTTE STREET, LONDON, W1T 4PJ",LA2003,Application Approved In Full,No,,,,,,2016-08-03,,,E05000129,Bloomsbury,529392.85,181727.74,-0.136475,51.519667,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.519667, -0.136475)",30506,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0159
698,APP\PREMISES-LICOPY\0139,Premises - Copy of Licence,London Cocktail Club,"224 SHAFTESBURY AVENUE, LONDON, WC2H 8EB",LA2003,Application Approved In Full,No,,,,,,2015-08-17,,Seven Dials,E05000138,Holborn and Covent Garden,530133.52,181364.62,-0.12594,51.516234000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.516234, -0.12594)",30522,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0139
1163,APP\PREMISES-LICOPY\0058,Premises - Copy of Licence,Sam's Supermarket,"78 ST PAUL'S CRESCENT, LONDON, NW1 9XZ",LA2003,Application Approved In Full,No,,,,,,2013-08-08,,,E05000131,Cantelowes,529835.71,184222.88,-0.129177,51.541989,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.541989, -0.129177)",30603,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0058
1271,APP\PREMISES-LICOPY\0176,Premises - Copy of Licence,KFC,"242 HAVERSTOCK HILL, LONDON, NW3 2AE",LA2003,Application Approved In Full,No,,,,,,2016-07-28,,,E05000135,Hampstead Town,527194.33,185295.67,-0.166857,51.55223,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.55223, -0.166857)",30489,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0176
1407,APP\PREMISES-LICOPY\0098,Premises - Copy of Licence,The Hope Pub,"15 TOTTENHAM STREET, LONDON, W1T 2AJ",LA2003,Application Approved In Full,No,,,,,,2014-04-11,,,E05000129,Bloomsbury,529439.48,181788.23,-0.13578099999999999,51.5202,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.5202, -0.135781)",30563,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0098
1424,APP\PREMISES-LICOPY\0080,Premises - Copy of Licence,Sushi Bar Ramea,"19 PERCY STREET, LONDON, W1T 1DY",LA2003,Application Approved In Full,No,,,,,,2014-03-17,,,E05000129,Bloomsbury,529729.97,181585.26,-0.131671,51.51831,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.51831, -0.131671)",30581,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0080
1476,APP\PREMISES-LICOPY\0012,Premises - Copy of Licence,Grand Union (Camden),"102 106 CAMDEN ROAD, LONDON, NW1 9EA",LA2003,Application Approved In Full,No,,,,,,2012-07-23,,,E05000131,Cantelowes,529236.01,184161.88,-0.13784200000000002,51.541578,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.541578, -0.137842)",30645,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0012
1672,APP\PREMISES-LICOPY\0146,Premises - Copy of Licence,Royal Free Hospital,"ROYAL FREE HOSPITAL POND STREET, LONDON, NW3 2QG",LA2003,Application Approved In Full,No,,,,,,2015-10-21,,,E05000135,Hampstead Town,527291.99,185402.83,-0.16541,51.553171,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.553171, -0.16541)",30515,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0146
2328,APP\PREMISES-LICOPY\0185,Premises - Copy of Licence,The Hampstead Butcher and Providore,"244 WEST END LANE, LONDON, NW6 1LG",LA2003,Application Approved In Full,No,,,,,,2016-11-25,,,E05000145,West Hampstead,525497.88,185134.14,-0.191369,51.551158,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551158, -0.191369)",30480,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0185
2414,APP\PREMISES-LICOPY\0195,Premises - Copy of Licence,Mon Plaisir,"19  21 MONMOUTH STREET, LONDON, WC2H 9DD",LA2003,Application Approved In Full,No,,,,,,2017-02-22,,Seven Dials,E05000138,Holborn and Covent Garden,530096.62,181164.76,-0.126545,51.514446,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.514446, -0.126545)",30470,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0195
2477,APP\PREMISES-LICOPY\0061,Premises - Copy of Licence,Cashino,"130 KILBURN HIGH ROAD, LONDON, NW6 4JD",LA2003,Application Approved In Full,No,,,,,,2013-05-09,,,E05000140,Kilburn,525292.97,183915.38,-0.19475699999999999,51.540251,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.540251, -0.194757)",30600,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-LICOPY\0061
