,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
2583,APP\PREMISES-ITN\000002,Premises - Interim Notice,La Porchetta,"33 BOSWELL STREET, LONDON, WC1N 3BP",LA2003,Application Approved In Full,No,17/10/2007,,,,14/10/2007,2007-12-10,,,E05000138,Holborn and Covent Garden,530453.7,181845.02,-0.12115,51.520477,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.520477, -0.12115)",30679,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP\PREMISES-ITN\000002
4478,APP\PREMISES-ITN\000018,Premises - Interim Notice,Academy Town House Hotel Ltd,"17  25 GOWER STREET, LONDON, WC1E 6HG",LA2003,Application Approved In Full,No,28/06/2010,,,,23/06/2010,2010-06-21,,,E05000129,Bloomsbury,529754.16,181856.1,-0.131223,51.520738,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.520738, -0.131223)",30663,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000018
5470,APP\PREMISES-ITN\000008,Premises - Interim Notice,Giraffe,"196 198 HAVERSTOCK HILL, LONDON, NW3 2AG",LA2003,Application Approved In Full,No,26/10/2009,,,,18/10/2009,2009-10-16,,,E05000135,Hampstead Town,527333.39,185143.52,-0.164907,51.550832,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.550832, -0.164907)",30673,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000008
5654,APP\PREMISES-ITN\000016,Premises - Interim Notice,Priory Tavern,"250 BELSIZE ROAD, LONDON, NW6 4BT",LA2003,Application Approved In Full,No,24/03/2010,,,,19/03/2010,2010-03-17,,,E05000140,Kilburn,525558.04,183736.11,-0.191,51.538581,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.538581, -0.191)",30665,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000016
5961,APP\PREMISES-ITN\000015,Premises - Interim Notice,Hampstead Food Mart,"169 WEST END LANE, LONDON, NW6 2LH",LA2003,Application Approved In Full,No,19/11/2009,,,,06/11/2009,2009-04-11,,,E05000145,West Hampstead,525506.74,184598.15,-0.191433,51.546339,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.546339, -0.191433)",30666,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000015
6729,APP\PREMISES-ITN\000004,Premises - Interim Notice,China City Restaurant,"50 WOBURN PLACE, LONDON, WC1H 0JZ",LA2003,Application in Progress,No,22/05/2009,,,,27/03/2009,2009-03-25,,,E05000129,Bloomsbury,530006.79,182179.67,-0.12746500000000002,51.523588000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.523588, -0.127465)",30677,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000004
6940,APP\PREMISES-ITN\000021,Premises - Interim Notice,Flight Club,"55  59 ALBION HOUSE NEW OXFORD STREET, LONDON, WC1A 1BS",LA2003,Application Approved In Full,No,17/07/2012,,,,16/07/2012,2012-11-07,,Seven Dials,E05000138,Holborn and Covent Garden,530049.4,181415.57,-0.127133,51.516711,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.516711, -0.127133)",30660,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000021
8567,APP\PREMISES-ITN\000012,Premises - Interim Notice,Tannin and Oak,"278 WEST END LANE, LONDON, NW6 1LJ",LA2003,Application Approved In Full,No,19/11/2009,,,,06/11/2009,2009-04-11,,,E05000145,West Hampstead,525475.26,185232.59,-0.19166,51.552048,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.552048, -0.19166)",30669,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000012
8781,APP\PREMISES-ITN\000006,Premises - Interim Notice,Artigiano,"12A BELSIZE TERRACE, LONDON, NW3 4AX",LA2003,Application Approved,No,16/09/2009,,,,12/09/2009,2009-10-09,,,E05000128,Belsize,526926.88,184921.82,-0.170847,51.548931,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.548931, -0.170847)",30675,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000006
10432,APP\PREMISES-ITN\000009,Premises - Interim Notice,Thresher Wine Shop,"150 FORTESS ROAD, LONDON, NW5 2HP",LA2003,Application Approved In Full,No,19/11/2009,,,,06/11/2009,2009-04-11,,,E05000139,Kentish Town,529147.5,185781.26,-0.138523,51.556151,Nearest OS Open Map-Local Building,11/05/2017 07:37:31 PM,"(51.556151, -0.138523)",30672,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000009
13750,APP\PREMISES-ITN\000023,Premises - Interim Notice,Smugglers Tavern,"28 WARREN STREET, LONDON, W1T 5ND",LA2003,Application Approved In Full,No,11/03/2014,,,,05/02/2014,2014-01-31,,,E05000129,Bloomsbury,529087.01,182151.41,-0.140725,51.523545,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.523545, -0.140725)",30658,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-ITN\000023
