,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
6,APP\PREMISES-MVARY\00638,Premises - Minor Variation of Licence,Royal George,"8  14 EVERSHOLT STREET, LONDON, NW1 1DG",LA2003,Application Approved In Full,No,10/08/2016,,,,08/08/2016,2016-07-25,,,E05000143,St Pancras and Somers Town,529710.19,182707.64,-0.131543,51.528401,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.528401, -0.131543)",30013,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00638
119,APP\PREMISES-MVARY\00404,Premises - Minor Variation of Licence,Senor Ceviche (formerly known as The Barnyard),"18 CHARLOTTE STREET, LONDON, W1T 2LZ",LA2003,Application Approved In Full,No,31/12/2013,,,,23/12/2013,2013-09-12,,,E05000129,Bloomsbury,529528.04,181652.4,-0.134555,51.518959,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.518959, -0.134555)",30229,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00404
174,APP\PREMISES-MVARY\00406,Premises - Minor Variation of Licence,Worlds End,"174 CAMDEN HIGH STREET, LONDON, NW1 0NE",LA2003,Application Approved In Full,No,08/01/2014,,,,31/12/2013,2013-12-17,,Camden Town,E05000130,Camden Town with Primrose Hill,528955.86,183892.26,-0.141978,51.539219,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.539219, -0.141978)",30227,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00406
252,APP\PREMISES-MVARY\00183,Premises - Minor Variation of Licence,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application in Progress,No,,,,,21/06/2010,2010-07-06,01/07/2010,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.543994, -0.151855)",30428,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00183
391,APP\PREMISES-MVARY\00242,Premises - Minor Variation of Licence,Vine,"86 HIGHGATE ROAD, LONDON, NW5 1PB",LA2003,Application Rejected,No,,,,,29/04/2011,2011-04-15,19/04/2011,,E05000139,Kentish Town,528724.43,185624.2,-0.14468,51.554836,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.554836, -0.14468)",30377,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00242
422,APP\PREMISES-MVARY\00198,Premises - Minor Variation of Licence,Belsize Kitchen,"68 BELSIZE LANE, LONDON, NW3 5BJ",LA2003,Application Approved In Full,No,16/07/2010,,,,08/07/2010,2010-06-24,,,E05000133,Frognal and Fitzjohns,526869.07,184924.75,-0.171679,51.548970000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.54897, -0.171679)",30415,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00198
497,APP\PREMISES-MVARY\00317,Premises - Minor Variation of Licence,Le Pain Quotidien Unit 4,"ST PANCRAS INTERNATIONAL STATION EUSTON ROAD, LONDON, N1C 4QL",LA2003,Application Approved In Full,No,29/06/2012,,,,26/10/2016,2016-12-10,,,E05000143,St Pancras and Somers Town,530045.03,183091.73,-0.126577,51.531775,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.531775, -0.126577)",30311,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00317
581,APP\PREMISES-MVARY\00549,Premises - Minor Variation of Licence,Mabels Tavern,"9 MABLEDON PLACE, LONDON, WC1H 9AZ",LA2003,Application Approved In Full,No,28/04/2016,,,,09/03/2016,2016-02-24,,,E05000141,King's Cross,530037.1,182663.63,-0.12685,51.52793,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.52793, -0.12685)",30093,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00549
658,APP\PREMISES-MVARY\00464,Premises - Minor Variation of Licence,Bull & Gate,"389 KENTISH TOWN ROAD, LONDON, NW5 2TJ",LA2003,Application Approved In Full,No,09/12/2014,,,,22/11/2016,2016-08-11,,,E05000139,Kentish Town,528923.29,185300.87,-0.141932,51.551885,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.551885, -0.141932)",30173,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00464
689,APP\PREMISES-MVARY\00409,Premises - Minor Variation of Licence,Havana Cafe & Bar,"9 KENTISH TOWN ROAD, LONDON, NW1 8NH",LA2003,Application Approved In Full,No,29/01/2014,,,,28/01/2014,2014-01-14,,Camden Town,E05000130,Camden Town with Primrose Hill,528899.47,183943.05,-0.142772,51.539688,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.539688, -0.142772)",30225,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-MVARY\00409
