,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
17,APP\PREMISES-NEW\000609,Premises - New Licence,Wates House,"22 UCL THE BARTLETT SCHOOL BUILDING GORDON STREET, LONDON, WC1H 0QB",LA2003,Application Rejected,No,,,,,10/01/2008,2007-12-13,21/12/2007,,E05000129,Bloomsbury,529673.59,182410.42,-0.13218,51.525738,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.525738, -0.13218)",29445,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000609
24,APP\PREMISES-NEW\000253,Premises - New Licence,TBWA London Social Club,"78 WHITFIELD STREET, LONDON, W1T 4EZ",LA2003,Application Rejected - Incomplete Documentation,No,,,,,03/02/2006,2006-06-01,12/01/2006,,E05000129,Bloomsbury,529359.73,182034.29,-0.13683900000000002,51.52243,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.52243, -0.136839)",29737,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000253
56,APP\PREMISES-NEW\000633,Premises - New Licence,NASZA POLSKA LTD (formerly Baltic Market),"336 KILBURN HIGH ROAD, LONDON, NW6 2QN",LA2003,Application Approved In Full,No,20/03/2008,,,,07/03/2008,2008-08-02,,,,,524741.05,184482.01,-0.20251,51.545465,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.545465, -0.20251)",29426,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000633
77,APP\PREMISES-NEW\001315,Premises - New Licence,Ottolenghi's,"HARTLAND ROAD ARCHES HARTLAND ROAD, LONDON, NW1 8HR",LA2003,Application Approved In Full,No,10/09/2013,,,,09/09/2013,2013-12-08,,Camden Town,E05000130,Camden Town with Primrose Hill,528675.53,184356.86,-0.145848,51.543458,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.543458, -0.145848)",28823,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001315
99,APP\PREMISES-NEW\000250,Premises - New Licence,NUT Staff Social and Sports Club,"13  18 HAMILTON HOUSE MABLEDON PLACE, LONDON, WC1H 9BB",LA2003,Application Approved In Full,No,16/11/2006,,,,03/02/2006,2006-06-01,,,E05000141,King's Cross,530037.1,182663.63,-0.12685,51.52793,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.52793, -0.12685)",29740,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000250
104,APP\PREMISES-NEW\000494,Premises - New Licence,Cantinho Da Linda,"3 PLENDER STREET, LONDON, NW1 0JT",LA2003,Application Rejected,Yes,,,,29/05/2007,02/05/2007,2007-04-04,28/06/2007,Camden Town,E05000143,St Pancras and Somers Town,529189.11,183601.32,-0.138723,51.536551,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.536551, -0.138723)",29539,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000494
147,APP\PREMISES-NEW\001584,Premises - New Licence,Raja Convenience Store,"114A116 FORTESS ROAD, LONDON, NW5 2HL",LA2003,Application Approved In Full,No,14/11/2015,,,,13/11/2015,2015-10-16,,,E05000139,Kentish Town,529107.97,185711.65,-0.139119,51.555534,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.555534, -0.139119)",28577,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\001584
187,APP\PREMISES-NEW\000966,Premises - New Licence,"The Honourable Society of Gray's Inn, The Walks","8 SOUTH SQUARE, LONDON, WC1R 5ET",LA2003,Application Approved In Full,No,08/12/2010,,,,03/12/2010,2010-05-11,,,E05000138,Holborn and Covent Garden,531108.11,181764.1,-0.11175399999999999,51.519599,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.519599, -0.111754)",29127,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000966
201,APP\PREMISES-NEW\000697,Premises - New Licence,Marrakech,"THE STABLES MARKET CHALK FARM ROAD, LONDON, NW1 8AH",LA2003,Application Partially Approved,Yes,23/10/2008,,,29/09/2008,03/09/2008,2008-06-08,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.542256, -0.14816)",29374,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000697
222,APP\PREMISES-NEW\000604,Premises - New Licence,Coffee Cup,"74 HAMPSTEAD HIGH STREET, LONDON, NW3 1QX",LA2003,Application Approved In Full,No,28/12/2007,,,,27/12/2007,2007-11-29,,,E05000135,Hampstead Town,526435.88,185669.35,-0.177656,51.555759,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.555759, -0.177656)",29448,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-NEW\000604
