,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
2005,APP\PREMISES-PROV\000017,Premises - Provisional Statement,The Greek Larder Unit 1A,"1 ARTHOUSE YORK WAY, LONDON, N1C 4AW",LA2003,Application Approved,No,,,,20/03/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,530300.94,183606.23,-0.1227,51.53634,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.53634, -0.1227)",28353,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000017
4134,APP\PREMISES-PROV\000007,Premises - Provisional Statement,Off Licence TBC,"1 MANSFIELD ROAD, LONDON, NW3 2JD",LA2003,Application Withdrawn,No,,,,,05/06/2006,2006-08-05,,,E05000134,Gospel Oak,528279.2,185599.66,-0.151107,51.554717,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.554717, -0.151107)",28361,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000007
7733,APP\PREMISES-PROV\000016,Premises - Provisional Statement,"Pavillion, 3 Granary Square","1 GRANARY BUILDING GRANARY SQUARE, LONDON, N1C 4AA",LA2003,Application Approved,No,,,,20/03/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,530179.14,183608.02,-0.124454,51.536384000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.536384, -0.124454)",28354,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000016
15960,APP\PREMISES-PROV\000005,Premises - Provisional Statement,Assembly House,"292 294 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Rejected,No,,,,,15/03/2005,2005-02-15,23/02/2006,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.551065, -0.140306)",28363,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP\PREMISES-PROV\000005
17198,APP\PREMISES-PROV\000008,Premises - Provisional Statement,Granger and Co,"7 PANCRAS SQUARE, LONDON, N1C 4AG",LA2003,Application Approved,No,19/03/2014,,,11/03/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,530079.57,183254.06,-0.12602,51.533226,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.533226, -0.12602)",28360,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000008
18930,APP\PREMISES-PROV\000012,Premises - Provisional Statement,Dishoom,"5 STABLE STREET, LONDON, N1C 4AB",LA2003,Application Approved,No,,,,01/05/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,530179.14,183608.02,-0.124454,51.536384000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.536384, -0.124454)",28356,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000012
19204,APP\PREMISES-PROV\000003,Premises - Provisional Statement,Assembly House,"292 294 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Rejected,No,,,,,14/02/2006,2006-01-17,31/01/2006,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.551065, -0.140306)",28365,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000003
19635,APP\PREMISES-PROV\000002,Premises - Provisional Statement,Hawley Arms,"2 CASTLEHAVEN ROAD, LONDON, NW1 8QU",LA2003,Application Approved In Full,No,04/01/2006,,,,26/12/2005,2005-11-28,,Camden Town,E05000130,Camden Town with Primrose Hill,528717.94,184191.37,-0.145297,51.541961,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.541961, -0.145297)",28366,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000002
27845,APP\PREMISES-PROV\000010,Premises - Provisional Statement,NOTES,"1 PANCRAS SQUARE, LONDON, N1C 4AG",LA2003,Application Approved,No,,,,11/03/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,530146.08,183226.37,-0.12507200000000002,51.532962,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.532962, -0.125072)",28358,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000010
29133,APP\PREMISES-PROV\000015,Premises - Provisional Statement,"Unit 1, Tapestry","1 TAPESTRY APARTMENTS CANAL REACH, LONDON, N1C 4AZ",LA2003,Application Approved,No,,,,01/05/2014,14/02/2014,2014-01-17,,,E05000143,St Pancras and Somers Town,529918.9,183671.88,-0.128181,51.537017999999996,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.537018, -0.128181)",28355,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000015
30097,APP\PREMISES-PROV\000004,Premises - Provisional Statement,Victoria House,"37  63 VICTORIA HOUSE SOUTHAMPTON ROW, LONDON, WC1B 4DA",LA2003,Application Approved In Full,No,02/03/2006,,,,01/03/2006,2006-01-02,,Seven Dials,E05000138,Holborn and Covent Garden,530393.5,181710.95,-0.12206700000000001,51.519286,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.519286, -0.122067)",28364,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-PROV\000004
