,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
85,APP\PREMISES-REV\000065,Premises - Review of Licence,Centro & the Den,"16A WEST CENTRAL STREET, LONDON, WC1A 1JJ",LA2003,Application Approved In Full,Yes,,,,18/08/2011,24/06/2011,2011-05-27,,Seven Dials,E05000138,Holborn and Covent Garden,530175.35,181438.83,-0.12531,51.516890999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.516891, -0.12531)",28308,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000065
111,APP\PREMISES-REV\000097,Premises - Review of Licence,Bloc Bar (Formerly Record Club/The Stillery,"18 KENTISH TOWN ROAD, LONDON, NW1 9NX",LA2003,Review Ended - Removal of DPS,No,,,,28/05/2013,17/04/2013,2013-03-20,,Camden Town,E05000130,Camden Town with Primrose Hill,528951.8,183997.31,-0.141998,51.540164000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.540164, -0.141998)",28278,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000097
822,APP\PREMISES-REV\000072,Premises - Review of Licence,Smoking Goat,"7 DENMARK STREET, LONDON, WC2H 8LZ",LA2003,Application Withdrawn,No,,,,17/11/2011,02/11/2011,2011-10-19,,Seven Dials,E05000138,Holborn and Covent Garden,529900.15,181223.29,-0.129353,51.515018,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.515018, -0.129353)",28301,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000072
1769,APP\PREMISES-REV\000120,Premises - Review of Licence,Corner Off Licence,"125 KING'S CROSS ROAD, LONDON, WC1X 9NH",LA2003,Review Ended - Conditions Modified on Licence,No,,,,02/07/2015,15/06/2015,2015-05-18,,,E05000141,King's Cross,530761.37,182808.35,-0.11636099999999999,51.529063,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.529063, -0.116361)",28257,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000120
2340,APP\PREMISES-REV\000062,Premises - Review of Licence,Shaka Zulu,"THE STABLES MARKET CHALK FARM ROAD, LONDON, NW1 8AH",LA2003,Review Ended - Conditions Modified on Licence,Yes,,,,21/04/2011,06/04/2011,2011-03-23,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.542256, -0.14816)",28311,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000062
2581,APP\PREMISES-REV\000105,Premises - Review of Licence,St Giles Hotel Ltd,"12 ST GILES HOTEL BEDFORD AVENUE, LONDON, WC1B 3GH",LA2003,Application Withdrawn,No,,,,31/10/2013,03/10/2013,2013-05-09,,,E05000129,Bloomsbury,529818.38,181492.03,-0.130432,51.517452,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.517452, -0.130432)",28271,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000105
2873,APP\PREMISES-REV\000121,Premises - Review of Licence,Bloomsbury Bowling Lanes,"46  55 TAVISTOCK HOTEL TAVISTOCK SQUARE, LONDON, WC1H 9EU",LA2003,Review Ended - Conditions Modified on Licence,No,,,,04/02/2016,19/01/2016,2015-12-22,,,E05000129,Bloomsbury,529868.3,182206.42,-0.12945,51.52386,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.52386, -0.12945)",28256,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000121
3341,APP\PREMISES-REV\000073,Premises - Review of Licence,Kentucky Fried Chicken,"239 CAMDEN HIGH STREET, LONDON, NW1 7BU",LA2003,Review Ended - Conditions Modified on Licence,No,,,,12/01/2012,15/12/2011,2011-11-17,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.540039, -0.144497)",28300,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000073
3608,APP\PREMISES-REV\000076,Premises - Review of Licence,Centro & the Den,"16A WEST CENTRAL STREET, LONDON, WC1A 1JJ",LA2003,Review Ended - Revocation of Licence,Yes,,,,19/12/2011,07/12/2011,2011-11-23,,Seven Dials,E05000138,Holborn and Covent Garden,530175.35,181438.83,-0.12531,51.516890999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.516891, -0.12531)",28297,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000076
3637,APP\PREMISES-REV\000123,Premises - Review of Licence,Lets Go Local (formerly Express Convenience Store),"160 AGAR GROVE, LONDON, NW1 9TY",LA2003,Review Ended - Conditions Modified on Licence,No,,,,11/03/2016,16/02/2016,2016-01-19,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.543074, -0.126691)",28254,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-REV\000123
