,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1121,APP\PREMISES-SVARI\000015,Premises - Small Variation,Bleeding Heart Bistro,"6 BLEEDING HEART YARD, LONDON, EC1N 8SJ",LA2003,Application Approved,No,25/04/2007,,,,,2007-04-24,,,E05000138,Holborn and Covent Garden,531488.0,181700.74,-0.106305,51.518941,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.518941, -0.106305)",28238,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000015
1544,APP\PREMISES-SVARI\000046,Premises - Small Variation,Villandry Kitchen,"99 HIGH HOLBORN, LONDON, WC1V 6LF",LA2003,Application Approved,No,10/06/2009,,,,,2009-03-06,,,E05000138,Holborn and Covent Garden,530646.99,181604.17,-0.11845499999999999,51.518268,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.518268, -0.118455)",28208,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000046
1770,APP\PREMISES-SVARI\000019,Premises - Small Variation,Lyttelton Arms,"1 CAMDEN HIGH STREET, LONDON, NW1 7JE",LA2003,Application Approved,No,18/07/2007,,,,,2007-12-07,,Camden Town,E05000142,Regent's Park,529129.52,183417.31,-0.139649,51.534911,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.534911, -0.139649)",28234,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000019
2383,APP\PREMISES-SVARI\000043,Premises - Small Variation,Craft Beer Co - Covent Garden,"168 HIGH HOLBORN, LONDON, WC1V 7AA",LA2003,Application Approved,No,24/12/2008,,,,,2008-01-17,,Seven Dials,E05000138,Holborn and Covent Garden,530210.86,181297.81,-0.12485,51.515615999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.515616, -0.12485)",28212,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000043
2569,APP\PREMISES-SVARI\000032,Premises - Small Variation,Sainsbury's Supermarkets Limited,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Application Approved,No,28/04/2008,,,,,2008-04-25,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.547698, -0.181321)",28223,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000032
3380,APP\PREMISES-SVARI\000021,Premises - Small Variation,Cote,"83  84 HAMPSTEAD HIGH STREET, LONDON, NW3 1RE",LA2003,Application Approved,No,07/11/2007,,,,,2007-07-11,,,E05000135,Hampstead Town,526536.69,185629.63,-0.176217,51.555378999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.555379, -0.176217)",28233,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000021
4228,APP\PREMISES-SVARI\000034,Premises - Small Variation,Euston Flyer,"83  87 EUSTON ROAD, LONDON, NW1 2RA",LA2003,Application Approved,No,18/06/2008,,,,,2008-05-28,,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.528517, -0.126822)",28221,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000034
4932,APP\PREMISES-SVARI\000040,Premises - Small Variation,The Black Cat,"GREATER LONDON HOUSE HAMPSTEAD ROAD, LONDON, NW1 7FB",LA2003,Application Approved,No,04/11/2008,,,,,2008-10-24,,Camden Town,E05000142,Regent's Park,529118.15,183259.39,-0.139871,51.533495,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.533495, -0.139871)",28215,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000040
5657,APP\PREMISES-SVARI\000024,Premises - Small Variation,The Little Thai (formerly La Cocotte),"85 FLEET ROAD, LONDON, NW3 2QY",LA2003,Application Approved,No,07/02/2008,,,,,2008-01-31,,,E05000134,Gospel Oak,527311.32,185537.58,-0.16508299999999998,51.554378,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.554378, -0.165083)",28230,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000024
7824,APP\PREMISES-SVARI\000036,Premises - Small Variation,Zizzi,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Application Approved,No,18/08/2008,,,,,2008-08-18,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.547698, -0.181321)",28219,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-SVARI\000036
