,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
0,APP\PREMISES-VARYDPS\003750,Premises - Variation of DPS,Waitrose,"227 229 TOTTENHAM COURT ROAD, LONDON, W1T 7QE",LA2003,Application Approved In Full,No,05/10/2015,,,,05/10/2015,2015-09-21,,,E05000129,Bloomsbury,529579.24,181715.35,-0.133795,51.519513,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.519513, -0.133795)",22805,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\003750
11,APP\PREMISES-VARYDPS\004433,Premises - Variation of DPS,Calcutta Street ( formerly Club Fitzrovia),"29 TOTTENHAM STREET, LONDON, W1T 4RP",LA2003,Application Approved In Full,No,02/02/2017,,,,15/02/2017,2017-01-02,,,E05000129,Bloomsbury,529392.85,181727.74,-0.136475,51.519667,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519667, -0.136475)",22172,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\004433
13,APP\PREMISES-VARYDPS\004529,Premises - Variation of DPS,Cote,"83  84 HAMPSTEAD HIGH STREET, LONDON, NW3 1RE",LA2003,Application Approved In Full,No,05/05/2017,,,,10/05/2017,2017-04-26,,,E05000135,Hampstead Town,526536.69,185629.63,-0.176217,51.555378999999995,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.555379, -0.176217)",22082,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\004529
26,APP\PREMISES-VARYDPS\003766,Premises - Variation of DPS,Belgo,"67 KINGSWAY, LONDON, WC2B 6TD",LA2003,Application Approved In Full,No,21/10/2015,,,,16/10/2015,2015-02-10,,Seven Dials,E05000138,Holborn and Covent Garden,530557.6,181249.67,-0.119874,51.515103,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.515103, -0.119874)",22790,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\003766
34,APP\PREMISES-VARYDPS\002954,Premises - Variation of DPS,Odeon Cinema,"14 PARKWAY, LONDON, NW1 7AA",LA2003,Application Approved In Full,No,10/12/2013,,,,09/10/2013,2013-09-25,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.539139, -0.143695)",23542,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002954
47,APP\PREMISES-VARYDPS\001315,Premises - Variation of DPS,New Market Inn,"17 YORK WAY, LONDON, N7 9QG",LA2003,Application Approved,No,12/03/2008,,,,11/03/2009,2009-02-25,,,E05000131,Cantelowes,530004.99,184347.96,-0.126691,51.543074,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.543074, -0.126691)",25089,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\001315
54,APP\PREMISES-VARYDPS\000301,Premises - Variation of DPS,Premier - Kaasco,"146 CAMDEN HIGH STREET, LONDON, NW1 0NE",LA2003,Application Approved In Full,No,22/12/2006,,,,07/06/2006,2006-05-24,,Camden Town,E05000130,Camden Town with Primrose Hill,528966.15,183826.35,-0.141854,51.538624,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.538624, -0.141854)",26046,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\000301
61,APP\PREMISES-VARYDPS\004027,Premises - Variation of DPS,Dominion Theatre,"268 269 THE DOMINION THEATRE TOTTENHAM COURT ROAD, LONDON, W1T 7AQ",LA2003,Application Approved In Full,No,21/04/2016,,,,02/05/2016,2016-04-18,,,E05000129,Bloomsbury,529857.44,181436.66,-0.12989,51.516945,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.516945, -0.12989)",22549,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\004027
62,APP\PREMISES-VARYDPS\002531,Premises - Variation of DPS,Sainsbury's Supermarkets Ltd,"THE STABLES MARKET CHALK FARM ROAD, LONDON, NW1 8AH",LA2003,Application Approved In Full,No,04/10/2012,,,,27/09/2012,2012-09-13,,Camden Town,E05000130,Camden Town with Primrose Hill,528518.62,184219.15,-0.14816,51.542256,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.542256, -0.14816)",23941,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\002531
66,APP\PREMISES-VARYDPS\001468,Premises - Variation of DPS,Lilly Langtree,"121 ABBEY ROAD, LONDON, NW6 4SL",LA2003,Application Approved In Full,No,05/08/2009,,,,31/07/2009,2009-07-17,,,E05000140,Kilburn,525740.21,183879.85,-0.188324,51.539832000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.539832, -0.188324)",24945,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARYDPS\001468
