,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
25,APP\PREMISES-VARY(T)\000329,Premises - Variation of Licence (Transition),North Star,"104 FINCHLEY ROAD, LONDON, NW3 5JJ",LA2003,Transferred to Premises Conversion Application (Do Not Use),Yes,05/09/2005,,,07/09/2005,11/08/2005,2005-07-14,,,E05000133,Frognal and Fitzjohns,526418.55,184580.29,-0.178297,51.545976,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.545976, -0.178297)",26514,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000329
37,APP\PREMISES-VARY(T)\000234,Premises - Variation of Licence (Transition),All Bar One,"108 NEW OXFORD STREET, LONDON, WC1A 1HB",LA2003,Application Approved,No,29/07/2005,,,11/08/2005,16/07/2005,2005-06-17,,,E05000129,Bloomsbury,529948.7,181428.38,-0.128578,51.51685,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.51685, -0.128578)",26600,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000234
67,APP\PREMISES-VARY(T)\000551,Premises - Variation of Licence (Transition),Victoria Food & Wine,"164 GRAY'S INN ROAD, LONDON, WC1X 8ED",LA2003,Application Partially Approved,Yes,21/03/2006,,,30/01/2006,01/09/2005,2005-04-08,,,E05000138,Holborn and Covent Garden,530989.95,182059.78,-0.113346,51.522283,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.522283, -0.113346)",26330,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000551
154,APP\PREMISES-VARY(T)\000490,Premises - Variation of Licence (Transition),Covent Garden Hotel,"10 MONMOUTH STREET, LONDON, WC2H 9HB",LA2003,Application Approved,No,31/08/2005,,,,24/08/2005,2005-07-27,,Seven Dials,E05000138,Holborn and Covent Garden,530047.28,181157.1,-0.12725799999999998,51.514389,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.514389, -0.127258)",26387,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000490
269,APP\PREMISES-VARY(T)\000387,Premises - Variation of Licence (Transition),Lilly Langtree,"121 ABBEY ROAD, LONDON, NW6 4SL",LA2003,Application Partially Approved,Yes,19/09/2005,,,19/09/2005,22/08/2005,2005-07-25,,,E05000140,Kilburn,525740.21,183879.85,-0.188324,51.539832000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.539832, -0.188324)",26470,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000387
297,APP\PREMISES-VARY(T)\000238,Premises - Variation of Licence (Transition),Dominion Theatre,"268 269 THE DOMINION THEATRE TOTTENHAM COURT ROAD, LONDON, W1T 7AQ",LA2003,Application Approved,No,04/08/2005,,,,23/07/2005,2005-06-24,,,E05000129,Bloomsbury,529857.44,181436.66,-0.12989,51.516945,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.516945, -0.12989)",26596,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000238
466,APP\PREMISES-VARY(T)\000127,Premises - Variation of Licence (Transition),The Constitution,"42  44 ST PANCRAS WAY, LONDON, NW1 0QT",LA2003,Application Partially Approved,Yes,15/07/2005,,,15/07/2005,23/06/2005,2005-05-25,,,E05000143,St Pancras and Somers Town,529408.84,184025.5,-0.135401,51.540313,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.540313, -0.135401)",26687,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000127
610,APP\PREMISES-VARY(T)\000363,Premises - Variation of Licence (Transition),Admiral Mann,"9 HARGRAVE PLACE, LONDON, N7 0BP",LA2003,Variation Withdrawn (Conv Granted),Yes,26/09/2005,,,13/09/2005,18/08/2005,2005-07-21,,,E05000139,Kentish Town,529710.88,185036.15,-0.130676,51.549326,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.549326, -0.130676)",26488,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000363
650,APP\PREMISES-VARY(T)\000316,Premises - Variation of Licence (Transition),Mabels Tavern,"9 MABLEDON PLACE, LONDON, WC1H 9AZ",LA2003,Transferred to Premises Conversion Application (Do Not Use),Yes,,,,,08/08/2005,2005-11-07,,,E05000141,King's Cross,530037.1,182663.63,-0.12685,51.52793,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.52793, -0.12685)",26527,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000316
766,APP\PREMISES-VARY(T)\000278,Premises - Variation of Licence (Transition),Aquila Club (formerly Secrets),"309 FINCHLEY ROAD, LONDON, NW3 6EH",LA2003,Application Partially Approved,Yes,01/09/2005,,,01/09/2005,09/08/2005,2005-12-07,,,E05000145,West Hampstead,526062.43,185005.7,-0.183277,51.549878,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.549878, -0.183277)",26562,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000278
770,APP\PREMISES-VARY(T)\000383,Premises - Variation of Licence (Transition),Made In Brasil,"12 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Partially Approved,Yes,14/09/2005,,,14/09/2005,19/08/2005,2005-07-22,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.540039, -0.144497)",26473,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000383
813,APP\PREMISES-VARY(T)\000554,Premises - Variation of Licence (Transition),Toast Restaurant,"HAMPSTEAD UNDERGROUND STATION HAMPSTEAD HIGH STREET, LONDON, NW3 1QG",LA2003,Application Partially Approved,Yes,18/11/2005,,,30/09/2005,01/09/2005,2005-04-08,,,E05000135,Hampstead Town,526411.1,185782.7,-0.177972,51.556783,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.556783, -0.177972)",26327,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000554
1012,APP\PREMISES-VARY(T)\000432,Premises - Variation of Licence (Transition),Vue Cinema,"255 THE O2 CENTRE FINCHLEY ROAD, LONDON, NW3 6LU",LA2003,Variation Refused (Conv Granted),Yes,21/09/2005,,,21/09/2005,23/08/2005,2005-07-26,,,E05000145,West Hampstead,526204.1,184766.66,-0.181321,51.547698,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.547698, -0.181321)",26436,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000432
1037,APP\PREMISES-VARY(T)\000186,Premises - Variation of Licence (Transition),Sainsbury's Supermarket,"86  92 KILBURN HIGH ROAD, LONDON, NW6 4HS",LA2003,Application Partially Approved,Yes,27/09/2005,,,05/08/2005,14/07/2005,2005-06-15,,,E05000140,Kilburn,525373.48,183762.02,-0.193651,51.538855,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.538855, -0.193651)",26641,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000186
1145,APP\PREMISES-VARY(T)\000517,Premises - Variation of Licence (Transition),Euston Square Hotel,"152 156 NORTH GOWER STREET, LONDON, NW1 2LU",LA2003,Application Approved,Yes,09/09/2005,,,,02/09/2005,2005-05-08,,,E05000142,Regent's Park,529420.67,182494.73,-0.135793,51.526554,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.526554, -0.135793)",26362,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000517
1161,APP\PREMISES-VARY(T)\000218,Premises - Variation of Licence (Transition),O'Neills,"73  77 EUSTON ROAD, LONDON, NW1 2QS",LA2003,Application Rejected - Incomplete Documentation,No,,,,,16/07/2005,2005-06-17,28/06/2005,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.528517, -0.126822)",26614,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000218
1169,APP\PREMISES-VARY(T)\000096,Premises - Variation of Licence (Transition),Jeremy Bentham,"31 UNIVERSITY STREET, LONDON, WC1E 6JL",LA2003,Application Rejected - Incomplete Documentation,Yes,,,,04/07/2005,11/06/2005,2005-05-13,22/06/2005,,E05000129,Bloomsbury,529472.5,182220.56,-0.135147,51.524078,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.524078, -0.135147)",26698,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000096
1183,APP\PREMISES-VARY(T)\000472,Premises - Variation of Licence (Transition),The Horseshoe,"28 THE HORSESHOE HEATH STREET, LONDON, NW3 6TE",LA2003,Variation Refused (Conv Granted),Yes,21/09/2005,,,,01/09/2005,2005-04-08,,,E05000135,Hampstead Town,526385.31,185716.08,-0.178368,51.55619,Nearest OS Open Map-Local Building,11/05/2017 07:37:28 PM,"(51.55619, -0.178368)",26402,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY(T)\000472
