,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
41,APP\PREMISES-VARY\000984,Premises Licence -  Variation Application,Itsu,"74 ISIS HOUSE NEW OXFORD STREET, LONDON, WC1A 1EU",LA2003,Application Approved In Full,No,27/09/2016,,,27/09/2016,17/08/2016,2016-07-20,,,E05000129,Bloomsbury,530025.8,181451.65,-0.127459,51.517041,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.517041, -0.127459)",21172,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000984
88,APP\PREMISES-VARY\000351,Premises Licence -  Variation Application,Canton Element,"48 RED LION STREET, LONDON, WC1R 4PF",LA2003,Application Rejected,Yes,,,,15/05/2008,23/04/2008,2008-03-26,17/06/2008,,E05000138,Holborn and Covent Garden,530692.5,181775.04,-0.117736,51.519793,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519793, -0.117736)",21763,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000351
110,APP\PREMISES-VARY\000430,Premises Licence -  Variation Application,Coffee Cup,"74 HAMPSTEAD HIGH STREET, LONDON, NW3 1QX",LA2003,No Representations Received - Awaiting LDR,Yes,20/04/2009,,,03/03/2009,30/01/2009,2009-02-01,,,E05000135,Hampstead Town,526435.88,185669.35,-0.177656,51.555759,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.555759, -0.177656)",21690,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000430
171,APP\PREMISES-VARY\000845,Premises Licence -  Variation Application,Orchard,"11 SICILIAN AVENUE, LONDON, WC1A 2QH",LA2003,Application Withdrawn,No,,,,10/07/2014,12/06/2014,2014-05-15,,Seven Dials,E05000138,Holborn and Covent Garden,530449.24,181640.04,-0.12129000000000001,51.518636,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518636, -0.12129)",21304,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000845
295,APP\PREMISES-VARY\000794,Premises Licence -  Variation Application,Sainsburys,"17  21 CAMDEN ROAD, LONDON, NW1 9LJ",LA2003,Application Withdrawn,Yes,,,,11/07/2013,18/06/2013,2013-05-21,,Camden Town,E05000130,Camden Town with Primrose Hill,529027.22,184039.92,-0.140895,51.54053,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.54053, -0.140895)",21352,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000794
298,APP\PREMISES-VARY\000998,Premises Licence -  Variation Application,Old Bell,"38 KILBURN HIGH ROAD, LONDON, NW6 5UA",LA2003,Application Approved In Full,Yes,06/12/2016,,,,23/11/2016,2016-10-26,,,E05000140,Kilburn,525481.83,183581.34,-0.192154,51.537207,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.537207, -0.192154)",21161,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000998
320,APP\PREMISES-VARY\000120,Premises Licence -  Variation Application,Ice Wharf - Lloyds No 1,"28 CAMDEN WHARF JAMESTOWN ROAD, LONDON, NW1 7BY",LA2003,Application Rejected,No,,,,,26/04/2006,2006-03-29,26/04/2006,Camden Town,E05000130,Camden Town with Primrose Hill,528724.04,184057.19,-0.145258,51.540754,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.540754, -0.145258)",21973,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000120
364,APP\PREMISES-VARY\000715,Premises Licence -  Variation Application,Made In Brasil,"12 INVERNESS STREET, LONDON, NW1 7HJ",LA2003,Application Approved,Yes,,,,30/08/2012,31/07/2012,2012-03-07,,Camden Town,E05000130,Camden Town with Primrose Hill,528778.86,183979.04,-0.14449700000000001,51.540039,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.540039, -0.144497)",21425,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000715
376,APP\PREMISES-VARY\000797,Premises Licence -  Variation Application,Wine Rack,"206 HAVERSTOCK HILL, LONDON, NW3 2AG",LA2003,Application Approved In Full,No,25/07/2013,,,,26/06/2013,2013-05-29,,,E05000135,Hampstead Town,527333.39,185143.52,-0.164907,51.550832,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.550832, -0.164907)",21349,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000797
432,APP\PREMISES-VARY\000072,Premises Licence -  Variation Application,IL Fornello Restaurant,"150 PREMIER HOUSE SOUTHAMPTON ROW, LONDON, WC1B 5AL",LA2003,Application Approved In Full,No,22/02/2006,,,,05/01/2006,2005-08-12,,,E05000138,Holborn and Covent Garden,530280.54,181985.11,-0.12359300000000001,51.521776,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521776, -0.123593)",22017,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-VARY\000072
