,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
55,APP\PREMISES-TRANS\001318,Premises Licence - Transfer Application,Holiday Inn London Bloomsbury,"BLOOMSBURY HOTEL CORAM STREET, LONDON, WC1N 1HT",LA2003,Application Approved In Full,No,28/01/2015,,,,27/01/2015,2015-01-13,,,E05000129,Bloomsbury,530185.36,182194.17,-0.12488699999999998,51.523677,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.523677, -0.124887)",26981,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001318
100,APP\PREMISES-TRANS\000592,Premises Licence - Transfer Application,Wine Rack,"142 REGENT'S PARK ROAD, LONDON, NW1 8XL",LA2003,Application Approved In Full,No,18/01/2010,,,,25/12/2009,2009-11-12,,,E05000130,Camden Town with Primrose Hill,527923.42,184050.66,-0.156799,51.540877,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.540877, -0.156799)",27658,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000592
117,APP\PREMISES-TRANS\001351,Premises Licence - Transfer Application,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved In Full,No,08/04/2015,,,,16/04/2015,2015-02-04,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.55423, -0.144109)",26948,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001351
132,APP\PREMISES-TRANS\000425,Premises Licence - Transfer Application,Kilburn Iron Works  (previously Powers Acoustic Bar),"332 KILBURN HIGH ROAD, LONDON, NW6 2QN",LA2003,Application Rejected - Incomplete Documentation,No,,,,,26/12/2008,2008-12-12,15/12/2008,,,,524741.05,184482.01,-0.20251,51.545465,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.545465, -0.20251)",27816,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000425
163,APP\PREMISES-TRANS\000617,Premises Licence - Transfer Application,McDonald's Restaurants,"24 CAMBRIDGE CIRCUS, LONDON, WC2H 8AA",LA2003,Application Approved In Full,No,25/02/2010,,,,17/02/2010,2010-03-02,,,,,529874.97,181068.33,-0.129773,51.513631,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.513631, -0.129773)",27634,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000617
164,APP\PREMISES-TRANS\000131,Premises Licence - Transfer Application,The Perseverance,"63 PERSERVERANCE PUBLIC HOUSE LAMB'S CONDUIT STREET, LONDON, WC1N 3NB",LA2003,Application Approved In Full,No,30/11/2006,,,,02/11/2006,2006-10-19,,,E05000138,Holborn and Covent Garden,530609.84,181991.07,-0.11884700000000001,51.521754,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.521754, -0.118847)",28091,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000131
214,APP\PREMISES-TRANS\001345,Premises Licence - Transfer Application,Mezza Express,"47 PARKWAY, LONDON, NW1 7PN",LA2003,Application Approved In Full,No,24/03/2015,,,,26/03/2015,2015-12-03,,Camden Town,E05000130,Camden Town with Primrose Hill,528728.91,183764.09,-0.145295,51.538119,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.538119, -0.145295)",26954,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001345
227,APP\PREMISES-TRANS\000873,Premises Licence - Transfer Application,The Marathon,"87 CHALK FARM ROAD, LONDON, NW1 8AR",LA2003,Application Approved In Full,No,06/02/2012,,,,25/01/2012,2012-11-01,,Camden Town,E05000136,Haverstock,528257.51,184405.88,-0.151855,51.543994,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.543994, -0.151855)",27388,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000873
231,APP\PREMISES-TRANS\000517,Premises Licence - Transfer Application,La Forchetta,"12  13 GREVILLE STREET, LONDON, EC1N 8SB",LA2003,Application Approved,No,09/08/2009,,,,07/08/2009,2009-07-24,,,E05000138,Holborn and Covent Garden,531406.52,181685.63,-0.107485,51.518824,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.518824, -0.107485)",27730,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\000517
326,APP\PREMISES-TRANS\001364,Premises Licence - Transfer Application,Everyman Belsize Park,"199 HAVERSTOCK HILL, LONDON, NW3 4QG",LA2003,Application Approved In Full,No,29/05/2015,,,,27/05/2015,2015-05-13,,,E05000128,Belsize,527266.83,185119.54,-0.165875,51.550631,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.550631, -0.165875)",26935,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\PREMISES-TRANS\001364
