,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
48,APP\SE-RENW\00291,Sex Establishment Renewal Application,Secrets (Gray's Inn Road),"4 GRAY'S INN ROAD, LONDON, WC1X 8HG",LA2003,Application Approved,No,,,,,03/11/2015,2015-06-10,,,E05000138,Holborn and Covent Garden,531153.32,181689.81,-0.11112999999999999,51.518921,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.518921, -0.11113)",21100,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00291
829,APP\SE-RENW\00262,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application Approved,No,29/03/2010,,,,25/03/2010,2010-02-25,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21121,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00262
1122,APP\SE-RENW\00301,Sex Establishment Renewal Application,Secrets (Eversholt St),"34  38 EVERSHOLT STREET, LONDON, NW1 1DA",LA2003,Application Approved,No,,,,12/12/2016,01/11/2016,2016-04-10,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529302, -0.132585)",21091,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00301
2735,APP\SE-RENW\00283,Sex Establishment Renewal Application,Secrets (Eversholt St),"34  38 EVERSHOLT STREET, LONDON, NW1 1DA",LA2003,Application Approved,Yes,,,,,18/11/2014,2014-10-21,,,E05000143,St Pancras and Somers Town,529635.38,182806.0,-0.13258499999999998,51.529302,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.529302, -0.132585)",21106,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00283
4698,APP\SE-RENW\00300,Sex Establishment Renewal Application,Griffin,"125 CLERKENWELL ROAD, LONDON, EC1R 5DB",LA2003,Application Approved,No,24/01/2017,,,24/01/2017,27/10/2016,2016-09-29,,,E05000138,Holborn and Covent Garden,531082.83,181956.55,-0.112046,51.521334,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.521334, -0.112046)",21092,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00300
5051,APP\SE-RENW\00297,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application Approved,No,28/04/2016,,,28/06/2016,25/05/2016,2016-04-27,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21094,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00297
6105,APP\SE-RENW\00271,Sex Establishment Renewal Application,Venus (formerly City Burlesque),"29  35 FARRINGDON POINT FARRINGDON ROAD, LONDON, EC1M 3JF",LA2003,Application Partially Approved,No,10/02/2014,,,,11/11/2013,2013-10-14,,,E05000138,Holborn and Covent Garden,531474.99,181866.79,-0.106431,51.520437,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.520437, -0.106431)",21116,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00271
6132,APP\SE-RENW\00268,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Referred To Committee Hearing,No,,,,25/04/2013,22/03/2013,2013-02-22,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21118,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00268
6663,APP\SE-RENW\00267,Sex Establishment Renewal Application,SimplyPleasure.com,"23 GOODGE STREET, LONDON, W1T 2PL",LA2003,Application in Progress,No,,,,,26/03/2012,2012-02-27,,,E05000129,Bloomsbury,529495.9,181707.95,-0.134998,51.519465999999994,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.519466, -0.134998)",21119,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00267
7648,APP\SE-RENW\00305,Sex Establishment Renewal Application,Red Rooms,"4 GREAT QUEEN STREET, LONDON, WC2B 5DJ",LA2003,Application in Progress,No,,,,,28/11/2016,2016-10-31,,,E05000138,Holborn and Covent Garden,530599.22,181426.23,-0.119209,51.51668,Nearest OS Open Map-Local Building,11/05/2017 07:37:26 PM,"(51.51668, -0.119209)",21087,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP\SE-RENW\00305
