,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
1523,046155,Street Trading  - New Site,IN36,"Inverness Street, London,",,Open,No,,,,,,2011-11-07,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",35904,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046155
3164,046762,Street Trading  - New Site,CS103,"Chalton Street, London,",,Open,No,,,,,,2011-10-21,,,E05000143,St Pancras and Somers Town,529879.6,182805.3,-0.12906700000000002,51.529239000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.529239, -0.129067)",35800,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046762
5079,046510,Street Trading  - New Site,LL112,"Leather Lane, London,",,Open,No,,,,,,2011-08-26,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35810,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046510
6633,046844,Street Trading  - New Site,LL096,"Leather Lane, London,",,Open,No,,,,,,2011-11-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35791,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046844
8026,046843,Street Trading  - New Site,LL034,"Leather Lane, London,",,Open,No,,,,,,2011-11-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35792,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046843
14708,047720,Street Trading  - New Site,LL110,"Leather Lane, London,",,Open,No,,,,,,2012-06-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35763,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047720
15120,046509,Street Trading  - New Site,LL113,"Leather Lane, London,",,Open,No,,,,,,2011-08-26,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35811,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046509
19837,046841,Street Trading  - New Site,ES19,"Earlham Street, London,",,Open,No,,,,,,2011-11-28,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",35793,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046841
21027,046845,Street Trading  - New Site,ES18,"Earlham Street, London,",,Open,No,,,,,,2011-11-28,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",35790,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046845
22065,047259,Street Trading  - New Site,LL111,"Leather Lane, London,",,Open,No,,,,,,2012-03-13,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35775,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin047259
25638,046837,Street Trading  - New Site,LL110,"Leather Lane, London,",,Open,No,,,,,,2011-11-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",35794,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046837
32465,046900,Street Trading  - New Site,ES16,"Earlham Street, London,",,Open,No,,,,,,2011-07-12,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",35789,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,origin046900
