,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
314,043661,Street Trading  - Renewal Application,QC14,"Queen's Crescent, London,",,Open,No,,,,,,2010-03-08,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36206,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043661
411,042961,Street Trading  - Renewal Application,CS053,"Chalton Street, London,",,Open,No,,,,,,2010-07-06,,,E05000143,St Pancras and Somers Town,529879.6,182805.3,-0.12906700000000002,51.529239000000004,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.529239, -0.129067)",36368,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin042961
456,043666,Street Trading  - Renewal Application,QC72,"Queen's Crescent, London,",,Open,No,,,,,,2010-03-08,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36201,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043666
465,043655,Street Trading  - Renewal Application,PS09,"Plender Street, London,",,Open,No,,,,,,2010-03-08,,Camden Town,E05000142,Regent's Park,529083.06,183480.97,-0.140296,51.535494,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.535494, -0.140296)",36210,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043655
516,046242,Street Trading  - Renewal Application,MCNV1,"Millbrook Place, London,",,Open,No,,,,,,2011-07-27,,Camden Town,E05000142,Regent's Park,529184.5,183339.22,-0.13888599999999998,51.534197,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.534197, -0.138886)",35896,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046242
784,045966,Street Trading  - Renewal Application,IN32,"Inverness Street, London,",,Open,No,,,,,,2011-05-31,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",35931,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045966
818,043245,Street Trading  - Renewal Application,LL107,"Leather Lane, London,",,Open,No,,,,,,2010-07-13,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36320,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043245
846,043663,Street Trading  - Renewal Application,QC34,"Queen's Crescent, London,",,Open,No,,,,,,2010-03-08,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36204,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043663
876,043591,Street Trading  - Renewal Application,IN18,"Inverness Street, London,",,Open,No,,,,,,2010-02-08,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36234,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043591
910,045235,Street Trading  - Renewal Application,INSU09,"Inverness Street, London,",,Open,No,,,,,,2010-03-18,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36019,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045235
1147,046338,Street Trading  - Renewal Application,QCS36,"Queen's Crescent, London,",,Open,No,,,,,,2011-04-08,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",35860,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin046338
1151,043524,Street Trading  - Renewal Application,FC15,"184 Kilburn High Road, London, NW6 4JD",,Open,No,,,,,,2010-07-27,,,E05000140,Kilburn,525177.18,184008.69,-0.196392,51.541115000000005,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.541115, -0.196392)",36264,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043524
1246,043678,Street Trading  - Renewal Application,QCS38,"Queen's Crescent, London,",,Open,No,,,,,,2010-03-08,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",36190,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043678
1266,043610,Street Trading  - Renewal Application,INSU32,"Inverness Street, London,",,Open,No,,,,,,2010-02-08,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36216,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin043610
