,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
418,045977,Street Trading - New Application,Queens Crescent Market,"Queen's Crescent, London,",,Open,No,,,,,,2011-06-06,,,E05000134,Gospel Oak,528255.31,185092.86,-0.151636,51.550168,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.550168, -0.151636)",35923,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045977
1668,044396,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2010-07-28,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36086,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044396
1946,045388,Street Trading - New Application,IN34,"Inverness Street, London,",,Open,No,,,,,,2010-10-25,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36000,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045388
2911,045247,Street Trading - New Application,Inverness Street Market - Monday to Saturday,"Inverness Street, London,",,Open,No,,,,,,2011-02-02,,Camden Town,E05000130,Camden Town with Primrose Hill,528836.98,183880.36,-0.14369500000000002,51.539139,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.539139, -0.143695)",36013,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045247
3470,044455,Street Trading - New Application,Goodge Place Market,"Goodge Place, London,",,Open,No,,,,,,2010-09-16,,,E05000129,Bloomsbury,529392.85,181727.74,-0.136475,51.519667,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.519667, -0.136475)",36071,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044455
3629,044374,Street Trading - New Application,Earlham Street Market,"Earlham Street, London,",,Open,No,,,,,,2010-05-17,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",36095,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044374
3767,045151,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2010-11-30,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36024,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045151
4275,044647,Street Trading - New Application,,"Eton Avenue, London,",,Open,No,,,,,,2010-11-23,,,E05000144,Swiss Cottage,526676.18,184342.5,-0.17466900000000002,51.543781,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.543781, -0.174669)",36053,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044647
5446,044407,Street Trading - New Application,LL110,"Leather Lane, London,",,Open,No,,,,,,2010-07-20,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36081,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044407
6630,044432,Street Trading - New Application,Earlham Street Market,"Earlham Street, London,",,Open,No,,,,,,2010-10-27,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",36073,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044432
7546,045165,Street Trading - New Application,LL60,"Leather Lane, London,",,Open,No,,,,,,2011-01-19,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36023,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045165
7637,045418,Street Trading - New Application,FM10,"Eton Avenue, London,",,Open,No,,,,,,2010-07-15,,,E05000144,Swiss Cottage,526676.18,184342.5,-0.17466900000000002,51.543781,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.543781, -0.174669)",35991,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin045418
7917,044490,Street Trading - New Application,Leather Lane Market,"Leather Lane, London,",,Open,No,,,,,,2010-06-14,,,E05000138,Holborn and Covent Garden,531211.28,181904.79,-0.11021500000000001,51.520839,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.520839, -0.110215)",36065,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044490
8820,044686,Street Trading - New Application,Earlham Street Market,"Earlham Street, London,",,Open,No,,,,,,2010-11-30,,Seven Dials,E05000138,Holborn and Covent Garden,530045.49,181068.86,-0.127317,51.513596,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.513596, -0.127317)",36045,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin044686
