,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
57,2012/4471/TC,Table and Chairs,Diana's Diner,"39 Endell Street, London, WC2H 9BA",TC,Final Decision,0,09/10/2012,,02/08/2013,,,2011-06-14,,Seven Dials,E05000138,Holborn and Covent Garden,530211.81,181163.2,-0.12488599999999998,51.514406,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.514406, -0.124886)",35138,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2012/4471/TC
191,2010/1688/TC,Table and Chairs,Giraffe,"46 osslyn Hill, London, NW3 1NH",TC,Final Decision,0,10/05/2010,,10/05/2011,,,2010-03-22,,,E05000135,Hampstead Town,526772.89,185599.21,-0.172822,51.555053,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.555053, -0.172822)",35470,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2010/1688/TC
212,2010/1663/TC,Table and Chairs,York and Albany,"127 Parkway, London, NW1 7PS",TC,Final Decision,0,10/05/2010,,10/05/2011,,,2010-03-25,,,E05000142,Regent's Park,528671.97,183535.82,-0.146199,51.53608,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.53608, -0.146199)",35473,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2010/1663/TC
241,2016/1034/TC,Table and Chairs,Cigala,"54 amb's Conduit Street, London, WC1N 3LW",TC,Final Decision,1,18/04/2016,,18/04/2017,,,2016-02-17,,,E05000138,Holborn and Covent Garden,530667.06,182047.13,-0.118002,51.522244,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.522244, -0.118002)",34516,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2016/1034/TC
250,2016/7021/TC,Table and Chairs,Paul,"38 Kingsway, London, WC2B 6EX",TC,Final Decision,0,16/02/2017,,25/01/2018,,,2016-06-12,,,E05000138,Holborn and Covent Garden,530636.89,181331.4,-0.118702,51.515819,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515819, -0.118702)",34333,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2016/7021/TC
306,2011/4648/TC,Table and Chairs,Starbuck Coffee,"93 Euston Road, London, NW1 2RA",TC,Final Decision,0,21/10/2011,,15/10/2012,,,2011-08-30,,,E05000141,King's Cross,530037.31,182728.95,-0.126822,51.528517,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.528517, -0.126822)",35252,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2011/4648/TC
315,2011/3112/TC,Table and Chairs,Ultimate Burger,"98 Tottenham Court Road, London, W1T 4TR",TC,Final Decision,0,22/08/2011,,30/07/2012,,,2011-06-27,,,E05000129,Bloomsbury,529359.73,182034.29,-0.13683900000000002,51.52243,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.52243, -0.136839)",35302,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2011/3112/TC
325,2014/2705/TC,Table and Chairs,Adobo,"87 High Holborn, London, WC1V 6LS",TC,Final Decision,0,15/05/2014,,02/05/2015,,,2014-04-14,,,E05000138,Holborn and Covent Garden,530646.99,181604.17,-0.11845499999999999,51.518268,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.518268, -0.118455)",34861,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2014/2705/TC
361,2016/2301/TC,Table and Chairs,Grill Market Limited,"10 Theobalds Road, London, C1X 8PN",TC,Final Decision,0,24/05/2016,,24/05/2017,,,2016-04-25,,,E05000138,Holborn and Covent Garden,530958.59,181945.65,-0.11384000000000001,51.521265,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.521265, -0.11384)",34485,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2016/2301/TC
363,2012/2951/TC,Table and Chairs,Pizza Express,"30 Coptic Street, London, WC1A 1NS",TC,Final Decision,0,25/07/2012,,16/08/2013,,,2012-11-05,,Seven Dials,E05000138,Holborn and Covent Garden,530110.46,181545.51,-0.12620499999999998,51.517865,Nearest OS Open Map-Local Building,11/05/2017 07:37:33 PM,"(51.517865, -0.126205)",35167,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,origin2012/2951/TC
