,Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI,path,Origin-Destination,PathId
445,APP-TUN\00014,Temporary Use Notice,De Vere Grand Connaught Rooms,"61  65 GREAT QUEEN STREET, LONDON, WC2B 5BZ",GA2005,Application Approved,No,09/04/2014,,,,08/04/2014,2014-03-25,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34224,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00014
5739,APP-TUN\00010,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,04/02/2009,,,,04/02/2009,2009-01-21,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34230,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP-TUN\00010
7758,APP-TUN\00013,Temporary Use Notice,De Vere Grand Connaught Rooms,"61  65 GREAT QUEEN STREET, LONDON, WC2B 5BZ",GA2005,Application Approved,No,22/03/2013,,,,21/03/2013,2013-07-03,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34226,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00013
17719,APP-TUN\00009,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,30/06/2009,,,,18/05/2009,2009-05-18,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34233,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00009
19535,APP-TUN\00010,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,04/02/2009,,,,21/01/2009,2009-01-21,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34231,http://opendatacommunities.org/id/london-borough-council/camden,1,Origin,originAPP-TUN\00010
21262,APP-TUN\00013,Temporary Use Notice,De Vere Grand Connaught Rooms,"61  65 GREAT QUEEN STREET, LONDON, WC2B 5BZ",GA2005,Application Approved,No,22/03/2013,,,,07/03/2013,2013-07-03,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34227,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00013
21517,APP-TUN\00009,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,30/06/2009,,,,01/06/2009,2009-05-18,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34232,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00009
27583,APP-TUN\00014,Temporary Use Notice,De Vere Grand Connaught Rooms,"61  65 GREAT QUEEN STREET, LONDON, WC2B 5BZ",GA2005,Application Approved,No,09/04/2014,,,,25/03/2014,2014-03-25,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34225,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00014
32442,APP-TUN\00011,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,19/06/2010,,,,18/06/2010,2010-04-06,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34228,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00011
32622,APP-TUN\00011,Temporary Use Notice,Kingsway Hall Hotel,"66 GREAT QUEEN STREET, LONDON, WC2B 5BX",GA2005,Application Approved,No,19/06/2010,,,,04/06/2010,2010-04-06,,Seven Dials,E05000138,Holborn and Covent Garden,530517.17,181284.16,-0.12044400000000001,51.515423,Nearest OS Open Map-Local Building,11/05/2017 07:37:32 PM,"(51.515423, -0.120444)",34229,http://opendatacommunities.org/id/london-borough-council/camden,1,Destination,originAPP-TUN\00011
